site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"American Wharf, Elm Street",yes,,2017-12-18,,0.21,23,23,Non material amendment extension of time agreed 18.5.17,local-authority-eng:STH,not owned by a public authority,2017-05-18,,permissioned,full planning permission,BLR CC 60,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2060,2017-11-17
Land to rear of 104-106 East Street,,,2017-12-18,,0.06,14,14,,local-authority-eng:STH,not owned by a public authority,,,not permissioned,,BLR CC 18,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2018,2017-11-17
11 Queensway,yes,,2017-12-18,,0.07,25,25,,local-authority-eng:STH,not owned by a public authority,,,pending decision,,BLR CC 13,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2013,2017-11-17
Land adjacent to 2 Northam Rd,,,2017-12-18,,0.03,14,14,,local-authority-eng:STH,,,,not permissioned,,BLR CC 30,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2030,2017-11-17
59-61 St Mary Street,,,2017-12-18,,0.05,12,12,,local-authority-eng:STH,not owned by a public authority,,,not permissioned,,BLR CC 61,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2061,2017-11-17
101-119 St Mary Street,yes,,2017-12-18,,0.18,58,58,Permission relates to 106-113 St Mary Street,local-authority-eng:STH,not owned by a public authority,2015-12-14,,permissioned,full planning permission,BLR CC 29,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2029,2017-11-17
Cedar Press,,,2017-12-18,,0.24,122,122,,local-authority-eng:STH,not owned by a public authority,,,not permissioned,,BLR CC 58,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2058,2017-11-17
Aviation Museum,,,2017-12-18,,0.42,45,45,,local-authority-eng:STH,owned by a public authority,,,not permissioned,,BLR CC 44a,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2044a,2017-11-17
24-32 Canute Road and 157-159 Albert Road South,,,2017-12-18,,0.1,53,53,,local-authority-eng:STH,not owned by a public authority,,,not permissioned,,BLR CC 44b,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2044b,2017-11-17
135-141 Albert Road South,,,2017-12-18,,0.07,10,10,,local-authority-eng:STH,,,,not permissioned,,BLR CC 57,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2057,2017-11-17
College Place Car Park,,,2017-12-18,,0.16,12,12,,local-authority-eng:STH,owned by a public authority,,,not permissioned,,BLR CC 45,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2045,2017-11-17
"Car park, Kings Park Road",,,2017-12-18,,0.19,50,50,,local-authority-eng:STH,owned by a public authority,,,not permissioned,,BLR CC 41,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2041,2017-11-17
Handford Place Car Park,,,2017-12-18,,0.11,16,16,,local-authority-eng:STH,mixed ownership,,,not permissioned,,BLR CC 65,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2065,2017-11-17
Central Station,,,2017-12-18,,3.53,64,64,,local-authority-eng:STH,mixed ownership,,,not permissioned,,BLR CC 33,http://www.southampton.gov.uk/planning/planning-policy/brownfield-land-register/brownfield-land-register-map.aspx?FINDLAYER=SCC:BROWNFIELD_REGISTER_EXT&FINDFIELD=SITE_NAME&FINDVALUE=BLR%20CC%2033,2017-11-17
