site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
,,,2020-03-10,,0.14,,,,national-park-authority:Q27178932,,,,,,POINT(-2.52824 54.32418),S/03/606,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Kings-Yard-Sedbergh-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.05,,,Planning application not yet determined,national-park-authority:Q27178932,,,,,,POINT(-2.52767 54.32347),S/03/148D,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/37-39-Main-St-Sedbergh-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.21,,,Allocated in Local Plan,national-park-authority:Q27178932,,,,,,POINT(-1.94089 54.38788),211,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Park-Lea-Reeth-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.31,,,,national-park-authority:Q27178932,,,,,,POINT(-2.25404 54.02097),C/52/56C,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Greengates-Lane-Long-Preston-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.15,,,,national-park-authority:Q27178932,,,,,,POINT(-2.35448 54.11445),C/04/41G,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Townhead-Garage-Austwick-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.67,,,,national-park-authority:Q27178932,,,,,,POINT(-2.57899 54.21189),S/05/2,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Casterton-School-Casterton-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.37,,,,national-park-authority:Q27178932,,,,,,POINT(-1.84286 54.39813),R/31/23F,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Marske-Hall-Stables-site-plan.pdf,2017-11-13
,,,2020-03-10,,0.16,,,,national-park-authority:Q27178932,,,,,,POINT(-2.54845 54.32135),S/03/439C,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Bramhaw-Farm-Sedbergh-site-plan.pdf,2019-04-25
,,,2020-03-10,,0.06,,,Planning application approved pending legal agreement,national-park-authority:Q27178932,,,,,,POINT(-1.98441 54.2931),R/51/55P,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Yore-Mill-Aysgarth-site-plan.pdf,2020-03-10
,,,2020-03-10,,0.21,,,Planning application withdrawn,national-park-authority:Q27178932,,,,,,POINT(-1.84172 54.39845),R/31/22P,https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/03/Marske-Hall-Stables-site-plan.pdf,2020-03-10
