site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Oadby Swimming Pool Site, Leicester Road, Oadby",yes,,2017-12-01,,0.26,32,32,Residential development has been deemed appropriate,local-authority-eng:OAD,owned by a public authority,,,not permissioned,,OWBCBFL/001,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"53-59 Queens Drive, Wigston",yes,,2017-12-01,,0.09,15,15,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,OWBCBFL/002,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"Land At Bennett Way, South Wigston",yes,,2017-12-01,,0.13,8,8,Residential development has been deemed appropriate,local-authority-eng:OAD,owned by a public authority,,,not permissioned,,OWBCBFL/003,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"29-31 Canal Street, Wigston, LE18 4PL",yes,,2017-04-06,,0.0021,5,5,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,OWBCBFL/005,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"8-10 Long Street, Wigston",yes,,2017-12-01,,0.09,27,27,Application granted for 27 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2016-09-30,,permissioned,full planning permission,OWBCBFL/006,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"271 Leicester Road, Wigston",yes,,2017-12-01,,0.06,6,6,Application granted for 6 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2016-10-06,,permissioned,full planning permission,OWBCBFL/007,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"39 Long Street, Wigston",yes,,2017-12-01,,0.24,18,18,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,OWBCBFL/008,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"Arriva Bus Depot, Station Street, South Wigston",yes,,2017-12-01,,1.11,43,43,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,OWBCBFL/009,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"Lyn House, 37-41 The Parade, Oadby",yes,,2017-12-01,,0.0,18,18,Application granted for 18 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2015-07-21,,permissioned,other,OWBCBFL/011,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
"41-43 Canal Street, South Wigston",yes,,2017-12-01,,0.04,12,12,Application granted for 12 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2015-09-29,,permissioned,full planning permission,OWBCBFL/014,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06
