site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"The Bridge Inn, High Street, Newhaven",yes,,2017-12-21,,0.35,6,6,"Conversion of the upper floors to create six self-contained residential flats, internal alterations including new ground floor lobby area and associated works",local-authority-eng:LEE,not owned by a public authority,2015-08-06,,permissioned,full planning permission,,BLR01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Former Hamsey Brickworks, South Road, South Common, Chailey Parish",yes,,2018-12-12,,9.14,49,49,Redevelopment of industrial estate with 8 x B1 (business) units enabling residential development of 37 open market houses and 12 affordable dwellings,local-authority-eng:LEE,not owned by a public authority,,,permissioned,,,05HY,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Newhaven fire station, Fort Road, Newhaven",yes,,2017-12-21,,0.12,7,7,Construction of seven x three storey houses with associated garden and parking,local-authority-eng:LEE,not owned by a public authority,2015-06-05,,not permissioned,full planning permission,,52NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Former Parker Pen Site,52 Railway Road, Newhaven",yes,,2017-12-21,,2.8,145,145,"145 dwellings and associated access, car parking, servicing, and open space",local-authority-eng:LEE,not owned by a public authority,2015-11-30,,not permissioned,full planning permission,,46NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Old Shipyard, Robinson Road, Newhaven",,,2018-12-12,,0.64,66,66,Demolition of existing boatyard including commercial buildings and construction of new mixed residential development of 66 dwellings including 4 houses and 62 flats,local-authority-eng:LEE,not owned by a public authority,2015-11-30,,not permissioned,outline planning permission,,16NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Seahaven Caravans, Railway Road, Newhaven",yes,,2017-12-21,,0.22,22,22,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,02NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Robinson Road Depot, Robinson Road, Newhaven",,,2017-12-21,,0.8,80,80,,local-authority-eng:LEE,mixed ownership,,,not permissioned,,,39NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"LDC Offices, Fort Road Newhaven",yes,,2017-12-21,,0.13,6,6,,local-authority-eng:LEE,owned by a public authority,,,not permissioned,,,40NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Clubhouse, Railway Quay, Newhaven",,,2017-12-21,,0.46,25,25,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,48NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Newhaven Police Station, South Road, Newhaven",yes,,2017-12-21,,0.15,10,10,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,51NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
