site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Cedar House School, Kirkby Lonsdale",yes,,2018-12-01,,0.87,20,20,"Hybrid application, part full, part outline (pending RM app SL/2017/0421). Hybrid application for full planning permission for conversion of former school dining hall to six dwellings and part of the former main school building to two dwellings and outline planning permission for demolition of remaining former school buildings and erection of up to 12 residential dwellings with vehicular access.",local-authority-eng:SLA,not owned by a public authority,2017-04-13,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0317&ApplicationNumber=&AddressPrefix=cedar+house+school&Postcode=&Submit=Search,permissioned,other,BLR1,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR01,2017-12-01
"Busher House, Busher Walk, Kendal",yes,,2018-12-01,,0.17,16,16,Change of use from Use Class B1 (a) Offices to C3 (Residential) - 16 units.,local-authority-eng:SLA,owned by a public authority,2017-01-19,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=CU/2016/0014&ApplicationNumber=CU%2F2016%2F0014&AddressPrefix=&Postcode=&Submit=Search,permissioned,other,BLR2,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR02,2017-12-01
"Sawyers Arms Hotel, Stricklandgate, Kendal",yes,,2018-12-01,,0.03,12,12,Conversion of vacant public house and alteration/extension of redundant outbuildings to create 12 self-contained apartments.,local-authority-eng:SLA,not owned by a public authority,2015-07-16,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2015/0491&ApplicationNumber=SL%2F2015%2F0491&AddressPrefix=&Postcode=&Submit=Search,permissioned,full planning permission,BLR3,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR03,2017-12-01
"Royal Hotel, Burton-in-Kendal",yes,,2018-12-01,,0.26,6,6,"Demolition of outbuildings, refurbishment and extension of public house and erection of six dwellings.",local-authority-eng:SLA,not owned by a public authority,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0992&ApplicationNumber=&AddressPrefix=royal+hotel&Postcode=&Submit=Search,pending decision,,BLR4,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR04,2017-12-01
"West End Nursery, Ulverston",yes,,2018-12-01,,0.61,8,8,"Demolition of existing building and site structures, erection of 87 dwellings (Use Class C3) with associated open space, landscaping and vehicular access. Note: Permission covers greenfield and brownfield areas.",local-authority-eng:SLA,not owned by a public authority,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0297&ApplicationNumber=SL%2F2017%2F0297&AddressPrefix=&Postcode=&Submit=Search,pending decision,,BLR5,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR05,2017-12-01
"Depot on the south side of Parkside Road, Kendal",,,2018-12-01,,0.18,6,6,"Outline Planning Application with some matters reserved for the development of 6no. dwellings on land south of Parkside Road, Kendal.",local-authority-eng:SLA,not owned by a public authority,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0575&ApplicationNumber=2016%2F0575&AddressPrefix=&Postcode=&Submit=Search,pending decision,,BLR6,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR06,2017-12-01
"Depot on the north side of Parkside Road, Kendal",,,2018-12-01,,1.17,43,43,"Outline Planning Application with all matters, except for access, reserved for the development of 43no. Dwellings.",local-authority-eng:SLA,not owned by a public authority,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2016/0574&ApplicationNumber=2016%2F0574&AddressPrefix=&Postcode=&Submit=Search,pending decision,,BLR7,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR07,2017-12-01
"Ulverston Town Hall, Queen St, Ulverston",yes,,2018-12-01,,0.07,17,17,Change of use of existing building into 9 apartments and erection of new apartment block to rear to provide a further 8 units.,local-authority-eng:SLA,owned by a public authority,2017-12-07,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0737&ApplicationNumber=&AddressPrefix=ulverston+town+hall&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&DateReceivedStart=&DateReceivedEnd=&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&ShowDecided=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC,permissioned,full planning permission,BLR8,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR08,2017-12-01
"Stables, Cartmel Racecourse, Cartmel",,,2018-12-01,,0.48,15,15,,local-authority-eng:SLA,not owned by a public authority,,,not permissioned,,BLR9,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR09,2017-12-01
"Mixed use allocation at Berners Pool, Grange",,,2018-12-01,,0.61,40,20,,local-authority-eng:SLA,owned by a public authority,,,not permissioned,,BLR10,https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR10,2017-12-01
