site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Gas Holder Site, Homesdale Road, Bromley, BR1 2UE",yes,,2019-10-20,,1,60,60,,local-authority-eng:BRY,,,,Not permissioned,,BLR1,,
"Land adjacent to Bickley Station,BR1 2EB",yes,,2019-10-20,,0.9,30,30,,local-authority-eng:BRY,,,,Not permissioned,,BLR2,,
Opportunity Site B Corner of Tweedy Road/London Road,yes,,2019-10-20,,0.37,24,24,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,BLR3,,
"Opportunity Site C, Old Town Hall, 30 Tweedy Road, BR1 3FE",yes,,2019-10-20,,0.7,53,53,,local-authority-eng:BRY,owned by a public authority,2016-08-11,,permissioned,full planning permission,BLR4,,
"Opportunity Site P, Sainsbury's West Street, Bromley BR1 1TP",,,2019-10-20,,1.25,20,20,,local-authority-eng:BRY,,,,Not permissioned,,BLR5,,
"Bromley Civic Centre, Stockwell Close, BR1 3UH",,,2019-10-20,,5.75,70,70,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,BLR6,,
"West of Bromley High Street and Land at Bromley South, BR1/BR2",,,2019-10-20,,4.54,1230,1230,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,BLR7,,
"Land adjacent to Bromley North Station, Tweedy Road, Bromley, BR1",yes,,2019-10-20,,3,525,525,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,BLR8,,
"The Hill Car Park & Adjacent Lands,BR2 0DA",,,2019-10-20,,1.25,150,150,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,BLR9,,
"Banbury House, Bushell Way, Chislehurst, BR7 6SF",yes,,2019-10-20,,0.27,25,25,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,BLR10,,
"Bromley Valley Gym and Adjacent Lands, Chipperfield Road, St Paul?s Cray, BR5 2QR",,,2019-10-20,,2.8,200,200,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,BLR11,,
"Small Halls York Rise, Orpington, BR6 8AD",yes,,2019-10-20,,0.46,35,35,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,BLR12,,
"18-44 Homefield Rise Orpington, BR6 ORU",yes,,2019-10-20,,0.75,87,87,,local-authority-eng:BRY,,,,Not permissioned,,BLR13,,
"6 Woodlands Road, BR1 2AF, Bickley",yes,,2019-10-20,,0.89,3,3,,local-authority-eng:BRY,,2015-03-02,,permissioned,Hybrid Full/Outline planning permission with All Matters Reserved.,BLR14,,
"42 Orchard Road, BR1 2PS",yes,,2019-10-20,,0.17,8,8,,local-authority-eng:BRY,,2017-08-07,,permissioned,full planning permission,BLR17,,
"Site of Former 41 Sunningvale Avenue, Sunningvale Close, TN16 3BX",yes,,2019-10-20,,0.3,8,8,,local-authority-eng:BRY,,2017-07-20,,permissioned,full planning permission,BLR19,,
"7 Sandford Road, BR2 9AL",yes,,2019-10-20,,,5,5,,local-authority-eng:BRY,,2016-11-30,,permissioned,full planning permission,BLR23,,
"9 London Road, BR1 1BY",yes,,2019-10-20,,0.05,6,6,,local-authority-eng:BRY,,2016-11-02,,permissioned,full planning permission,BLR25,,
"Upfield Hillbrow Road, BR1 4JL",yes,,2019-10-20,,0.1,6,6,,local-authority-eng:BRY,,2016-11-02,,permissioned,full planning permission,BLR26,,
"Hasells Nursery, Jackson Road, BR2 8NS",yes,,2019-10-20,,0.7,9,9,,local-authority-eng:BRY,,2017-08-10,,permissioned,full planning permission,BLR29,,
"Ontario Centre, Helegan Close, BR6 9XJ",yes,,2019-10-20,,0.18,14,14,,local-authority-eng:BRY,,2017-05-19,,permissioned,outline planning permission,BLR30,,
"63-65 Chislehurst Road, BR7 5NP",yes,,2019-10-20,,0.035,5,5,,local-authority-eng:BRY,,2016-09-14,,permissioned,full planning permission,BLR31,,
"3 Beckenham Road, BR3 4ES",yes,,2019-10-20,,0.10,8,8,,local-authority-eng:BRY,,2016-12-22,,permissioned,full planning permission,BLR33,,
"Beechers Court, High Street, BR3 1AQ",yes,,2019-10-20,,0.030,8,8,,local-authority-eng:BRY,,2017-05-26,,permissioned,full planning permission,BLR37,,
"28 Park Hill Road, BR2 0LF",yes,,2019-10-20,,0.260,9,9,,local-authority-eng:BRY,,2016-06-23,,permissioned,outline planning permission,BLR39,,
"Beck House 36a, Copers Cope Road, BR3 1NH",yes,,2019-10-20,,0.250,14,14,,local-authority-eng:BRY,,2016-07-15,,permissioned,full planning permission,BLR40,,
"Conifer House, Southend Road , BR3 1SL",yes,,2019-10-20,,0.150,18,18,,local-authority-eng:BRY,,2016-07-17,,permissioned,full planning permission,BLR41,,
"122 Anerley Road, SE20 8DL",yes,,2019-10-20,,0.036,7,7,,local-authority-eng:BRY,,2016-04-21,,permissioned,full planning permission,BLR43,,
"69-71 Church Road, SE19 2TA",yes,,2019-10-20,,0.090,7,7,,local-authority-eng:BRY,,2016-10-17,,permissioned,full planning permission,BLR44,,
"Crystal Palace Park Crystal Palace Park Road, Thicket Road, Crystal Palace Parade, Anerley Hill, SE20 8DT",yes,,2019-10-20,,1.973,180,180,,local-authority-eng:BRY,owned by a public authority,2010-12-14,,permissioned,other,BLR46,,
"Warren Farm, Berrys Green Road, TN16 3AJ",yes,,2019-10-20,,0.740,,,,local-authority-eng:BRY,,2016-08-01,,permissioned,outline planning permission,BLR47,,
