site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Hanover Cottage, 6 Claremont Lane, Esher, KT10 9DW",yes,,2018-04-02,,0.3187,13,13,Development comprising 9 houses and 4 flats with associated parking and landscaping following the demolition of existing buildings.,local-authority-eng:ELM,not owned by a public authority,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/3749'&appno:PARAM=2018/3749&address:PARAM=HanoverCottage,6ClaremontLane,Esher,Surrey,KT109DW&northing:PAR",pending decision,full planning permission,POINT(-0.364576 51.364984),61,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=513950.91982897202&startNorthing=164148.95055544699",2018-04-02
"110 Fairmile Lane, Cobham, KT11 2BX",yes,,2018-04-02,,0.1145,8,8,Detached two-storey building with rooms in the roof space consisitigng of 8 flats with additional access from Fairacres with associated parking and lanscaping following demolition of existing garage.,local-authority-eng:ELM,not owned by a public authority,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/3184'&appno:PARAM=2018/3184&address:PARAM=110FairmileLane,Cobham,Surrey,KT112BX&northing:PARAM=161371&easti",pending decision,full planning permission,POINT(-0.394279 51.340433),60,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=511942.94994852901&startNorthing=161373.05527852799",2018-04-02
"11 Cross Road, Weybridge, Surrey, KT13 9NX",yes,,2018-04-01,,0.0228,5,5,Change of use from Drinking Establishment (A4) (284sqm) to Residential (C3) to provide 4 flats and 1 terraced house and alterations to fenestration following demolition of existing single storey rear projection,local-authority-eng:ELM,not owned by a public authority,2017-06-13,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=11+cross+road,permissioned,full planning permission,POINT(-0.439641 51.373935),27,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508704.132294813&startNorthing=165030.526410349",2017-12-15
"Sherwood House, 40 Severn Drive, Walton-on-Thames, KT12 3BH",yes,,2018-04-01,,0.5234,30,30,"Two-storey side/ rear extension to west side of building, two-storey rear extension to east of building, alterations to existing parking and new access and associated landscaping following demolition of existing plant room",local-authority-eng:ELM,not owned by a public authority,2018-09-05,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2017/3822'&appno:PARAM=2017/3822&address:PARAM=SherwoodHouse,SevernDrive,Walton-on-thames,Surrey,KT123BH&north",permissioned,full planning permission,POINT(-0.396959 51.379142),42,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=511662.16676300601&startNorthing=165673.606874474",2018-04-01
"9 Ashley Road, Walton-on-Thames, Surrey, KT12 1HY",yes,,2018-04-01,,0.0669,5,5,Part two/part first floor side and two storey and single storey rear extensions and conversion of part of first floor to provide five flats,local-authority-eng:ELM,not owned by a public authority,2014-12-23,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt12+1hy,permissioned,full planning permission,POINT(-0.417162 51.383352),1,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510246.08625001798&startNorthing=166111.28356850601",2017-12-15
"Heath Lodge, St Georges Avenue, Weybridge, KT13 0DA",yes,,2019-12-31,,0.1392,18,18,"Demolition of care home buildings and erection of a new part two storey, part three storey building to comprise 18 apartments with basement parking, associated landscaping and amenity space",local-authority-eng:ELM,not owned by a public authority,,,not permissioned,other,POINT(-0.451971 51.363285),86,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=507871&startNorthing=163828",2019-12-31
"Site of 95 Queens Road, Hersham, KT12 5LA",yes,,2019-12-31,,0.0503,6,6,,local-authority-eng:ELM,not owned by a public authority,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2019/1323'&appno:PARAM=2019/1323&address:PARAM=SiteOf95,QueensRoad,Hersham,Walton-on-Thames,Surrey,KT125LA&northing:PARAM=164374&easting:PARAM=510877",not permissioned,outline planning permission,POINT(-0.408641 51.367615),81,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510877&startNorthing=164374",2019-12-31
"Lincoln Court, Old Avenue, Weybridge, Surrey, KT13 0PH",yes,,2018-04-01,,0.3138,6,6,Detached part four/part three/part two storey building with basement parking containing 15 flats following demolition of existing block of flats and 2 existing garage blocks,local-authority-eng:ELM,not owned by a public authority,2016-03-24,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=lincoln+court,permissioned,full planning permission,POINT(-0.441193 51.363496),4,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508620.78529801301&startNorthing=163867.34963040601",2017-12-15
"83 High Street, Walton-On-Thames, Surrey, KT12 1DU",yes,,2017-12-15,,0.017,6,6,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),local-authority-eng:ELM,not owned by a public authority,2018-10-02,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=83+high+street,permissioned,full planning permission,POINT(-0.366184 51.368652),12,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=513829.86327065201&startNorthing=164554.38710624",2017-12-15
"96 and 96R Walton Road, East Molesey, Surrey, KT8 0DL",yes,,2018-04-01,,0.0382,5,5,PD Prior Notification : Change of use from Office (B1a) to Residential (C3),local-authority-eng:ELM,not owned by a public authority,2016-06-13,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=96+walton+road,permissioned,full planning permission,POINT(-0.355177 51.399901),7,"http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=514518.10837479401&startNorthing=168046.5",2017-12-15
