site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land off Cambridge Street, Castleford",,,2017-12-31,,0.31,57,57,,local-authority-eng:WKF,,,https://planning.wakefield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J39E10QQ95000,not permissioned,,BLR17003,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=442937&y=425514&zoom=10,2017-12-31
"Sartek Uk Ltd Savile Road, Castleford",,,2017-12-31,,0.15,40,40,,local-authority-eng:WKF,,,https://planning.wakefield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MAWURDQQ04200,not permissioned,,BLR17005,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=442889&y=425493&zoom=10,2017-12-31
"1 - 3 Vickers Street, Castleford",,,2017-12-31,,0.03,7,7,,local-authority-eng:WKF,,,https://planning.wakefield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JDR7RPQQN5000,not permissioned,,BLR17006,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=442951&y=425579&zoom=10,2017-12-31
"Castleford Tigers Ground, Wheldon Road, Castleford",,,2017-12-31,,3.85,105,105,,local-authority-eng:WKF,,,,not permissioned,,BLR17007,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=443634&y=426112&zoom=10,2017-12-31
"Land at Pemberton Drive, Castleford",,,2017-12-31,,2.19,87,87,,local-authority-eng:WKF,owned by a public authority,,,not permissioned,,BLR17008,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=444785&y=425750&zoom=10,2017-12-31
"Land at Saxon Way, Castleford",,,2017-12-31,,6.07,242,242,,local-authority-eng:WKF,owned by a public authority,,,not permissioned,,BLR17009,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=444511&y=425819&zoom=10,2017-12-31
"Former C6 Solutions Centre, Castleford",,,2017-12-31,,37.15,300,300,,local-authority-eng:WKF,,,,not permissioned,,BLR17010,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=443343&y=426440&zoom=10,2017-12-31
"Bus Depot Wheldon Road, Castleford",,,2017-12-31,,1.39,55,55,,local-authority-eng:WKF,,,,not permissioned,,BLR17012,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=443197&y=425897&zoom=10,2017-12-31
"Nestle Site, Wheldon Road, Castleford",,,2017-12-31,,3.47,155,155,,local-authority-eng:WKF,,,,not permissioned,,BLR17013,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=443302&y=425971&zoom=10,2017-12-31
"The Old Vicarage, Castleford",,,2017-12-31,,0.26,5,5,,local-authority-eng:WKF,,,https://planning.wakefield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=M704HXQQ04200,not permissioned,,BLR17014,http://map.wakefield.gov.uk/connect/analyst/?mapcfg=BLregister&x=440362&y=424421&zoom=10,2017-12-31
