site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"The Bridge Inn, High Street, Newhaven",yes,,2017-12-21,,0.35,6,6,"Conversion of the upper floors to create six self-contained residential flats, internal alterations including new ground floor lobby area and associated works. Planning application reference LW/15/0500",local-authority-eng:LEE,not owned by a public authority,2015-08-06,,permissioned,full planning permission,,BLR01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Former Hamsey Brickworks, South Road, South Common, Chailey Parish",,,2017-12-21,,9.14,49,49,Redevelopment of industrial estate with 8 x B1 (business) units enabling residential development of 37 open market houses and 12 affordable dwellings. Planning application reference LW/18/0849,local-authority-eng:LEE,not owned by a public authority,,,permissioned,,,05HY,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Newhaven fire station, Fort Road, Newhaven",yes,,2017-12-21,,0.12,7,7,Construction of seven x three storey houses with associated garden and parking. Planning application reference LW/14/0899,local-authority-eng:LEE,not owned by a public authority,2015-06-05,,not permissioned,full planning permission,,52NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Former Parker Pen Site,52 Railway Road, Newhaven",yes,,2017-12-21,,2.8,145,145,"145 dwellings and associated access, car parking, servicing, and open space. Planning application reference LW/14/0188",local-authority-eng:LEE,not owned by a public authority,2015-11-30,,not permissioned,full planning permission,,46NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Old Shipyard, Robinson Road, Newhaven",yes,,2017-12-21,,0.64,66,66,Demolition of existing boatyard including commercial buildings and construction of new mixed residential development of 66 dwellings including 4 houses and 62 flats. Planning application reference LW/14/0686,local-authority-eng:LEE,not owned by a public authority,2015-11-30,,not permissioned,outline planning permission,,16NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Seahaven Caravans, Railway Road, Newhaven",yes,,2017-12-21,,0.22,22,22,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,02NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Robinson Road Depot, Robinson Road, Newhaven",,,2017-12-21,,0.8,80,80,,local-authority-eng:LEE,mixed ownership,,,not permissioned,,,39NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"LDC Offices, Fort Road Newhaven",yes,,2019-12-19,,0.13,6,6,Change of use and demolition of the existing class B1 building and construction of 13 new residential units (C3 use) over three stories to provide affordable housing. Accommodation includes 6 x 2 bedroom apartments and 7 x 1 bedroom apartments. Planning application reference LW/19/0012,local-authority-eng:LEE,owned by a public authority,2019-04-04,,not permissioned,full planning permission,,40NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Clubhouse, Railway Quay, Newhaven",,,2017-12-21,,0.46,25,25,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,48NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Newhaven Police Station, South Road, Newhaven",yes,,2017-12-21,,0.15,10,10,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,51NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Royal Mail Depot,High Street, Newhaven",,,2017-12-21,,0.1,10,10,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,54NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Former Grays Primary School, Western Road, Newhaven",yes,,2018-12-12,,0.84,26,26,Redevelopment to provide 27 dwelling houses. Planning application reference LW/17/0608,local-authority-eng:LEE,not owned by a public authority,2018-04-18,,not permissioned,full planning permission,,55NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"11A Newhaven Square, High Street",yes,,2017-12-21,,0.03,8,8,Erection of a three storey building comprising of two x one bed apartments and six x two bed apartments (LW/13/0023 permission has now expired),local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,03PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Newhaven Marina, Fort Road, Newhaven",yes,,2017-12-21,,5.7,100,100,"Erection of 319 residential apartments & 12 town houses arranged in 11 blocks (between 3 & 9 storeys high) with car parking. 973sqm of commercial floorspace (including A3 restaurant &/or A1 marina related shops; marina facilities (including office, clubroom etc); boat/car park; berths & riverside walkway",local-authority-eng:LEE,not owned by a public authority,2012-07-26,,permissioned,full planning permission,,31NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Marco Trailers, Railway Road, Newhaven",yes,,2017-12-21,,1.43,10,10,The proposals provide for 10 No dwellings each of gross floor area of approximately 144m2. Planning application reference LW/17/0192,local-authority-eng:LEE,not owned by a public authority,2017-06-16,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015MSJDLI000,permissioned,full planning permission,,BLR03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"The Old Motel Site, 1 South Coast Road, Peacehaven",yes,,2017-12-21,,0.42,26,26,"Planning approval granted July 2012 for 25 units now lapsed, recent application submitted June 2015 (LW/15/0462) for 26 units – approved subject to S106. Planning application reference LW/15/0462",local-authority-eng:LEE,not owned by a public authority,,,pending decision,,,19PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Diplocks Yard, Bishops Lane, Ringmer",yes,,2017-12-21,,1,12,12,"Demolition of commercial buildings, retention of industrial units and erection of 10 dwellings with garages, parking, replacement access road and external works. Planning application reference LW/16/0704",local-authority-eng:LEE,not owned by a public authority,2017-06-22,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ43JDXD821,permissioned,full planning permission,,02RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Busy Bee Garage, Lewes Road Ringmer",,,2017-12-21,,0.12,8,8,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,15RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Shopping precinct, Springett Avenue, Ringmer",,,2017-12-21,,0.49,14,14,,local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRVQ8ZJDK4600,not permissioned,,,36RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Station Approach/ Dane Road, Seaford",,,2017-12-21,,0.03,10,10,,local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KREM3MJD00G00,not permissioned,,,24SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Holmes Lodge, 72 Claremont Road, Seaford",yes,,2012-12-18,,0.07,12,12,"Demolition of existing building & erection of 12 x two bedroomed flats with garages, car parking and landscaping",local-authority-eng:LEE,not owned by a public authority,2009-08-05,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ35JDXD470,not permissioned,full planning permission,,23PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Mardon Court, Claremont Road, Seaford",yes,,2017-12-21,,0.24,19,19,Demolition of existing house and erection of 19 flats with 19 car parking spaces and 20 bike spaces (renewal of planning approval LW/06/0933),local-authority-eng:LEE,not owned by a public authority,2014-08-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KZTZI4JD00E00,permissioned,full planning permission,,49PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"34-40 High Street, Seaford",yes,,2017-12-21,,0.15,8,8,"Change of use of upper floors to eight residential units comprising five x two bed flats, one x one bed flat and two x bedsit units. Planning application reference LW/12/0020",local-authority-eng:LEE,not owned by a public authority,2013-11-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=MSHP10JD1W000&activeTab=summary&previousCaseNumber=LW%2F13%2F0575%2FCD&keyVal=LXJ2NHJD1W000,permissioned,full planning permission,,BLR07,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Gas Works site, Blatchington Road, Seaford",,,2017-12-21,,0.34,30,30,,local-authority-eng:LEE,mixed ownership,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ3AJDXD081,not permissioned,,,04SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"East Street Car Park, East Street, Seaford",,,2017-12-21,,0.15,10,10,,local-authority-eng:LEE,owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,,05SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"6 Steyne Road, Seaford",yes,,2017-12-21,,0.06,6,6,Demolition of existing building and erection of 6 x 3 bedroom houses with parking and associated landscaping. Planning application reference LW/12/0693,local-authority-eng:LEE,not owned by a public authority,2013-04-17,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=O8E6ABJDH3A00&activeTab=summary&previousCaseNumber=LW%2F16%2F0470%2FCD&keyVal=M7TD86JD1W000,not permissioned,full planning permission,,18SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-12
