site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Land adjoining Shermans Oak, Coldharbour Road, Upper Dicker",yes,,2017-12-13,,0.4,6,6,"Total of 2 pairs of semi-detached houses, 1 detached house and 1 bungalow",local-authority-eng:WEA,not owned by a public authority,2017-07-14,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2017/0873,permissioned,reserved matters approval,POINT(0.201156 50.865374),BFR1,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Charlwood Manor, Snatts Road, Uckfield",yes,,2017-12-13,,1.2,5,5,Total of 5 units comprising of 4 semi-detached houses and one house,local-authority-eng:WEA,not owned by a public authority,2017-10-24,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2017/0550,permissioned,full planning permission,POINT(0.093152 50.979027),BFR2,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Ersham Farm, Ersham Road, Hailsham",yes,,2017-12-13,,1.54,35,35,"Total of 35 dwellings (including 3 converted units), means of access, footpath and cycleway link to cuckoo trail and associated works.",local-authority-eng:WEA,not owned by a public authority,2013-02-18,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2012/0985,permissioned,outline planning permission,POINT(0.253883 50.853898),BFR3,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"The Flour Mill, Upper Horsebridge Road, Hailsham",yes,,2017-12-13,,1.47,12,12,WD/2010/0374/MAJ for 12 units,local-authority-eng:WEA,not owned by a public authority,2011-03-18,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2010/0374,permissioned,full planning permission,POINT(0.246118 50.879761),BFR4,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Jarvis Brook Depot, Jarvis Brook, Crowborough",yes,,2017-12-13,,0.9,34,34,Total of 34 units comprising of 26 houses and 8 flats,local-authority-eng:WEA,owned by a public authority,2016-05-18,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2016/0619,permissioned,outline planning permission,POINT(0.191563 51.048451),BFR5,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Millbrook Road, Crowborough",yes,,2017-12-13,,0.74,44,44,WD/2012/0552/MAJ - 44 apartments,local-authority-eng:WEA,not owned by a public authority,2012-12-03,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2012/0552,permissioned,full planning permission,POINT(0.167344 51.058418),BFR6,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Land rear of police station, High Street, Heathfield",yes,,2017-12-13,,3.5,115,115,"Mixture of 115 units, 40% of which are affordable",local-authority-eng:WEA,not owned by a public authority,2016-06-02,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2015/1782,permissioned,reserved matters approval,POINT(0.243798 50.971381),BFR7,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Land at Heatherlea, Newick Lane, Heathfield",yes,,2017-12-13,,2.13,7,7,Total of 7 new detached dwellings,local-authority-eng:WEA,not owned by a public authority,2017-06-01,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2017/0258/F,permissioned,full planning permission,POINT(0.266465 50.975279),BFR8,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"St. Anthonys, Church Road, Crowborough",yes,,2017-12-13,,0.25,20,20,"Total of 20 units comprising of 8 studios, 4 one bedroom flats and 8 two bedroom flats",local-authority-eng:WEA,not owned by a public authority,2014-01-31,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2013/2526,permissioned,full planning permission,POINT(0.159501 51.054867),BFR9,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
"Rockington Nursery, Blackness Road, Crowborough",yes,,2017-12-13,,2.04,34,34,Total of 34 units comprising of 22 houses and 12 affordable houses,local-authority-eng:WEA,not owned by a public authority,2016-01-21,http://www.planning.wealden.gov.uk/searchresults.aspx?SearchType=15&ApplicationNumber=2016/1677,permissioned,outline planning permission,POINT(0.17659 51.046492),BFR10,http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,2017-12-13
