site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"137-139 King Street, Great Yarmouth",yes,,2019-12-19,,0.04,6,6,06/04/0783/F,local-authority-eng:GRY,not owned by a public authority,2004-10-12,,permissioned,full planning permission,BFR1,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,2017-12-20
"Land adjacent Runham Road / North River Road, Great Yarmouth",yes,,2019-12-19,,1.19,24,24,06/05/0866/F,local-authority-eng:GRY,not owned by a public authority,2009-04-30,,permissioned,full planning permission,BFR2,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2569&p=0,2017-12-20
"Gainsborough Court, Great Yarmouth",yes,,2019-12-19,,0.04,12,12,06/12/0647/F & 06/14/0551/F,local-authority-eng:GRY,not owned by a public authority,2010-04-27,,permissioned,full planning permission,BFR3,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2570&p=0,2017-12-20
"Rear of 5 Marine Parade, Great Yarmouth",yes,,2019-12-19,,0.02,6,6,06/10/0448/F,local-authority-eng:GRY,not owned by a public authority,2010-10-05,,permissioned,full planning permission,BFR4,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2571&p=0,2017-12-20
"Former Ivy House & The Hollies, Burnt Lane / Addison Road , Great Yarmouth",yes,,2019-12-19,,0.26,18,18,06/16/0189/F,local-authority-eng:GRY,not owned by a public authority,2017-11-28,,permissioned,full planning permission,BFR5,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2572&p=0,2017-12-20
"Former Claydon High School, Beccles Road, Gorleston, Great Yarmouth",yes,,2019-12-19,,5.08,113,113,06/15/0737/F,local-authority-eng:GRY,not owned by a public authority,2018-01-30,,permissioned,full planning permission,BFR6,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2573&p=0,2017-12-20
"31/31A Hall Plain, Great Yarmouth",yes,,2019-12-19,,0.02,6,6,06/13/0391/F,local-authority-eng:GRY,not owned by a public authority,2013-08-21,,permissioned,full planning permission,BFR7,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2574&p=0,2017-12-20
"137 Mill Road, Great Yarmouth",yes,,2019-12-19,,0.04,10,10,06/14/0592/F,local-authority-eng:GRY,not owned by a public authority,2014-12-01,,permissioned,full planning permission,BFR8,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2575&p=0,2017-12-20
"5-6 Nelson Road South, Great Yarmouth",yes,,2019-12-19,,0.02,5,5,06/15/0647/F,local-authority-eng:GRY,not owned by a public authority,2015-12-21,,permissioned,full planning permission,BFR10,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,2017-12-20
"5 Deneside, Great Yarmouth",yes,,2019-12-19,,0.02,5,5,06/13/0083/F,local-authority-eng:GRY,not owned by a public authority,2013-05-30,,permissioned,full planning permission,BFR11,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2578&p=0,2017-12-20
"Peters Car Sales, Acle New Road, Great Yarmouth",,19/12/2019,2019-12-19,,0.12,14,14,06/15/0584/O,local-authority-eng:GRY,not owned by a public authority,2015-12-10,,permissioned,outline planning permission,BFR13,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2580&p=0,2017-12-20
"Abbeville Lodge, Acle New Road, Great Yarmouth",,19/12/2019,2019-12-19,,0.12,16,16,06/15/0587/O,local-authority-eng:GRY,not owned by a public authority,2015-12-10,,permissioned,outline planning permission,BFR14,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2581&p=0,2017-12-20
"Watsons Bakery, 6 Howard Street North, Great Yarmouth",yes,,2019-12-19,,0.05,6,6,06/15/0634/O,local-authority-eng:GRY,not owned by a public authority,2015-12-15,,permissioned,outline planning permission,BFR15,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2582&p=0,2017-12-20
"1 Woodfarm Lane, Gorleston, Great Yarmouth",yes,,2019-12-19,,0.02,7,7,06/16/0781/F,local-authority-eng:GRY,not owned by a public authority,2017-02-02,,permissioned,full planning permission,BFR17,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2584&p=0,2017-12-20
"Horatio House, Southtown Road, Gorleston, Great Yarmouth",yes,,2019-12-19,,0.5,24,24,06/15/0348/O,local-authority-eng:GRY,not owned by a public authority,2016-06-29,,permissioned,outline planning permission,BFR18,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2585&p=0,2017-12-20
"Magdalen House, Magdalen Square, Gorleston, Great Yarmouth",yes,,2019-12-19,,0.81,46,46,06/14/0773/F,local-authority-eng:GRY,not owned by a public authority,2016-08-08,,permissioned,full planning permission,BFR19,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2586&p=0,2017-12-20
"165 King Street, Great Yarmouth",yes,,2019-12-19,,0.03,8,8,06/16/0278/F,local-authority-eng:GRY,not owned by a public authority,2016-07-16,,permissioned,full planning permission,BFR21,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2588&p=0,2017-12-20
"26 Southgates Road, Great Yarmouth",,19/12/2019,2019-12-19,,0.07,6,6,06/16/0193/F,local-authority-eng:GRY,not owned by a public authority,2016-08-10,,permissioned,full planning permission,BFR22,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2589&p=0,2017-12-20
"14 Camperdown, Great Yarmouth",yes,,2019-12-19,,0.01,5,5,06/16/0126/F,local-authority-eng:GRY,not owned by a public authority,2016-12-23,,permissioned,full planning permission,BFR23,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2590&p=0,2017-12-20
"11/12 South Quay, Great Yarmouth",,19/12/2019,2019-12-19,,0.03,7,7,06/16/0661/F,local-authority-eng:GRY,not owned by a public authority,2017-03-08,,permissioned,full planning permission,BFR24,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2591&p=0,2017-12-20
"84 North Denes Road, Great Yarmouth",yes,,2019-12-19,,0.03,7,7,06/16/0523/F,local-authority-eng:GRY,not owned by a public authority,2016-10-28,,permissioned,full planning permission,BFR25,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2592&p=0,2017-12-20
"Former trailer storage yard, Mill Road, Cobholm, Great Yarmouth",yes,,2019-12-19,,0.17,11,11,06/16/0431/F,local-authority-eng:GRY,not owned by a public authority,,,pending decision,,BFR26,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2593&p=0,2017-12-20
"132 Gordon Road, Great Yarmouth",yes,,2019-12-19,,0.12,22,22,06/16/0188/F,local-authority-eng:GRY,not owned by a public authority,2018-12-06,,permissioned,full planning permission,BFR27,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2594&p=0,2017-12-20
