site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"AnchorStorage,EyeRoad,Kenton,IP146JJ",yes,,2017-12-21,,2,30,30,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Commercial Warehousing",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,SS0401,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:619251/y:266337/z:12/b:14/o:1599,2017-12-21
"StowmarketMiddleSchool,WalnutTreeWalk,IP141JP",yes,,2017-12-21,,1,40,40,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Redundant Middle School",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS0101,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:604477/y:258843/z:12/b:14/o:1599,2017-12-21
"NeedhamMarketMiddleSchool,SchoolStreet,IP68BB",yes,,2017-12-21,,1.26,40,40,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Redundant Middle School",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS0669,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608811/y:254839/z:12/b:14/o:1599,2017-12-21
"MidSuffolkCouncilCarPark,HurstleaRoad,IP68DL",yes,,2017-12-21,,1.31,30,30,"See SHELAA (Aug 2017) Assessment Sheet. Mixed,CarParkandlandscaping",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS1005,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608505/y:255199/z:13/b:14/o:1599,2017-12-21
"CouncilDepot,CreetingRoadWest,Stowmarket,IP145AT",yes,,2017-12-21,,0.88,25,25,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,WorksDepotandOffices",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS0668,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:605328/y:258824/z:13/b:14/o:1599,2017-12-21
"MidSuffolkDistrictCouncilOffices,131HighStreet,NeedhamMarket",yes,,2017-12-21,,1.31,50,50,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Council Offices",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS0530,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608633/y:255229/z:12/b:14/o:1599,2017-12-21
"LandSouthofGippingRoad,GreatBlakenham",yes,,2017-12-21,,0.41,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RecyclingFacility",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,SS0952,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:612405/y:250204/z:12/b:14/o:1599,2017-12-21
"PaddockHouse,WellingtonStreet,Eye,IP237BE",yes,,2017-12-21,,0.33,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RedundantCareHome",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,SS0672,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:614686/y:273912/z:13/b:14/o:1599,2017-12-21
"LandnorthofGippingRoad,Westofrailwayline,GreatBlakenham",yes,,2017-12-21,,1.3,10,10,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RecyclingFacility",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,SS0864,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:612272/y:250494/z:11/b:14/o:1599,2017-12-21
"Garages,ClaypitsAvenue,Bures St Mary",yes,,2017-12-21,,0.15,5,5,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,ResidentialGarages",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,SS0754,,2017-12-21
"AngelCourt,AngelStreet,Hadleigh",yes,,2017-12-21,,0.3,10,10,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RedundantResidentialCareHome",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,SS0502,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602647/y:242710/z:13/b:14/o:1599,2017-12-21
"BaberghDistrictCouncilOffices,CorksLane,Hadleigh",yes,,2017-12-21,,0.69,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,CouncilOffices",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,SS0537,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602236/y:242925/z:12/b:14/o:1599,2017-12-21
"CouncilDepot,GreatWenham",yes,,2017-12-21,,0.3,6,6,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,CouncilWarehouseandDepot",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,SS0507,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:607141/y:238283/z:13/b:14/o:1599,2017-12-21
