site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"3 Brook Gardens, Kingston upon Thames",yes,,2017-12-12,,0.13,5,5,Planning permission 14/15015/FUL for 0 net additional homes (C3) granted on 01/12/2014. Site has capacity to deliver at least 5 net additional homes (C3).. Demolition of existing detached two-storey four-bedroom dwelling and erection of replacement detached two-storey four-bedroom dwelling (C3) with rooms in roof space,local-authority-eng:KTT,,2014-12-01,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=14/15015/FUL,permissioned,full planning permission,RBK0001,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"46-50 Coombe Road, New Malden",yes,,2017-12-12,,0.10,23,23,Prior approval 14/15161/PNO for 23 net additional homes (C3) granted on 07/01/2015.. Change of use from offices (B1) to residential use (C3) to provide 23 x apartments with associated car and cycle parking and refuse storage facilities,local-authority-eng:KTT,,2015-01-07,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=14/15161/PNO,permissioned,other,RBK0002,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"8-12 Coombe Road, New Malden",yes,,2017-12-12,,0.04,6,6,Prior approval 15/14039/PNO for 6 net additional homes (C3) granted on 10/03/2015.. Proposed change of use from offices (B1(a)) to residential use (C3) on the first and second floors.,local-authority-eng:KTT,,2015-03-10,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14039/PNO,permissioned,other,RBK0003,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"2A Somerset Close, New Malden",yes,,2017-12-12,,0.06,5,5,Planning permission 15/14516/FUL for 1 net additional home (C3) granted on 13/07/2017. Site has capacity to deliver at least 5 net additional homes (C3).. Erection of a new four-bedroom dwelling (C3).,local-authority-eng:KTT,,2015-07-13,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14516/FUL,permissioned,full planning permission,RBK0004,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"Zanta, Coombe Park, Kingston upon Thames",yes,,2017-12-12,,0.16,5,5,Planning permission 15/14426/FUL for 0 net additional homes (C3) granted on 17/07/2017. Site has capacity to deliver at least 5 net additional homes (C3).. Demolition of existing property and erection of a six-bedroom house (C3) with basement and rooms in the roof space.,local-authority-eng:KTT,,2015-07-17,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14426/FUL,permissioned,full planning permission,RBK0005,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"Kincross, 13 Coombe Lane West, Kingston upon Thames",yes,,2017-12-12,,0.08,5,5,Planning permission 15/14469/FUL for 1 net additional home (C3) granted on 20/07/2017. Site has capacity to deliver at least 5 net additional homes (C3).. Erection of 1 x detached five-bed dwellinghouse (C3) with accommodation within the roofspace.,local-authority-eng:KTT,,2015-07-20,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14469/FUL,permissioned,full planning permission,RBK0006,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"35 Woodlands Road, Surbiton",yes,,2017-12-12,,0.21,5,5,Planning permission 15/16152/FUL for 0 net additional homes (C3) granted on 03/08/2017. Site has capacity to deliver at least 5 net additional homes (C3).. Demolition of existing house and detached garage. Construction of new two-storey house (C3) with basement.,local-authority-eng:KTT,,2015-08-03,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/16152/FUL,permissioned,full planning permission,RBK0007,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"Park Lodge Warren Park, Kingston upon Thames ",yes,,2017-12-12,,0.32,5,5,Planning permission 15/14711/FUL for 0 net additional homes (C3) granted on 20/08/2015. Site has capacity to deliver at least 5 net additional homes (C3).. Demolition of existing dwelling and erection of 1 x eight-bedroom dwelling (C3) including basement level.,local-authority-eng:KTT,,2015-08-20,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14711/FUL,permissioned,full planning permission,RBK0008,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"17-19 Grove Road, Surbiton",yes,,2017-12-12,,0.05,5,5,Planning permission 14/12933/FUL for 1 net additional home (C3) granted on 26/08/2015. Site has capacity to deliver at least 5 net additional homes (C3).. Erection of single storey detached dwelling (C3).,local-authority-eng:KTT,,2015-08-26,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=14/12933/FUL,permissioned,full planning permission,RBK0009,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
"180 Coombe Lane West, Kingston upon Thames",yes,,2017-12-12,,0.14,5,5,Planning permission 15/14545/OUT for 3 net additional homes (C3) granted on 10/09/2015. Site has capacity to deliver at least 5 net additional homes (C3).. Outline application for demolition of existing house and replacement with 1 x detached two-storey dwelling (C3) and 3 x three-storey terrace dwellings (C3) with accommodation in the roofspace (appearance and landscaping reserved).,local-authority-eng:KTT,,2015-09-10,https://maps.kingston.gov.uk/propertyServices/planning/Details?caseNo=15/14545/OUT,permissioned,outline planning permission,RBK0010,https://maps.london.gov.uk/brownfield-site-register,2017-12-12
