site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Heathside and Lethbridge Estate,yes,,2017-11-30,,6.05,645,645,"14/087333 (currently at phase 4) for mixed use development including 2-6 phases with a total of 1,225 residential units minus 565 existing units, with phase 4 (236 units) still to be logged as completed and phases 5 (284 units) and 6 (159 units) still to be approved",local-authority-eng:LEW,mixed ownership,2014-12-08,,permissioned,reserved matters approval,BK001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"BMW site, Lee Terrace",yes,,2017-11-30,,0.35,30,30,"16/095488 for mixed use development including 9 x one bedroom, 8 x two bedroom, 3 x three bedroom self-contained flats and 10 x four bedroom townhouses",local-authority-eng:LEW,not owned by a public authority,2016-10-20,,permissioned,full planning permission,BK002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Former petrol station, 167 Lewisham Road",yes,,2017-11-30,,0.07,28,28,15/091914 for mixed use development including 28 flats,local-authority-eng:LEW,not owned by a public authority,2016-03-16,,permissioned,full planning permission,BK003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"23 Boone Street, Dacre Park Estate",yes,,2017-11-30,,0.91,25,25,"14/089902 for residential development including 6 x 1 bedroom and 14 x 2 bedroom flats, 3 x 3 bedroom and 2 x 4 bedroom flats",local-authority-eng:LEW,owned by a public authority,2015-03-04,,permissioned,full planning permission,BK004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Tower House, 65-71 Lewisham High Street",yes,,2018-10-22,,0.17,56,56,"15/094039, 15/094870 and 17/100726 Prior Approval for residential development including two additional floors at roof level with 56 residential units",local-authority-eng:LEW,not owned by a public authority,2017-04-16,,permissioned,full planning permission,BK005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Independents Day Centre, Independents Road",yes,,2017-11-30,,0.06,16,16,10/76229 for residential development including 10 x one bedroom self-contained flats and 4 x two bedroom and 2 x three bedroom self-contained maisonettes,local-authority-eng:LEW,not owned by a public authority,2013-12-17,,permissioned,full planning permission,BK006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
1 Myron Place,yes,,2017-11-30,,0.02,12,12,16/099036 Prior Approval for residential development including 12 studio flats,local-authority-eng:LEW,not owned by a public authority,2016-12-21,,permissioned,full planning permission,BK007,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Our Lady of Lourdes School, Belmont Hill",yes,,2017-11-30,,0.26,9,9,15/094157 for residential development including 9 x four bedroom town houses comprising three pairs of semi-detached houses and one terrace of three houses,local-authority-eng:LEW,not owned by a public authority,2016-01-08,,permissioned,full planning permission,BK008,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Garages at 49-71 Dacre Park,yes,,2017-11-30,,0.09,5,5,14/89973 for residential development including 5 x two bedroom mews houses,local-authority-eng:LEW,owned by a public authority,2015-04-22,,permissioned,full planning permission,BK009,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
17 Brandram Road,,,2018-10-22,,0.03,6,6,Lapsed 07/65979 and Lapsed 09/73230 for residential development including 4 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,BK010,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
351-355 Sydenham Road,yes,,2017-11-30,,0.04,9,9,14/88927 for residential development including 8 x two bedroom self-contained flats and 1 x one bedroom maisonette,local-authority-eng:LEW,not owned by a public authority,2015-02-02,,permissioned,full planning permission,BL001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
