site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Welwyn Garden City - Broadwater Road West SPD Site (North),yes,,2018-12-13,,9.09,1340,850,New application for 1340 dwellings 6/2018/0171/MAJ awaiting determination.,local-authority-eng:WEW,not owned by a public authority,2017-08-18,,permissioned,outline planning permission,WGC104b,http://www.welhat.gov.uk/map?getmap=true&scale=5000&location=524150.149902344^212847.925292969&layersidentifier=316953772e564d9d929d7fb83f9f0308&menuconfig=Live,2017-12-15
Welwyn Garden City - Broadwater Road West SPD Site (West),,,2017-12-15,,2.07,171,171,,local-authority-eng:WEW,not owned by a public authority,,,Not permissioned,,WGC104c,http://www.welhat.gov.uk/map?getmap=true&scale=2500&location=523981.846191406^212683.924804688&layersidentifier=be9550819e5646d1a440e3cc9227984d&menuconfig=Live,2017-12-15
Welwyn Garden City - Xerox Campus Bessemer Road (New build - West Blocks X2 and X3),yes,,2017-12-15,,1.2,125,125,,local-authority-eng:WEW,not owned by a public authority,2016-12-16,,permissioned,reserved matters approval,WGC135e,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524228.666015625^213445.471969504&layersidentifier=413defcc58484fc0b9dc9938242d79c7&menuconfig=Live,2017-12-15
Welwyn Garden City - Former QEII Hospital Howlands,yes,,2018-12-13,,4.92,124,124,Total site capacity 163 dwellings - 39 dwellings completed as of 31 March 2018.,local-authority-eng:WEW,not owned by a public authority,2016-02-15,,permissioned,reserved matters approval,WGC120a,http://www.welhat.gov.uk/map?getmap=true&scale=2500&location=525215.892089844^210892.827636719&layersidentifier=1830c827bc494cf6b189166713265796&menuconfig=Live,2017-12-15
Welwyn Garden City - Ratcliff Tail Lift Site Bessemer Road,yes,,2017-12-15,,2.19,110,110,,local-authority-eng:WEW,not owned by a public authority,,,Not permissioned,,WGC109,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524806.500488281^213966.249511719&layersidentifier=f0629b073daa49948b798fee2ad92ac5&menuconfig=Live,2017-12-15
Welwyn Garden City - Xerox Campus Bessemer Road (New build - East Blocks X1 and X4),yes,,2017-12-15,,1.25,110,110,,local-authority-eng:WEW,not owned by a public authority,2016-12-16,,permissioned,reserved matters approval,WGC135d,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524438.274902344^213443.649902344&layersidentifier=8db43eaf2123442b8a114741c922fc7f&menuconfig=Live,2017-12-15
Welwyn Garden City - Town Centre North SPD Site,,,2017-12-15,,1.42,100,100,The majority of the site is owned by a public authority but parts are privately owned.,local-authority-eng:WEW,mixed ownership,,,Not permissioned,,WGC123,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=523815.785644531^213104.564453125&layersidentifier=cd2dc7b5df9549c7b1c22115c60731ce&menuconfig=Live,2017-12-15
Hatfield - Highview (Hilltop) SPD Site,yes,,2017-12-15,,1.85,87,87,,local-authority-eng:WEW,owned by a public authority,,,Not permissioned,,Hat102,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=521998.476074219^207011.575195313&layersidentifier=66ec249f742a4b63bf602a976b97d6ba&menuconfig=Live,2017-12-15
Welwyn Garden City - Xerox Campus Bessemer Road (Bus/Entp/Devt Centre - Prior approval),yes,,2018-12-13,,1.51,70,70,Total site capacity 210 dwellings - 140 dwellings completed as of 31 March 2018.,local-authority-eng:WEW,not owned by a public authority,2015-07-09,,permissioned,Other,WGC135a,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524344.780761719^213483.504394531&layersidentifier=25bf402c65224a4ea43af149a6092910&menuconfig=Live,2017-12-15
Hatfield - 1-9 Town Centre,yes,,2017-12-15,,0.82,66,66,,local-authority-eng:WEW,owned by a public authority,,,pending decision,,Hat101b,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=522602.906738281^208700.045898438&layersidentifier=d3e2470c97bf416aabc90767d6f9230c&menuconfig=Live,2017-12-15
Hatfield - Comet Hotel St Albans Road West,yes,,2017-12-15,,1.6,124,124,"310 bed spaces, equal to 124 dwelling equivalents when applying the 2.5:1 ratio as outlined in the Housing Delivery Measurement Rulebook, published by MHCLG in July 2018.",local-authority-eng:WEW,not owned by a public authority,2016-10-13,,permissioned,full planning permission,Hat136,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=521250.819335938^208244.749755859&layersidentifier=8c48c07399474e11bed7ec4cda5a267c&menuconfig=Live,2017-12-15
Hatfield - L Kahn Manufacturing Wellfield Road,,,2017-12-15,,0.88,62,62,,local-authority-eng:WEW,not owned by a public authority,,,Not permissioned,,Hat111,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=522441.875^209011.300292969&layersidentifier=6ea3977c36b244e8856d939d3981e24f&menuconfig=Live,2017-12-15
Welwyn Garden City - Inspira House Martinfield,yes,,2017-12-15,,0.42,54,54,,local-authority-eng:WEW,not owned by a public authority,2017-05-30,,permissioned,Other,WGC140,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524779.609375^212956.903320313&layersidentifier=6b2f822adc13427981d5796897636ca4&menuconfig=Live,2017-12-15
Welwyn Garden City - 51 Bridge Road East,yes,,2018-12-13,,0.64,54,54,"Included previously under permission reference 6/2017/1301/PN11, new permission was granted in May 2018, net dwellings increased from 38 to 54 to reflect new permission.",local-authority-eng:WEW,not owned by a public authority,2018-05-29,,permissioned,Other,WGC141,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524590.975097656^212935.649902344&layersidentifier=fa4181689b2b4a8f93018ce0edaa0c20&menuconfig=Live,2017-12-15
Welwyn Garden City - Xerox Campus Bessemer Road (Entp/Devt Centre - Additional units),yes,,2017-12-15,,0.4,44,44,,local-authority-eng:WEW,not owned by a public authority,2016-06-02,,permissioned,full planning permission,WGC135c,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524380.348632813^213471.460449219&layersidentifier=89143ac42fc74f159c77bdfa23724b1a&menuconfig=Live,2017-12-15
Welwyn Garden City - Mercury House 1 Broadwater Road,yes,,2017-12-15,,0.24,43,43,,local-authority-eng:WEW,not owned by a public authority,2017-08-17,,permissioned,full planning permission,WGC137,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524328.954589844^212977.604492188&layersidentifier=9db8764537464c999c492322bd600d05&menuconfig=Live,2017-12-15
Welwyn Garden City - Rank Xerox Technical Centre Bessemer Road Block X6,yes,,2018-12-13,,0.57,38,38,,local-authority-eng:WEW,not owned by a public authority,2018-01-30,,permissioned,full planning permission,WGC135g,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524216.335037279^213511.180076774&layersidentifier=07a4245f591f48b3a69be6396ca0a205&menuconfig=Live,2018-12-13
Welwyn Garden City - Broadwater Road West SPD Site (Central - Roche Building),yes,,2017-12-15,,0.61,34,34,,local-authority-eng:WEW,not owned by a public authority,,,pending decision,,WGC104d,http://www.welhat.gov.uk/map?getmap=true&scale=750&location=524133.881835938^212579.763671875&layersidentifier=90a82cfc591d4947992a019cf99e4c7d&menuconfig=Live,2017-12-15
