site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Hall Farm Church Lane Arborfield RG2 9HX,yes,,2017-11-17,,0.38,2,2,,local-authority-eng:WOK,not owned by a public authority,2016-05-26,,permissioned,full planning permission,BR007,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Oakley Farm Pound Lane Hurst RG10 0RS,yes,,2017-11-17,,2.29,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-07-11,,permissioned,full planning permission,BR011,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Lambda Cottage Wick Hill Lane Finchampstead RG40 3SR,yes,,2017-11-17,,0.28,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-09-11,,permissioned,full planning permission,BR012,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Bell House Park Place Kentons Lane RG10 9HT,yes,,2017-11-17,,0.25,4,4,,local-authority-eng:WOK,not owned by a public authority,2016-12-06,,permissioned,full planning permission,BR018,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"The Bungalow, Henley Road",yes,,2017-11-17,,1.44,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-03-09,,permissioned,full planning permission,BR020,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Elms Field & The Paddocks, Elms Rd, Wokingham",yes,,2017-11-17,,6.7,126,126,,local-authority-eng:WOK,not owned by a public authority,2016-04-06,,permissioned,full planning permission,BR024,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Arcadia Loddon Drive Wargrave RG10 8HH,yes,,2017-11-17,,0.53,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-03-17,,permissioned,full planning permission,BR025,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Garth House, 53 Denmark Street, Wokingham",yes,,2017-11-17,,,6,6,,local-authority-eng:WOK,not owned by a public authority,2016-02-05,,permissioned,other,BR028,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Strowdes Upper Culham Lane Remenham Berkshire RG10 8NU,yes,,2017-11-17,,2.47,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-07-05,,permissioned,full planning permission,BR033,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Thatchers Mead Thames Drive Charvil RG10 9TP,yes,,2017-11-17,,0.34,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-04-15,,permissioned,full planning permission,BR034,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Riseley Business Park Basingstoke Road Riseley Reading RG7 1NW,yes,,2017-11-17,,,26,26,,local-authority-eng:WOK,not owned by a public authority,2016-05-27,,permissioned,other,BR046,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
St John's Church Church Road Farley Hill,yes,,2017-11-17,,0.27,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-07-04,,permissioned,full planning permission,BR047,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
86 Loddon Bridge Road Woodley Reading RG5 4AN,yes,,2017-11-17,,0.53,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-11-15,,permissioned,full planning permission,BR050,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
42 Danywern Drive Winnersh Wokingham RG41 5PA,yes,,2017-11-17,,0.75,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-08-17,,permissioned,full planning permission,BR056,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Cyber House 2 Molly Millars Lane Wokingham Berkshire RG41 2PX,yes,,2017-11-17,,,65,65,,local-authority-eng:WOK,not owned by a public authority,2016-08-16,,permissioned,other,BR058,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
