site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Goods Yard, London Road Carlisle",,,2018-12-06,yes,1.99,50,50,,local-authority-eng:CAR,not owned by a public authority,,,not permissioned,,CA51,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
"South Western Terrace, Carlisle",,,2018-12-06,yes,3.11,90,90,Authority to issue permission on site for 7 years. Contamination issues. Not deliverable in 5 years,local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_53082,not permissioned,,CA25,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Nelson Street Carlisle,,,2018-12-06,,2.84,80,80,"Outline permission for residential development on site since 2004, regularly renewed.",local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_56003,permissioned,outline planning permission,CA49,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Laings Site Dalston Rd,,,2018-12-06,,1.12,30,30,,local-authority-eng:CAR,not owned by a public authority,,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_74124,not permissioned,,U21,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Caxton Rd Carlisle,yes,,2018-12-06,,1.4,40,40,outline permission for 63 dwellings. Reserved matters currently being considered.,local-authority-eng:CAR,not owned by a public authority,2016-08-11,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activhttp://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_71165,permissioned,outline planning permission,CA75,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Harker Carlisle,,,2018-12-06,,10.59,300,300,,local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do;jsessionid=DEDBAF9DA529115979CC5176DAB07EF4?action=firstPage,not permissioned,,R11,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Site of Pennine Way Primary School,,,2018-12-06,,3.46,103,103,Land to be used for temporary relocation of school until 2021,local-authority-eng:CAR,not owned by a public authority,2016-07-14,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_67551,permissioned,other,U3,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
The Grange Wood St Carlisle,yes,,2018-12-06,,0.28,7,7,,local-authority-eng:CAR,not owned by a public authority,2017-10-17,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=dates&keyVal=_CARLI_DCAPR_70638,permissioned,full planning permission,17/0429,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
St Ninians Road Carlisle,,,2018-12-06,,3.09,132,132,,local-authority-eng:CAR,not owned by a public authority,2017-01-31,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,15/1003,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Central Plaza Hotel Carlisle,,,2018-12-06,,0.08,10,10,"Former hotel falling into disrepair. Small site area, but potentially developable over several floors",local-authority-eng:CAR,not owned by a public authority,,,not permissioned,,,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
The Citadel Carlisle,,,2018-12-06,,1.83,36,36,,local-authority-eng:CAR,owned by a public authority,,,not permissioned,,,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Caldew Riverside Carlisle,,,2018-12-06,,5.46,100,100,,local-authority-eng:CAR,owned by a public authority,,,not permissioned,,,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Site of former Lochinvar School Longtown,,,2018-12-06,,3.56,106,106,,local-authority-eng:CAR,owned by a public authority,,,not permissioned,,R 4,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Former Offices Portland Square Carlisle,yes,,2018-12-06,,0.93,22,22,Redevelopment of former council offices.,local-authority-eng:CAR,owned by a public authority,2016-12-23,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=_CARLI_DCAPR_68011,permissioned,full planning permission,,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
Former Caldew Hospital Carlisle,yes,,2017-12-31,,0.38,11,11,,local-authority-eng:CAR,not owned by a public authority,,,not permissioned,,,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31
