site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Former Carpet Auctions Comberton Place,yes,,2017-12-31,,0.51,23,23,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0268/FULL 8 flats approved under separate application. Demolition of existing buildings to provide 23 new dwelling houses with associated landscaping and parking,local-authority-eng:WYE,not owned by a public authority,2017-10-24,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0269/FULL,permissioned,full planning permission,AS/1,http://www.wyreforestdc.gov.uk/media/3411897/AS1-Comberton-Place.png,2017-12-31
Service Station Chester Road South,yes,,2017-12-31,,0.41,10,10,Allocated for residential development under SAL.KSS1. Outline application for proposed residential development of 10 dwelling houses with all matter reserved,local-authority-eng:WYE,not owned by a public authority,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0617/OUTL,pending decision,,AS/3,http://www.wyreforestdc.gov.uk/media/3411848/AS3-Chester-Road-South-Service-Station.png,2017-12-31
Lea Street School Lea Street,yes,,2017-12-31,,0.47,24,24,,local-authority-eng:WYE,owned by a public authority,,,not permissioned,,AS/6,http://www.wyreforestdc.gov.uk/media/3411849/AS6-Lea-Street-School.png,2017-12-31
Former Polish Club St.Georges Terrace,yes,,2017-12-31,,0.11,8,8,Proposed re-development of existing Polish club building to Eight 1 bed apartments,local-authority-eng:WYE,not owned by a public authority,2015-10-15,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0487/FULL,permissioned,full planning permission,AS/7,http://www.wyreforestdc.gov.uk/media/3411850/AS7-Former-Polish-Club.png,2017-12-31
Adjacent 78 Cherry Orchard,yes,,2017-12-31,,0.06,5,5,Proposed 5no One Bed Flats (Resubmission of Previously Approved Ref No. 09/0487/FULL),local-authority-eng:WYE,not owned by a public authority,2017-02-17,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0705/FULL,permissioned,full planning permission,AS/8,http://www.wyreforestdc.gov.uk/media/3411851/AS8-78-Cherry-Orchard.png,2017-12-31
93-94 New Road,yes,,2017-12-31,,0.06,8,8,,local-authority-eng:WYE,not owned by a public authority,,,not permissioned,,BHS/7,http://www.wyreforestdc.gov.uk/media/3411852/BHS7-93-94-New-Road.png,2017-12-31
site of British Heart Foundation Market Street,yes,,2017-12-31,,0.05,10,10,,local-authority-eng:WYE,not owned by a public authority,,,not permissioned,,BHS/8,http://www.wyreforestdc.gov.uk/media/3411853/BHS8-Former-British-Heart-Foundation-Market-Street.png,2017-12-31
Frank Stone Building Green Street,yes,,2017-12-31,,0.32,16,16,Allocated for mixed of uses including housing under KCA.HP2,local-authority-eng:WYE,not owned by a public authority,,,not permissioned,,BHS/10,http://www.wyreforestdc.gov.uk/media/3411854/BHS10-Frank-Stone-Building.png,2017-12-31
37 Park Lane,yes,,2017-12-31,,0.05,7,7,,local-authority-eng:WYE,not owned by a public authority,,,not permissioned,,BHS/15,http://www.wyreforestdc.gov.uk/media/3411856/BHS15-Former-Parkers-Arms-Site.png,2017-12-31
Timber Yard Park Lane,yes,,2017-12-31,,2.1,55,55,,local-authority-eng:WYE,mixed ownership,,,not permissioned,,BHS/16,http://www.wyreforestdc.gov.uk/media/3411857/BHS16-Timber-Yard.png,2017-12-31
