site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
' Montagu House London Road Retford '',,,2020-03-25,,0.59,18,18,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA002,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Land opposite 87 West Carr Road Retford '',yes,,2020-03-25,,0.33,12,12,' 16/00364/OUT Outline Planning Application with Some Matters Reserved for an Indicative 12 Dwellings and Construction of New Access - Residential Development '',local-authority-eng:BAE,not owned by a public authority,2016-12-15,http://publicaccess.bassetlaw.gov.uk/online-applications/,permissioned,outline planning permission,LAA008,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Unit 3 Rossington Park West Carr Road Retford '',,,2020-03-25,,2.16,78,78,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA011,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Kettlewell ltd Grove Street Retford '',,,2020-03-25,,0.51,65,65,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA040,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Worksop Golf Club Windmill Lane Worksop '',,,2020-03-25,,1.19,20,20,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA077,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Canal Turn Welham Road Retford '',,,2020-03-25,,1.24,4,4,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA138,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Former Bassetlaw Learning Centre 112 Newgate Street Worksop '',yes,,2020-03-25,,0.85,31,31,,local-authority-eng:BAE,owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA142,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Manton Primary School Worksop '',yes,,2020-03-25,,3.69,133,133,,local-authority-eng:BAE,owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA147,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Welbeck Colliery Budby Road Welbeck '',yes,,2020-03-25,,33.63,65,65,' 15/01037/FUL Hybrid Planning Application Seeking Residential Development (Use Class C3) '',local-authority-eng:BAE,not owned by a public authority,2016-08-17,http://publicaccess.bassetlaw.gov.uk/online-applications/,permissioned,full planning permission,LAA223,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Tuxford Memorial Hall Ashvale Road Tuxford '',,,2020-03-25,,0.4,8,8,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA229,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Former Depot Budby Road Cuckney'',,,2020-03-25,,0.93,5,5,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA292,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Harworth Colliery Scrooby Road Harworth and Bircotes '',yes,,2020-03-25,,62,682,682,' 61/09/00052 OUTLINE APPLICATION FOR THE REDEVELOPMENT OF HARWORTH COLLIERY AND THE SURROUNDING LAND FOR THE ERECTION OF UPTO 996 RESIDENTIAL UNITS '',local-authority-eng:BAE,not owned by a public authority,2011-03-29,http://publicaccess.bassetlaw.gov.uk/online-applications/,permissioned,outline planning permission,LAA384,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Former Elizabethan High School Leafield Retford '',,,2020-03-25,,1.41,93,93,,local-authority-eng:BAE,owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA413,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Firbeck Colliery Doncaster Road Carlton in Lindrick '',yes,,2020-03-25,,13.77,400,400,' 15/01457/FUL Outline Planning Permission for the Erection of up to 400 Dwellings '',local-authority-eng:BAE,not owned by a public authority,2019-08-23,http://publicaccess.bassetlaw.gov.uk/online-applications/,permissioned,outline planning permission,LAA463,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Gateford Road Car Park Worksop '',,,2020-03-25,,0.58,30,30,,local-authority-eng:BAE,owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA465,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Former Knitwear Factory Retford Road Worksop '',yes,,2020-03-25,,1.9,40,40,' 20/00183/FUL There was a full planning appliction put in to erect 54 affordable residential dwellings that is awaiting decision'',local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,pending decision,,LAA466,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Canal Road Worksop '',yes,,2020-03-25,,1.7,46,46,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA467,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Station Road Retford '',,,2020-03-25,,0.1,5,5,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA472,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
' Cottam Power Station Cottam '',yes,,2020-03-25,,108.9,1500,1500,,local-authority-eng:BAE,not owned by a public authority,,http://publicaccess.bassetlaw.gov.uk/online-applications/,not permissioned,,LAA473,https://arcgisportal.bassetlaw.gov.uk/arcgis/apps/webappviewer/index.html?id=ca84ac93eb5b49ad899e54d2efe4bf3d,2020-03-25
