site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Gas Holder Site Homesdale Road Bromley BR1 2UE,yes,,2018-05-22,,1,60,60,,local-authority-eng:BRY,,,,Not permissioned,,POINT(0.032183 51.400753),BLR1,http://bromley-consult.objective.co.uk/events/29806/images/web/4227628_0_1.jpg,
Land adjacent to Bickley StationBR1 2EB,yes,,2018-05-22,,0.9,30,30,,local-authority-eng:BRY,,,,Not permissioned,,POINT(0.042703 51.39968),BLR2,http://bromley-consult.objective.co.uk/events/29806/images/web/4227632_0_1.jpg,
Opportunity Site B Corner of Tweedy Road/London Road,yes,,2018-05-22,,0.37,24,24,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,POINT(0.012023 51.408852),BLR3,http://www.bromley.gov.uk/download/downloads/id/516/btc_aap_appendices_5_to_7_and_glossary.pdf,
Opportunity Site C Old Town Hall 30 Tweedy Road BR1 3FE,yes,,2018-05-22,,0.7,53,53,,local-authority-eng:BRY,owned by a public authority,2016-08-11,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3RE2YBTM9W00,permissioned,full planning permission,POINT(0.017921 51.406628),BLR4,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3RE2YBTM9W00,
Opportunity Site P Sainsbury's West Street Bromley BR1 1TP,,,2018-05-22,,1.25,20,20,,local-authority-eng:BRY,,,,Not permissioned,,POINT(0.013545 51.407153),BLR5,http://www.bromley.gov.uk/download/downloads/id/516/btc_aap_appendices_5_to_7_and_glossary.pdf,
Bromley Civic Centre Stockwell Close BR1 3UH,,,2018-05-22,,5.75,70,70,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,POINT(0.021199 51.403676),BLR6,http://bromley-consult.objective.co.uk/events/29806/images/web/4227630_1_1.jpg,
West of Bromley High Street and Land at Bromley South BR1/BR2,,,2018-05-22,,4.54,1230,1230,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,POINT(0.015747 51.401324),BLR7,http://bromley-consult.objective.co.uk/events/29806/images/web/4227638_0_1.jpg,
Land adjacent to Bromley North Station Tweedy Road Bromley BR1,yes,,2018-05-22,,3,525,525,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,POINT(0.017434 51.409272),BLR8,http://bromley-consult.objective.co.uk/events/29806/images/web/4227637_0_1.jpg,
The Hill Car Park & Adjacent LandsBR2 0DA,,,2018-05-22,,1.25,150,150,,local-authority-eng:BRY,mixed ownership,,,Not permissioned,,POINT(0.011342 51.406427),BLR9,http://bromley-consult.objective.co.uk/events/29806/images/web/4227627_0_1.jpg,
Banbury House Bushell Way Chislehurst BR7 6SF,yes,,2018-05-22,,0.27,25,25,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,POINT(0.059481 51.423064),BLR10,http://bromley-consult.objective.co.uk/events/29806/images/web/4227639_0_1.jpg,
Bromley Valley Gym and Adjacent Lands Chipperfield Road St Paul’s Cray BR5 2QR,,,2018-05-22,,2.8,200,200,,local-authority-eng:BRY,owned by a public authority,,,Not permissioned,,POINT(0.10348 51.405466),BLR11,http://bromley-consult.objective.co.uk/events/29806/images/web/4227635_0_1.jpg,
Small Halls York Rise Orpington BR6 8AD,yes,,2018-05-22,,0.46,35,35,,local-authority-eng:BRY,owned by a public authority,,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8P3CNBTGCM00,Not permissioned,,POINT(0.086482 51.373486),BLR12,http://bromley-consult.objective.co.uk/events/29806/images/web/4227634_0_1.jpg,
18-44 Homefield Rise Orpington BR6 ORU,yes,,2018-05-22,,0.75,87,87,,local-authority-eng:BRY,,,,Not permissioned,,POINT(0.101426 51.374757),BLR13,http://bromley-consult.objective.co.uk/events/29806/images/web/4227626_0_1.jpg,
SiteNameAddress,yes,,2018-05-22,,,,,,local-authority-eng:BRY,Ownership Status,,,permissioned,Permission Type,,Site Reference,,
6 Woodlands Road BR1 2AF Bickley,yes,,2018-05-22,,0.89,3,3,,local-authority-eng:BRY,,2015-03-02,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NFBT5BBTJX000,permissioned,Hybrid Full/Outline planning permission with All Matters Reserved.,POINT(0.045972 51.403678),BLR14,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NFBT5BBTJX000,
Bickley And Widmore Working Mens Club Tylney Road BR1 2SH,yes,,2018-05-22,,0.006,6,6,,local-authority-eng:BRY,,2015-06-12,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJPD85BTFGU00,permissioned,full planning permission,POINT(0.035323 51.401525),BLR15,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJPD85BTFGU00,
248 Southlands Road BR1 2EQ,yes,,2018-05-22,,0.1,9,9,,local-authority-eng:BRY,,2016-08-31,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9KKPCBTGPK00,permissioned,full planning permission,POINT(0.043936 51.396394),BLR16,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O9KKPCBTGPK00,
42 Orchard Road BR1 2PS,yes,,2018-05-22,,0.17,8,8,,local-authority-eng:BRY,,2017-08-07,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMWA4GBTLLR00,permissioned,full planning permission,POINT(0.034171 51.409576),BLR17,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMWA4GBTLLR00,
