site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Former Acre Lane Resource Centre , Acre Lane, Bromborough",yes,,2018-12-21,,2.85,76,76,Full permission for 217 dwellings approved 19/7/18 subject to S106 agreement with wider greenfield site,local-authority-eng:WRL,owned by a public authority,,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_93523,pending decision,,POINT(-2.98359 53.325674),1666,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Croda Listed building Pool Lane, Bromborough Pool",yes,,2017-12-22,,0.37,23,23,Conversion of listed building only. Change of use from offices into self contained flats,local-authority-eng:WRL,not owned by a public authority,2016-08-22,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_97071,permissioned,full planning permission,POINT(-2.985124 53.352467),672100,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Land Adj 16 The Esplanade, New Ferry",yes,,2017-12-22,,0.3,21,21,5 Houses & 16 Apartments,local-authority-eng:WRL,not owned by a public authority,2016-10-05,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_97270,permissioned,outline planning permission,POINT(-2.994074 53.365867),667800,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Former Dell Primary School, The Dell, Tranmere",yes,,2018-12-21,,1.2,36,36,08/05589 development commenced but stalled. 17/01504 proposes 32 flats & 39 houses,local-authority-eng:WRL,not owned by a public authority,,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_81228,pending decision,,POINT(-2.998204 53.367037),587100,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Cleared Site, 15 New Chester Road, New Ferry",yes,,2017-12-22,,0.02,6,6,Self contained flats,local-authority-eng:WRL,not owned by a public authority,2017-02-22,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_100343,permissioned,full planning permission,POINT(-2.998946 53.363391),645500,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-25
"Trafalgar Service Station, Gardens Road, Bebington",yes,,2018-12-21,,0.24,26,26,15/00278 outline permission expired. Apartments,local-authority-eng:WRL,not owned by a public authority,,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_95596,pending decision,outline planning permission,POINT(-2.99913 53.348791),557000,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"South of 706 New Chester Road, New Ferry",,,2017-12-22,,0.19,6,6,,local-authority-eng:WRL,not owned by a public authority,,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_78081,not permissioned,,POINT(-3.001542 53.365167),255,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Bromborough Car Sales, 576-578 New Chester Road , Rock Ferry",yes,,2018-12-21,,0.09,7,7,12/01334 laspsed 17-03-17. 3 storey houses,local-authority-eng:WRL,not owned by a public authority,2015-03-17,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_89998,not permissioned,,POINT(-3.004659 53.369257),570700,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"143 Highfield Road, Rock Ferry",yes,,2018-12-21,,0.14,17,17,Demolition Consent pending DEM/18/01224. Conversion and extension for apartments,local-authority-eng:WRL,not owned by a public authority,2015-08-20,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_95765,not permissioned,,POINT(-3.00875 53.368126),654300,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
"Rose Brae, Church Street, Birkenhead",,,2017-12-22,,1.98,130,130,allocated housing site ,local-authority-eng:WRL,not owned by a public authority,,https://planning.wirral.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WIRRA_DCAPR_26974,not permissioned,,POINT(-3.010288 53.393076),478,https://mapping.wirral.gov.uk/wml8/Map.aspx?MapName=Brownfield,2017-12-22
