site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Site of 1-7 Allen Street, 7, 9, 11, 13 and 15 Smithfield and Snow Lane, Sheffield",,,2017-12-12,,0.47,36,36,Estimated to comprise of 20 Apartments and 16 Houses,local-authority-eng:SHF,not owned by a public authority,2013-07-03,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MDQY7YNYFY000,permissioned,full planning permission,S02156,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Scarsdale House, 136 Derbyshire Lane, Woodseats",,,2017-12-12,,0.19,22,22,Estimated to comprise of 14 Apartments and 8 Houses,local-authority-eng:SHF,not owned by a public authority,2008-06-17,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JEZMBUNYSF000,permissioned,full planning permission,S00202,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Site Of 55 Russell Street And Bowling Green Street Sheffield S3 8RW,,,2017-12-12,,0.08,45,45,Estimated to comprise of 45 Apartments,local-authority-eng:SHF,not owned by a public authority,2009-01-20,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JJZ5U9NYFD000,permissioned,full planning permission,S03489,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
First Floor To Third Floors 19 - 21 Haymarket Sheffield S1 2AW,yes,,2017-12-12,,0.03,5,5,Estimated to comprise of 5 Apartments,local-authority-eng:SHF,not owned by a public authority,2014-12-23,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N0MSM6NYFY000,permissioned,full planning permission,S02576,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Site of 45 Stalker Lees Road,yes,,2017-12-12,,0.06,12,12,Estimated to comprise of 12 Apartments,local-authority-eng:SHF,not owned by a public authority,2012-03-02,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LV3U5YNY09I00,permissioned,full planning permission,S01916,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
The Howard,yes,,2017-12-12,,0.03,7,7,Estimated to comprise of 7 Apartments,local-authority-eng:SHF,not owned by a public authority,2011-06-10,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LJW6Z3NY0IS00,permissioned,full planning permission,S01801,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Lynthorpe House, 86 Charlotte Road, Sheffield, S1 4TL",yes,,2017-12-12,,0.14,14,14,Estimated to comprise of 14 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-08-24,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORZVWINYICX00,permissioned,full planning permission,S01417,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Land Adjacent to 24 Bassledene Road, Sheffield",,,2017-12-12,,0.16,20,20,Estimated to comprise of 20 Apartments,local-authority-eng:SHF,not owned by a public authority,2011-12-15,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LTEUIWNYFY000,permissioned,full planning permission,S01381,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Site of Vernons the Bakers and Bankside Works, Archer Road, Sheffield S8 0JT",,,2017-12-12,,0.47,33,33,Estimated to comprise of 33 Apartments,local-authority-eng:SHF,not owned by a public authority,2006-10-17,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J34EZJNYN9000,permissioned,full planning permission,S00108,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Development at Bernard Works Site, Sylvester Gardens, Sheffield S1 4RP",yes,,2017-12-12,,0.26,96,96,Estimated to comprise of 96 Apartments,local-authority-eng:SHF,not owned by a public authority,2006-10-18,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J06O1RNYIE000,permissioned,full planning permission,S00040,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Holiday Inn, Manchester Road",,,2017-12-12,,1.32,133,133,Estimated to comprise of 122 Apartments and 11 Houses,local-authority-eng:SHF,not owned by a public authority,2012-12-05,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MD0HCNNY0IS00,permissioned,full planning permission,S00730,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land adjoining 434-652 Grimesthorpe Road,,,2017-12-12,,1.05,33,33,Estimated to comprise of 33 Houses,local-authority-eng:SHF,not owned by a public authority,2010-03-18,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JZBIWUNY09I00,permissioned,full planning permission,S00215,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Willis House Peel Street Sheffield S10 2PQ,yes,,2017-12-12,,0.16,24,24,Estimated to comprise of 24 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-10-26,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSPNQ0NY0JJ00,permissioned,full planning permission,S02779,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
University Of Sheffield 85 Wilkinson Street Sheffield S10 2GJ,yes,,2017-12-12,,0.12,6,6,Estimated to comprise of 6 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-11-25,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUS21INYFY000,permissioned,full planning permission,S02738,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land To The Rear Of 337 To 359 Middlewood Road Sheffield S6 1TH,yes,,2017-12-12,,0.07,6,6,Estimated to comprise of 6 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-02-09,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKA785NYFY000,permissioned,full planning permission,S02856,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land Between Athol Road And Smithy Wood Road Athol Road Sheffield,yes,,2017-12-12,,0.24,14,14,Estimated to comprise of 9 Apartments and 5 Houses,local-authority-eng:SHF,not owned by a public authority,2016-04-07,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0J071NYFY000,permissioned,full planning permission,S03278,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Musgrave Road, Shirecliffe",yes,,2017-12-12,,0.44,16,16,Estimated to comprise of 16 Houses,local-authority-eng:SHF,owned by a public authority,2015-07-08,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NM6KLGNY0JJ00,permissioned,full planning permission,S03262,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Junction Road,yes,,2017-12-12,,0,17,17,Estimated to comprise of 17 Houses,local-authority-eng:SHF,not owned by a public authority,2016-09-21,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NS8XE0NYFY000,permissioned,full planning permission,S03220,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
