site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"High Town Block C, Midland Road Passage",,,2017-12-01,,0.16,7,6,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,POINT(-0.413124 51.883154),SHLAA138,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/138-and-139.pdf,2017-12-01
"High Town Block M, Burr Street",yes,,2017-12-01,,0.43,97,97,Erection of 97 dwelling flats for affordable housing. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,2015-05-28,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OXNKGLI000,permissioned,full planning permission,POINT(-0.410499 51.882606),SHLAA147,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/146-and-147.pdf,2017-12-01
Station Quarter,,,2017-12-01,,1.48,413,375,No planning history provided as site covers multiple plots with multiple histories,local-authority-eng:LUT,,,,not permissioned,,POINT(-0.412433 51.881328),SHLAA148,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/148-and-149.pdf,2017-12-01
Marsh Farm Central Area,yes,,2017-12-01,,3.91,46,46,"An earlier, extant permission exists (15/00785/FUL). Erection of 24 one bedroom and 58 two bedroom flats and 5 two bedroom, 3 three bedroom and 3 four bedroom houses together with associated works after demolition of the Purley Centre",local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029QGKGLI000,pending decision,,POINT(-0.453512 51.917995),SHLAA149,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/148-and-149.pdf,2017-12-01
Power Court,,,2017-12-01,,7.21,550,550,"Temporary permission for use as car parking exists (17/00976/TEMP). Outline planning permission, with all matters reserved except for access, for mixed use development comprising residential floorspace (use class C3)",local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IHI6YZKGM5018,pending decision,,POINT(-0.40828 51.879618),SHLAA150,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/150-and-151.pdf,2017-12-01
Guardian Industrial Estate,yes,,2017-12-01,,1.58,11,11,"The latest permission amends 13/00915/OUT. The site is mostly complete, with only a few homes left to provide. Erection of 74 residential units",local-authority-eng:LUT,,2016-02-05,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UD7KGLI000,permissioned,full planning permission,POINT(-0.429883 51.882147),SHLAA155,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/154-and-155.pdf,2017-12-01
Moreton Park Estate,yes,,2017-12-01,,0.83,42,42,"Demolition of existing employment buildings and dwelling; Erection of 2 No. 2-bedroom houses, 11 No. 3-bedroom houses, 1 No. 4 bedroom house, 7 No.1-bedroom flats and 21 No. 2 bed-room flats with associated access, garaging and parking arrangements, bin store and electricity sub-station",local-authority-eng:LUT,,2016-12-16,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0020XNKGLI000,permissioned,full planning permission,POINT(-0.399109 51.892792),SHLAA160,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/160-and-161.pdf,2017-12-01
"Oxen Industrial Estate, Oxen Road",,,2017-12-01,,0.60,53,48,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UOTKGLI000,not permissioned,,POINT(-0.405778 51.887092),SHLAA161,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/160-and-161.pdf,2017-12-01
Land at Caleb Close,,,2017-12-01,,2.50,181,181,"The site also has extant permission (15/01507/OUT). Re-development of site to provide 224 residential units comprising of 21 Two Bedroom houses, 20 Three Bedroom houses and 75 one bedroom flats and 108 two bedroom flats with associated car parking and landscaping.",local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MDFDW6KG09800,pending decision,,POINT(-0.448048 51.89343),SHLAA174,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/174-and-175.pdf,2017-12-01
Car Parks on Dunstable Place,,,2017-12-01,,0.29,45,41,No planning history provided as site covers multiple plots with multiple histories,local-authority-eng:LUT,,,,not permissioned,,POINT(-0.420048 51.879201),SHLAA175,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/174-and-175.pdf,2017-12-01
