site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Bere Regis primary school, Rye Hill, Bere Regis",yes,,2018-12-31,,0.3,9,9,Only part of site brownfield - school building SHLAA 6/03/1336,local-authority-eng:PUR,owned by a public authority,,,not permissioned,,BR/03/001,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"Binnegar Hall, East Stoke, Wareham",yes,,2018-12-31,,1.66,50,50,"SHLAA 6/11/1337. Alterations, extensions and changes of use of existing buildings to Class C3 residential use - 23 dwellings - 9 houses and 14 flats/maisonettes",local-authority-eng:PUR,not owned by a public authority,2016-07-01,https://planningsearch.purbeck-dc.gov.uk/PlanAppDisp.aspx?recno=43598,permissioned,full planning permission,BR/11/002,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"Kemps Country House Hotel, East Stoke, Wareham",yes,,2018-12-31,,0.1,6,6,"Other application number 6/2015/0005. Change of use of Kemps Country House to 6 dwellings with associated alteration works, extension to the coach house, parking and landscaping.",local-authority-eng:PUR,not owned by a public authority,2015-09-03,https://planningsearch.purbeck-dc.gov.uk/PlanAppDisp.aspx?recno=43391,permissioned,full planning permission,BR/11/003,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"Bere Farm, Lytchett Minster",yes,,2018-12-31,,0.51,15,15,SHLAA 6/15/1373,local-authority-eng:PUR,not owned by a public authority,,,not permissioned,,BR/15/004,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"Former Police Station Premises, Argyle Road and Kings Road West, Swanage",yes,,2018-12-31,,0.03,6,6,Alterations and extensions to former police station to facilitate conversion to 6 dwellings,local-authority-eng:PUR,not owned by a public authority,2016-12-22,https://planningsearch.purbeck-dc.gov.uk/PlanAppDisp.aspx?recno=45183,permissioned,,BR/20/006,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"Cauldron Barn caravan site, Swanage",yes,,2018-12-31,,0.39,6,6,SHLAA 6/20/1332,local-authority-eng:PUR,not owned by a public authority,,,not permissioned,,BR/20/007,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"former grammar school, Northbrook Road, Swanage",yes,,2018-12-31,,0.93,40,40,Only part of the former school site is brownfield -the majority is that which was orginally set aside as a site for Swanage School.,local-authority-eng:PUR,not owned by a public authority,,,permissioned,,BR/20/008,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"1 The Pier Head, High St, Swanage",yes,,2018-12-31,,0.16,8,8,"Other application numbers 6/2014/0166|6/2011/0812. Demolition Pier Head Building and associated out buildings, erect two new buildings to form eight flats, restaurant, pizza oven, ice cream parlour and gallery. Landscape site and form new vehicular parking in basement",local-authority-eng:PUR,not owned by a public authority,2015-07-31,https://planningsearch.purbeck-dc.gov.uk/PlanAppDisp.aspx?recno=43215,permissioned,full planning permission,BR/20/009,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2017-12-31
"'Former Gas Works Site, Wareham''",yes,,2018-12-31,,0.3,10,10,Allocated in Wareham Neighbourhood Plan for residential development,local-authority-eng:PUR,not owned by a public authority,,,not permissioned,,BR/23/011,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2018-12-31
"'Former Wareham Middle School, Wareham''",yes,,2018-12-31,,1.2,35,35,Allocated in Wareham Neighbourhood Plan for residential development,local-authority-eng:PUR,owned by a public authority,,,not permissioned,,BR/23/012,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/purbeck/brownfield-register-purbeck/brownfield-register-purbeck.aspx,2018-12-31
