site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Nuttalls Yard, Allbrook Hill, Allbrook",,,2017-12-21,,0.6,16,16,,local-authority-eng:EAT,not owned by a public authority,,,Not Permissioned,,BLR-1-1,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Land at south of Long Garden Cottage, Winchester Road (Braxell's Farm), Botley",,,2017-12-21,,0.8,14,14,,local-authority-eng:EAT,not owned by a public authority,,,pending decision,,BLR-2-1,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"59-61 Brownhill Road, Chandlers Ford",yes,,2017-12-21,,0.38,12,12,,local-authority-eng:EAT,not owned by a public authority,2017-06-16,,permissioned,full planning permission,BLR-3-1,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Rear of shopping parade, Hiltingbury, Chandlers Ford",yes,,2017-12-21,,0.5,16,16,,local-authority-eng:EAT,mixed ownership,,,Not Permissioned,,BLR-3-2,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Junction at Leigh Road and Bournemouth Road, Chandlers Ford",,,2017-12-21,,0.45,14,14,,local-authority-eng:EAT,not owned by a public authority,,,Not Permissioned,,BLR-3-3,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Central Precinct, Chandlers Ford",,,2017-12-21,,0.9,64,64,,local-authority-eng:EAT,not owned by a public authority,,,Not Permissioned,,BLR-3-4,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Common Road Industrial Estate, Chandlers Ford",,,2017-12-21,,0.8,25,25,,local-authority-eng:EAT,not owned by a public authority,,,Not Permissioned,,BLR-3-5,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Draper Tools, Chandlers Ford",,,2017-12-21,,4.7,130,130,,local-authority-eng:EAT,not owned by a public authority,2017-07-06,,permissioned,outline planning permission,BLR-3-6,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"10-20 Romsey Road, Eastleigh",,,2017-12-21,,0.31,49,49,,local-authority-eng:EAT,not owned by a public authority,,,pending decision,,BLR-4-1,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Land at Toynbee Road, Eastleigh",,,2017-12-21,,1.9,64,64,,local-authority-eng:EAT,,,,Not Permissioned,,BLR-4-2,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Beatrice Royal Art Gallery, Eastleigh",yes,,2017-12-21,,0.3,14,14,,local-authority-eng:EAT,not owned by a public authority,2016-07-19,,permissioned,full planning permission,BLR-4-3,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"College of further education Desborough Road, Eastleigh",,,2017-12-21,,0.51,9,9,,local-authority-eng:EAT,owned by a public authority,2017-06-20,,permissioned,reserved matters approval,BLR-4-4,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
"Eastleigh College Education Annexe, Cranbury Road, Eastleigh",,,2017-12-21,,0.19,9,9,,local-authority-eng:EAT,owned by a public authority,2015-04-07,,permissioned,outline planning permission,BLR-4-5,https://emaps.eastleigh.gov.uk/webmaplayers8/Map.aspx?MapName=BrownfieldRegister,2017-09-01
