site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Land at Foksville Road, Canvey Island.",yes,,2018-09-12,,0.14,10,10,Outline permission granted. Works have not commenced. Permission expires 08/03/2020. Delivery lead in time 1.5 years. 08/11/17. 12/09/18.. Demolition of existing structures and construction of three storey building comprising of 10 No. apartments with associated works.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2017-03-08,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,outline planning permission,POINT(0.596186 51.522268),CP0001,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3926.pdf&ver=6630,2017-11-08
"Vallee Casa, 62 Hill Road, Benfleet.",,,2018-09-12,,0.28,5,5,No current planning permission. Delivery lead in time 2.5 years. 08/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.570424 51.559444),CP0002,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3928.pdf&ver=6632,2017-11-08
"166-168 Kiln Road, Benfleet, SS7 1SU.",yes,,2018-09-12,,0.08,2,2,Previous permission for 9 flats expired 2012. Recent application refused. One existing dwelling converted. Delivery lead in time 2 years without planning permission. 14/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.588983 51.560489),CP0003,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3929.pdf&ver=6633,2017-11-08
"1a Clarence Road, South Benfleet, Benfleet SS7 1DE.",yes,,2018-09-12,,0.11,1,1,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 10/08/2020. Delivery lead in time 1 year. 09/11/17. 12/09/18.. Demolition of existing bungalow and construction of two detached dormer bungalows.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2017-08-11,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.56414 51.555214),CP0004,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3927.pdf&ver=6631,2017-11-09
"Job Centre, 140 Furtherwick Road, Canvey Island.",,,2018-09-12,,0.13,15,15,No current planning permission. Delivery lead in time 2 years. 09/11/17. 12.09.18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.592569 51.519425),CP0005,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3931.pdf&ver=6635,2017-11-09
"84 Vicarage Hill, Benfleet SS7 1PE.",yes,,2018-09-12,,0.28,2,2,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 28/04/2019. Delivery lead in time 1 year. 09/11/17. 12/09/18.. Demolition of existing dwelling and construction of 3 No. four bed houses with associated parking and access.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-04-24,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.569148 51.549178),CP0006,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3932.pdf&ver=6636,2017-11-09
"240-244 High Road, Benfleet.",yes,,2018-09-12,,0.19,19,19,Full planning permission. Works have commenced and 16 flats have been completed so far. 09/11/17. 12/09/18.. Construction of 18No self contained flats with 1No retail shop and 1No detached house with attached parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-12-08,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.561664 51.553173),CP0007,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3930.pdf&ver=6634,2017-11-09
"Site adjacent to Pauls Court, Meppel Avenue, Canvey Island.",yes,,2018-09-12,,0.07,5,5,Full planning permission. Works have commenced. Existing dwelling demolished. 09/11/17. 12/09/18.. Demolition of detached house and construction of three storey block of 6 self contained flats with parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2015-06-11,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.585962 51.531522),CP0008,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3933.pdf&ver=6637,2017-11-09
"20 Haresland Close, Hadleigh, SS7 2UT.",,,2018-09-12,,0.56,3,3,No current planning permission. Lead in time 1.5 years. Existing dwelling would need to be demolished. NPPF applied in terms of suitable capacity for the site. 14/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.618843 51.565675),CP0010,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3936.pdf&ver=6640,2017-11-09
"109 Long Road, Canvey Island",yes,,2018-09-12,,0.2,7,7,"Full planning permission. Works have not commenced. Permission expires 07/12/2018. Delivery lead in time 1 year. 14/11/17. 12/09/18.. Demolition of existing house and erection of three storey block of eight self-contained flats with associated parking and landscaping, clossure of existing vehicular accesses and formation fo new vehicular access to Long Road.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-12-07,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.585778 51.520163),CP0011,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3934.pdf&ver=6638,2017-11-14
"The Island Site, High Street / London Road, Hadleigh",,,2018-09-12,,0.59,54,54,No current planning permission. Lead in time 2 years. 14/11/17. 12/09/18.,local-authority-eng:CAS,owned by a public authority,,,not permissioned,,POINT(0.607009 51.55394),CP0012,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3938.pdf&ver=6642,2017-11-14
"88 High Street, Hadleigh",yes,,2018-09-12,,0.02,4,4,"Full planning permission. Works have commenced. Flat to be demolished as part of works. 14/11/17. 12/09/18.. Conversion of ground floor, two storey side extension, loft conversion including rear dormer and alterations to fenestration to provide 5 No. flats.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-12-15,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.953219 52.044769),CP0013,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3935.pdf&ver=6639,2017-11-14
"Admiral Jellico Public House, 283 High Street, Canvey Island",yes,,2018-09-12,,0.33,40,40,"Full planning permission pending decision. No. of dwellings proposed increased from 2017 BLR from 15. Lead in time 2 years without permission. 14/11/17. 12/09/18.. Demolition of existing building, replacement with 40 Unit Residential Flats with parking and access and facilities.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,pending decision,,POINT(0.610645 51.518853),CP0014,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3937.pdf&ver=6641,2017-11-14
"Outpatients centre, Long Road, Canvey Island",,,2018-09-12,,0.3,10,10,No current planning permission. Delivery lead in time 2.5 years. 14/11/17. 12/09/18.,local-authority-eng:CAS,owned by a public authority,,,not permissioned,,POINT(0.581945 51.520382),CP0015,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3939.pdf&ver=6643,2017-11-14
"343 Rayleigh Road, Thundersley",,,2018-09-12,,0.13,10,10,No current planning permission. Delivery lead in time 2 years. 14/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.59505 51.569153),CP0016,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3940.pdf&ver=6644,2017-11-14
"125-127 High Street, Canvey Island",yes,,2018-09-12,,0.19,14,14,Full planning permission granted at appeal. Works have commenced. 14/11/17. 12/09/18.. Erection of part two/part three storey building containing 14no. 2 bed flats with associated parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2014-07-14,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.600961 51.522996),CP0017,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3941.pdf&ver=6645,2017-11-14
"4-12 Park Chase, Hadleigh, Benfleet, SS7 2BZ.",yes,,2018-09-12,,0.27,21,21,Full planning permission granted. Works have commenced. 4 existing dwellings demolished. 15/11/17. 12/09/18.. Erection of part 3/part 4 storey block of 25 flats with parking and refuse storage.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2015-11-23,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.614904 51.550297),CP0018,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3942.pdf&ver=6646,2017-11-15
"Prout Industrial Estate, Point Road, Canvey Island.",,,2018-09-12,,0.76,27,27,No current planning permission. Site area reduced to area where landowners permitted site to be included. Delivery lead in time 3 years. 15/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.621824 51.519561),CP0019,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3944.pdf&ver=6648,2017-11-15
"Benfleet Tavern Public House, High Road, Benfleet.",,,2018-09-12,,0.25,14,14,No current planning permission. Site area reduced to area where landowners permitted site to be included. Delivery lead in time 2 years. 21/11/17. 12/09/18.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,POINT(0.557424 51.554011),CP0020,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3943.pdf&ver=6647,2017-11-21
"West of Venebles Close, Canvey Island",yes,,2018-09-12,,0.26,24,24,Outline permission granted. Works have not commenced. Permission expires 09/03/2021. Delivery lead in time 1.5 years. 12/09/18.. Demolish all buildings and construct two blocks of 24 No. self contained flats with 2 No. retail shops at ground floor.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2018-03-09,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,outline planning permission,POINT(0.59736 51.522592),CP0021,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3945.pdf&ver=6649,2018-09-12
"316 London Road, Benfleet",yes,,2018-09-12,,0.22,1,1,Full planning permission. Works have not commenced. Permission expires 22/09/2021. Delivery lead in time 1 year. 12/09/18.. Construction of two storey building with children's nursery at ground floor and 1No. flat at first floor with associated parking and rear garden area for nursery (revised application).. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-09-23,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.563118 51.566099),CP0022,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3946.pdf&ver=6650,2018-09-12
"87-97 High Street, Benfleet",yes,,2018-09-12,,0.13,14,14,No current planning permission. Permission sought for 14 flats was withdrawn. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.562359 51.544224),CP0023,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3947.pdf&ver=6651,2018-09-12
"Briar Cottage, Leige Avenue, Canvey Island",yes,,2018-10-10,,0.08,11,11,Delivery lead in time 2 years. 10/10/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.584758 51.530915),CP0025,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3951.pdf&ver=6655,2018-10-10
"Tower Radio, 573-581 London Road, Hadleigh",yes,,2018-09-12,,0.15,14,14,"Full planning permission. Works have commenced. 12/09/18.. Demolition of existing buildings and construction of part 2/part 4 storey block of 14 self-contained flats with car parking, refuse, cycle storage and alteration of vehicular access.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-05-10,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.618916 51.550642),CP0026,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3948.pdf&ver=6652,2018-09-12
"82 High Street, Hadleigh",yes,,2018-09-12,,0.04,6,6,"Full planning permission. Works have commenced. Prior approval not required for change of use to propvide 5 flats, 6 flats in total being created. 12/09/18.. Raise roof and erect roof extension to rear and roof lights to front to form self-contained flat.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-04-26,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.607791 51.553311),CP0027,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3950.pdf&ver=6654,2018-09-12
"231 London Road, Hadleigh",yes,,2018-09-12,,0.04,6,6,"Full planning permission granted. Works have commenced. 12/09/18.. Conversion of existing first floor to form 4 No. one bedroom flats and lowering of existing main roof and construction of second floor to form 2 No. one bedroom flats. Alterations to ground floor including access/egress from flats, cycle storage, plant room and bin storage together with associated alterations to shop front and rear elevation.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-04-12,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.609426 51.55383),CP0028,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3952.pdf&ver=6656,2018-09-12
"Beaver Doors, 211-213 London Road, Thundersley",,,2018-09-12,,0.07,10,10,"Full planning permission. Works have not commenced. Permission expires 26/11/2020. Delivery lead in time 1 year. 12/09/18.. Demolish existing commercial building and construct three storey building with undercroft parking, comprising of 8 No. one bed flats and 2 No. two bedroom flats.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2015-11-27,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.556386 51.567219),CP0029,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3953.pdf&ver=6657,2018-09-12
"Rear of 179-181 Church Road, Thundersley",yes,,2018-09-12,,0.31,40,40,No current planning permission. Permission previously granted for one property on small section of the site. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.560915 51.572058),CP0030,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3954.pdf&ver=6658,2018-09-12
"Benfleet Police Station, 90-92 High Road, Benfleet",yes,,2018-09-12,,0.13,13,13,Full planning permission. Delivery lead in time 1 year. 10/10/18.. Demolish existing buildings and erect three storey building comprising 13 No. flats.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2018-10-05,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,,POINT(0.563505 51.549123),CP0031,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3955.pdf&ver=6659,2018-09-12
"320 London Road, Hadleigh",,,2018-09-12,,0.13,20,20,"Full planning permission granted. Works have commenced. Phase 1 - 12 dwellings built 2006, 20 with extant permission remain. 12/09/18.. Residential development comprising of 32 No two Bedroom flats. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2010-09-21,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.613299 51.551516),CP0037,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3961.pdf&ver=6665,2018-09-12
"High Road, Tarpots Town Centre, Benfleet",,,2018-09-12,,0.38,17,17,No current planning permission. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.549672 51.566398),CP0038,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3963.pdf&ver=6667,2018-09-12
"286 London Road, Benfleet",,,2018-09-12,,0.13,5,5,No current planning permission. Delivery lead in time 2.5 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.560938 51.566228),CP0039,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3962.pdf&ver=6666,2018-09-12
"Maharaja Restaurant, 358 London Road, Benfleet",yes,,2018-09-12,,0.12,6,6,No current planning permission. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.565625 51.565062),CP0040,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3964.pdf&ver=6668,2018-09-12
"61-69 Hart Road, Thundersley",,,2018-09-12,,0.11,2,2,No current planning permission. 4 existing flats on site. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.581429 51.569106),CP0041,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3965.pdf&ver=6669,2018-09-12
"210 & 212 High Road, Benfleet",yes,,2018-09-12,,0.04,5,5,No current planning permission. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.561969 51.552102),CP0042,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3971.pdf&ver=6675,2018-09-12
"191-193 High Road, Benfleet",yes,,2018-09-12,,0.12,14,14,"Full planning permission pending decision. Delivery lead in time 1 year with permission. 12/09/18.. Demolition of existing buildings and erection of three storey building containing 14No. sheltered flats, with communal rooms and recessed roof garden in the roof, new cross-over and driveway, and off-street parking at rear.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,pending decision,,POINT(0.56161 51.551641),CP0043,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3967.pdf&ver=6672,2018-09-12
"30-32 Essex Way, Benfleet",yes,,2018-09-12,,0.1,14,14,No current planning permission. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.564914 51.545419),CP0044,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3968.pdf&ver=6671,2018-09-12
"Stafford Court Care Home, Venables Close, Canvey Island",yes,,2018-09-12,,0.33,0,0,"No current planning permission. Delivery lead in time 2 years. 28 existing flats, like for like redevelopment. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.597211 51.52219),CP0045,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3968.pdf&ver=6671,2018-09-12
"364 London Road, Hadleigh ",yes,,2018-09-12,,0.01,9,9,No current planning permission. Delivery lead in time 2 years. 12/09/18.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,not permissioned,,POINT(0.614474 51.550929),CP0046,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3970.pdf&ver=6674,2018-09-12
"54 Beech Road, Hadleigh",yes,,2018-09-12,,0.12,14,14,Outline permission pending decision. Delivery lead in time 1.5 years with outline permission. 12/09/18.. Demolition of existing warehouse and construction of three/four storey building comprising twelve 2 bedroom apartments and two 3 bedroom apartments and gym.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,pending decision,,POINT(0.609916 51.551193),CP0047,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3969.pdf&ver=6673,2018-09-12
"246-250 High Road, Benfleet",yes,,2018-09-12,,0.09,11,11,"Full planning permission pending decision. Delivery lead in time 1 year with permission. 12/09/18.. Demolition of existing Class A1 retail unit and erection of three storey mixed-use development comprising ground floor commercial space (Classes A1, A2 and A3) and 11No. Apartments.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,pending decision,,POINT(0.561097 51.553217),CP0052,https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3976.pdf&ver=6680,2018-09-12
