site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
GreenLane,,,2018-02-02,,4.36,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL02,,2018-01-09
LandatCollegeFarm,yes,,2018-02-02,,0.616,5,5,Planning permission has not yet been implemented.. The demolition of existing agricultural buildings and erection of 5 dwellings and a B1 office - resubmission of withdrawn application 11/2016/17253,local-authority-eng:CRA,not owned by a public authority,2017-06-06,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZYYFKJV947,permissioned,full planning permission,BRL03,,2018-01-09
RichardThornton'sCEPrimarySchool,yes,,2018-02-02,,0.73,15,15,Land allocated within Draft Local Plan,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL04,,2018-01-09
KeasdenWaterTreatmentWorks,,,2018-02-02,,0.37,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL05,,2018-01-09
StationWorksnorthofCononleyLane,yes,,2018-02-02,,2.16,93,93,"Land allocated within Draft Local Plan. Redevelopment of former mill site to include the conversion and extension of mill building to provide 46 apartments, restoration of existing house attached to the mill building, 1,445 sqm of new B1 commercial floorspace and 46 dwellings on the remainder of the site.. The site will also aim to provide 1,445 sqm of B1 use.",local-authority-eng:CRA,not owned by a public authority,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYZFKJV814,pending decision,full planning permission,BRL06,,2018-01-09
LandatStationYard,,,2018-02-02,,0.46,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL07,,2018-01-09
FormerHighwaysDepotoffEshtonRoad,,,2018-02-02,,0.5,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL08,,2018-01-09
"NevilleHouse,NevilleCrescent",yes,,2018-02-02,,0.42,14,14,Land allocated within Draft Local Plan,local-authority-eng:CRA,owned by a public authority,,,Not permissioned,,BRL09,,2018-01-09
"FredGreenandSonLtd,CanalWaterhouse,EshtonRoad",yes,,2018-02-02,,1.12,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL10,,2018-01-09
SystagenixFactorySite,,,2018-02-02,,8.21,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL11,,2018-01-09
LandatMartonRoad,,,2018-02-02,,0.74,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL12,,2018-01-09
"GolfClubcarparkandclubhouse,RobinLane",,,2018-02-02,,0.67,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL13,,2018-01-09
BankHeadwestofRobinLanesouthofLakeberDrive,,,2018-02-02,,0.84,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL14,,2018-01-09
"PrimaryschooleastofRobinLane,westofLowcroft",yes,,2018-02-02,,0.962,70,70,"Land allocated within Draft Local Plan. Residential development for extra care housing comprising 64 apartments and 8 bungalows including associated parking, landscaping and formation of new access off Robin Lane.",local-authority-eng:CRA,owned by a public authority,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OZ1FM5FKGPB00,pending decision,full planning permission,BRL15,,2018-01-09
LandtoeastofLairgillRowonButtsLane,yes,,2018-02-02,,0.42,,,,local-authority-eng:CRA,owned by a public authority,,,Not permissioned,,BRL16,,2018-01-09
"WestofStationRoad,southofrailwaystation",,,2018-02-02,,0.44,,,,local-authority-eng:CRA,,,,Not permissioned,,BRL17,,2018-01-09
StorageYardandpremiseswestofMayfieldRoad,,,2018-02-02,,0.26,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL18,,2018-01-09
LandoffDukeStreet,,,2018-02-02,,0.4,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL19,,2018-01-09
AuctionMartandlandsouthofMountPleasant,,,2018-02-02,,1.179,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL20,,2018-01-09
HighBenthamWaterTreatmentWorks,,,2018-02-02,,0.51,1,1,A large part of the site is still available for development.. Conversion of former water treatment works building to a residential dwelling.,local-authority-eng:CRA,owned by a public authority,,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P2CEXSFKH6I00,pending decision,full planning permission,BRL21,,2018-01-09
"CampleHatcheries,LowBenthamRoad",yes,,2018-02-02,,0.501,,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYYFKJV980. A new application has been put in on site and is awaiting a decision.. Residential development,local-authority-eng:CRA,not owned by a public authority,2015-05-14,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZZ1FKJV733,permissioned,outline planning permission,BRL22,,2018-01-09
"LandtowestofGisburnRd,BlackHorseSite",,,2018-02-02,,0.23,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL23,,2018-01-09
HighwaysDepotandadjoininglandBackgate,,,2018-02-02,,1.273,13,13,"Proposed residential development to create 13 No dwellings accessed from Back Gate, Ingleton",local-authority-eng:CRA,,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P2AB5DFK00R00,pending decision,full planning permission,BRL24,,2018-01-09
MoorgarthHall,,,2018-02-02,,0.77,5,5,Construction of five dwellings with integral garages and off street parking.,local-authority-eng:CRA,not owned by a public authority,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OYDA55FKGL400,pending decision,full planning permission,BRL25,,2018-01-09
"ScrapYard,NewRoad",,,2018-02-02,,0.46,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL26,,2018-01-09
FormerSedberghJuniorSchool,,,2018-02-02,,1.45,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL27,,2018-01-09
LandatcornerofSkiptonRoadandKeighleyRoad,yes,,2018-02-02,,0.26,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL28,,2018-01-09
SouthandeastofHayfieldMillsColneRoad,,,2018-02-02,,0.62,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL29,,2018-01-09
"WorksandlandatLowFold,ManorWay",yes,,2018-02-02,,0.34,10,10,Planning permission has not yet been implemented.. Outline application for demolition of redundant commercial premises and erection of 10 dwellings with access and siting considered.,local-authority-eng:CRA,not owned by a public authority,2015-07-30,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZZ1FKJV260|https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYZFKJV523,permissioned,outline planning permission,BRL30,,2018-01-09
"HayfieldMills,ColneRoad",,,2018-02-02,,2.61,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL31,,2018-01-09
LandatMalsis,yes,,2018-02-02,,1.29,33,33,"Land allocated within Draft Local Plan. Conversion and restoration of Malsis Hall to create care facility (use class C2) including demolition of existing extensions and construction of new extensions, upgrading and re-opening of former sports facilities and residential development of 67 dwellings within grounds (including conversion of listed lodge building to dwellinghouse).",local-authority-eng:CRA,owned by a public authority,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYZFKJV763|https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZYZFKJV764,pending decision,full planning permission,BRL32,,2018-01-09
"CastlebergHospital,RainesRoad",yes,,2018-02-02,,1.12,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL33,,2018-01-09
NYCCDepotnorthofKing'sMill,,,2018-02-02,,0.52,,,,local-authority-eng:CRA,not owned by a public authority,,,Not permissioned,,BRL34,,2018-01-09
CarparkoffLowerGreenfootandCommercialStreet,yes,,2018-02-02,,0.412,13,13,Land allocated within Draft Local Plan,local-authority-eng:CRA,owned by a public authority,,,Not permissioned,,BRL35,,2018-01-09
"NYCCDepot,Kirkgate",yes,,2018-02-02,,0.24,8,8,Land allocated within Draft Local Plan,local-authority-eng:CRA,owned by a public authority,,,Not permissioned,,BRL36,,2018-01-09
