site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
,,,2018-12-31,,0.12,,,,local-authority-eng:HAV,,,,,,POINT(0.186291 51.575004),ROM1,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2019-11-27,,0.06,,,A number of prior approval applications since 2015,local-authority-eng:HAV,,,,,,POINT(0.185566 51.575836),ROM2,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2019-11-27,,0.27,,,P1292.15 refused - Applicant to appeal - Pre-application advice sought,local-authority-eng:HAV,,,,,,POINT(0.178862 51.579603),ROM3,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,3.13,,,The site is withon the GL Housing Zone and the proosal has received a £12.4The site is in multiple ownership comprising of 37 residential properties and 17 commercial interets Approx 34 per cent of land is council or joint venture owned. Preperation is underway to use CPO,local-authority-eng:HAV,,,,,,POINT(0.180977 51.572522),ROM5,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.32,,,Pre-application advice sought,local-authority-eng:HAV,,,,,,POINT(0.174322 51.583068),BRK2,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.63,,,,local-authority-eng:HAV,,,,,,POINT(0.177348 51.580243),BRK10,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2019-11-27,,0.78,,,,local-authority-eng:HAV,,,,,,POINT(0.185803 51.522405),STHH2,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.32,,,Site allocated in the Adopted Romford area Action PLan 2008 and is located within the Romford Strategic Development Area and has housing zone status as designated by the GLA,local-authority-eng:HAV,,,,,,POINT(0.178261 51.577006),ROM7,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.81,,,,local-authority-eng:HAV,,,,,,POINT(0.175975 51.581419),BRK11,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,2.24,,,"Allocated in the Romford Area Action Plan 2008, Identified in Romford Town Centre Development Framework, Romford Strategic Development Area(GLA Housing zone designation)",local-authority-eng:HAV,,,,,,POINT(0.182675 51.574235),ROM9,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.46,,,"Rainham and Beam Park Strategic Development Area (SDA), Housing Zone Status GLA designation",local-authority-eng:HAV,,,,,,POINT(0.172602 51.525213),STHH4,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
,,,2018-12-31,,0.38,,,Rainham and Beam Park Straqtegic Development Area and Housing Zone Status (GLA designation),local-authority-eng:HAV,,,,,,POINT(0.168302 51.526039),STHH5,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,2018-12-31
