site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
146a Landells Road SE22 9PL,yes,,2017-12-20,,0,0,0,Change of use of a building and its curtilage from Class B8 (storage or distribution) to Class C3 (dwelling houses).,local-authority-eng:SWK,,2017-01-16,,permissioned,full planning permission,16-AP-5067,,2017-12-20
"Dev Site At 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street And 30 Gloucester Place London",,,2017-11-30,,0.2784500117,0,0,"5-15 House Supply. Demolition of the existing buildings at 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street and redevelopment to create a mixed use scheme providing offices (Class B1), retail (Class A1 a",local-authority-eng:WSM,,,,pending decision,,16/11376/FULL,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11376/FULL,2017-11-30
"Unit 1, Old Stable House Between 53 And 55 North Cross Road SE22 9ET",yes,,2017-12-20,,0,0,0,Change of use from Office (Class B1a) to a residential dwelling (Class C3) to provide 1 x 1 bed plus study unit.,local-authority-eng:SWK,,2016-04-19,,permissioned,full planning permission,16-AP-0675,,2017-12-20
80 Peckham High Street SE15 5ED,yes,,2017-12-20,,0,0,0,Erection of mixed use development comprising ground floor Class A1 retail space and 2 x self contained flats above.,local-authority-eng:SWK,,2015-07-09,,permissioned,full planning permission,15-AP-1883,,2017-12-20
5 Draymans Mews SE15 4PW,yes,,2017-12-20,,0,0,0,Conversion of 4 storey house into a self contained flat and a 3 storey maisonette,local-authority-eng:SWK,,2017-01-13,,permissioned,full planning permission,16-AP-4063,,2017-12-20
1-3 Mount Pleasant Road London N17 6TR London,yes,,,,0,4,4,"Demolition of existing building and erection of part thtee storey/ part two-storey block to accommodate a mixed use development comprising of 1 x Office (A2), 4 residential units consisting of 2 x two",local-authority-eng:HRY,not owned by a public authority,2010-07-27,,permissioned,full planning permission,HGY/2009/1858,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=206086,
97 Azenby Road SE15 5AJ,yes,,2017-12-20,,0,0,0,Change of use of a vacant shop unit (A1 Class) to a studio flat (Use Class C3a),local-authority-eng:SWK,,2015-09-09,,permissioned,full planning permission,15-AP-1900,,2017-12-20
Lttle Church Street,,,2017-11-30,,0.0047728750000000002,0,0,"5-15 House Supply. The Little Church Street site currently comprises 45 homes. If redeveloped, the site has the potential to deliver around 65 new homes.",local-authority-eng:WSM,,,,Not permissioned,,HS002,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS002,2017-11-30
Garage at rear 19 Willoughby Road London N8 0JE,yes,,,,0,1,1,"Construction of a part 1, part 2 storey dwelling (C3) with accommodation at basement level following demolition of existing single detached lock up garage (sui generis)",local-authority-eng:HRY,not owned by a public authority,2017-01-27,,permissioned,full planning permission,HGY/2016/3169,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=294779,
15 Winchester Walk SE1 9AG,yes,,2017-12-20,,0.01,0,0,ERECTION OF A NEW FOUR STOREY EXTENSION OVER EXISTING ELECTRICITY SUBSTATION TO PROVIDE X3 TWO BED UNITS.,local-authority-eng:SWK,,2015-01-19,,permissioned,full planning permission,14-AP-1125,,2017-12-20
"20-24 Broadwick Street, London, W1F 7DD",yes,,2017-11-30,,0.0051056249999999999,0,0,"5-15 House Supply. Redevelopment of 20-24 Broadwick Street and 85 Berwick Street, including the creation of new facades and extensions at main roof level, installation of plant in the basement and at main roof level wit. http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00",local-authority-eng:WSM,,2015-06-15,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,permissioned,full planning permission,14/01450/FULL,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/01450/FULL,2017-11-30
Land adjoining The Beehive Stoneleigh Road London N17 9BQ,yes,,,,0.01,3,3,Demolition of existing garages and redevelopment to provide three studio flats (Class C3 Residential); new matching balustrade and access over existing single storey structure; together with associate,local-authority-eng:HRY,not owned by a public authority,2016-07-08,,permissioned,full planning permission,HGY/2016/0444,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=287887,
Land Rear Of 144a Croxted Road Aka Garage No 3 Turney Road SE21 8NW,yes,,2017-12-20,,0.01,0,0,Demolition of existing single storey garage building and construction of a two bedroom dwelling over two storeys,local-authority-eng:SWK,,2016-11-09,,permissioned,full planning permission,16-AP-2773,,2017-12-20
"13 Stories Mews, 153 Rear Of Grove Lane SE5 8JJ",yes,,2017-12-20,,0.01,0,0,"Construction of a two-storey, 2 Bedroom dwelling to replace an existing garage/coach-house at 13 Stories mews (to the rear of 153 Grove Lane).",local-authority-eng:SWK,,2017-07-21,,permissioned,full planning permission,17-AP-0276,,2017-12-20
2a Bawdale Road SE22 9DN,yes,,2017-12-20,,0.01,0,0,Change of use from MOT/car repair centre (Use Class B2) and ancillary office space to a single residential dwelling (Use Class C3) with alterations to the front and rear elevations.,local-authority-eng:SWK,,2015-02-13,,permissioned,full planning permission,14-AP-3856,,2017-12-20
137 Southwark Bridge Road SE1 0EY,yes,,2017-12-20,,0.01,0,0,Change of use of retail (Use Class A1) with ancillary residential to a single 3 bedroom dwellinghouse (Use Class C3),local-authority-eng:SWK,,2016-07-20,,permissioned,full planning permission,16-AP-2137,,2017-12-20
2A & 3A Collins Yard Scotland Green London N17 9TS,yes,,,,0.01,1,1,Demolition of existing storage unit (with change of use permission to residential) and construction of single storey house incorpating a basement and mezzanine level.,local-authority-eng:HRY,not owned by a public authority,2016-09-25,,permissioned,full planning permission,HGY/2014/3434,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=278210,
Land rear of 1 Vicarage Parade West Green Road London N15 3BL London,yes,,,,0.01,1,1,Erection of three storey building to form 1 x 3 bed self-contained flat,local-authority-eng:HRY,not owned by a public authority,2016-12-19,,permissioned,full planning permission,HGY/2016/3756,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=299074,
96 Friary Road SE15 1PX,yes,,2017-12-20,,0.01,0,0,Change of use from Hair Salon (A1 Use Class) to self contained studio flat (Use Class C3) and alterations to the front ground floor elevation comprising the insertion of a new front door and sash win,local-authority-eng:SWK,,2016-03-21,,permissioned,full planning permission,16-AP-0124,,2017-12-20
"Land at Goldsmith's House and adjoining land, Cumberland Market Estate, Park Village East/ Augustus St",,,2018-10-12,,0.01,60,60,"Provision of permanent (Class C3) residential development, including affordable housing, if it can be demonstrated that it is no longer appropriate to provide a hostel on the site; reprovision and exp",local-authority-eng:CMD,not owned by a public authority,,,Not permissioned,,LBCBLR009,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,2018-10-12
Fire Station 20 Highgate Road,,,2018-10-12,,0.01,26,26,Redevelopment of the site to provide a mix of uses. Development will be expected to:â€¢ Safeguard the provision of fire station facilities or support alternative local fire service and facility provis,local-authority-eng:CMD,owned by a public authority,,,Not permissioned,,LBCBLR023,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,2018-10-12
"Westminster Kingsway College, Regents Park Centre, Longford Street, NW1 3HB",,,2018-10-12,,0.01,55,55,"Continued education/ D1 use, or subject to the satisfactory relocation of existing uses redevelopment to include permanent (C3) residential use, including affordable housing. Development will be expec",local-authority-eng:CMD,not owned by a public authority,,,Not permissioned,,LBCBLR012,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,2018-10-12
The Priory Webber Street SE1 0RQ,yes,,2017-12-20,,0.01,0,0,Construction of a single storey extension to the roof of Block 2 (i.e. at new fourth floor level) to create 1 self-contained residential unit.,local-authority-eng:SWK,,2016-11-03,,permissioned,full planning permission,16-AP-3638,,2017-12-20
Garage Rear Of 34 Peckham Road SE5 8QA,yes,,2017-12-20,,0.01,0,0,"Partial demolition of existing vacant garage and construction of a 1-bed, 2-storey house.",local-authority-eng:SWK,,2016-07-22,,permissioned,full planning permission,16-AP-2160,,2017-12-20
61 Farrer Road London N8 8LD,yes,,,,0.01,1,1,Demolition of existing single storey outbuilding and erection of a small two bedroom residential dwelling.,local-authority-eng:HRY,not owned by a public authority,2017-03-31,,permissioned,full planning permission,HGY/2016/2342,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=291565,
Land Adjacent To 91 Melbourne Grove Melbourne Grove SE22 8RR,yes,,2017-12-20,,0.01,0,0,"Erection of a four storey building in connection with the provision of 2 x 2 bedroom maisonettes, with a garden to rear.",local-authority-eng:SWK,,2017-06-30,,permissioned,full planning permission,17-AP-1527,,2017-12-20
83 Bushey Hill Road SE5 8QQ,yes,,2017-12-20,,0.01,0,0,Erection of a rear dormer and formation of roof terrace on part of three storey rear outrigger and conversion of house into two flats ( 1x one bedroom flat & 1 x two bedroom flat).,local-authority-eng:SWK,,2015-11-19,,permissioned,full planning permission,15-AP-2952,,2017-12-20
Land To The Rear Of 66 East Dulwich Grove SE22 8PS,yes,,2017-12-20,,0.01,0,0,Erection of a two storey two-bedroom detached house with accommodation at basement level; associated landscaping and erection of front boundary wall,local-authority-eng:SWK,,2015-09-16,,permissioned,full planning permission,15-AP-2807,,2017-12-20
