site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Courtlands Farm, Park Road, Banstead",yes,,2019-12-31,,2.50,9,9,"Removal of hardstanding and buildings, erection of 9 detached houses and retained bunker.",local-authority-eng:REI,not owned by a public authority,2017-01-20,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=KM0CQBMV0FL00,permissioned,full planning permission,RBBCBLR004,http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,2017-12-31
"Hockley Business Centre, Hooley Lane, Redhill",yes,,2019-12-31,,0.52,60,60,"Since 2018 Brownfield Land Register, a new permission has been approved: • Planning permission 15/01008/OUT allowed at appeal 2017-05-08 for the partial demolition of existing buildings and the erection of 50 residential units. • Planning permission 18/00967/OUT approved 2019-07-19 for the partial demolition of the existing buildings and the erection of 60 residential units.. Outline planning application for the partial demolition of existing buildings, erection of 4 apartment blocks comprising 23 x 1-bed flats and 37 x 2-bed flats.",local-authority-eng:REI,not owned by a public authority,2019-07-19,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ZP9MVLI000,permissioned,outline planning permission,RBBCBLR008,http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,2017-12-31
"Merstham Library, Weldon Way, Merstham",,,2019-12-31,,0.26,10,10,The site has been identified in Development Management Plan for up to 10 homes and/or community/faith facilities (site allocation policy RED5). The library has recently closed following the re-location to the new Community Hub. The site is partially affected by flood risk (Zone 2 and 3).,local-authority-eng:REI,owned by a public authority,,,Not permissioned,,RBBCBLR011,http://www.reigate-banstead.gov.uk/downloads/file/3827/rbbcblr011,2017-12-31
"Former Oakley Centre, Radstock Way, Merstham",yes,,2019-12-31,,0.58,10,10,"The site has been identified, as part of a wider site, for housing development in the DMP (site allocation policy RED6). The Oakley Centre has been closed for a number of years and a new community hub has recently opened in Merstham. Planning permission (18/00312/F) for the redevelopment of the wider site was refused on 18th May 2018. It is currently at appeal.",local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HRHHXCMV44000,Not permissioned,,RBBCBLR012,http://www.reigate-banstead.gov.uk/downloads/file/3821/rbbcblr012,2017-12-31
"Oakley Farm, 143 Bletchingley Road, Merstham",,,2019-12-31,,0.67,13,13,"The site has been identified, as part of a wider site, as a Sustainable Urban Extension (site allocation policy ERM5) in the DMP. The wider site has been identified for mixed-use development including residential, open space and either employment (offices and workshops) and/or community space. Its delivery will be subject to DMP Policy MLS1 “Managing land supply.",local-authority-eng:REI,not owned by a public authority,,http://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000AAPMVLI000,Not permissioned,,RBBCBLR013,http://www.reigate-banstead.gov.uk/downloads/file/3835/rbbcblr013,2017-12-31
"Bellway House, Station Road North, Merstham",yes,,2019-12-31,,0.03,33,33,"The site has been allocated in the DMP for housing development (DMP site allocation policy RED2). There has been a new planning application approved since the 2018 Brownfield land register: • Prior approval 17/01771/P granted 2017-09-25 for change of use from offices to 15 flats • Planning permission 17/02542/F allowed at appeal for the demolition of the existing buildings and the erection of 33 apartments 2019-08-27.. Demolition of existing buildings and the erection of 33 apartments (including affordable housing), provision of car parking, amenity space and associated infrastructure.",local-authority-eng:REI,not owned by a public authority,2019-08-27,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=Q1VO6MMV0FL02,permissioned,full planning permission,RBBCBLR014,http://www.reigate-banstead.gov.uk/downloads/file/3838/rbbcblr014,2017-12-31
"Church of the Epiphany, Merstham",yes,,2019-12-31,,0.32,10,10,The site has been allocated in the DMP for housing development (DMP site allocation policy RED4). The church has been closed for a number of years and there are a number of Anglican churches within the locality.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HRH3SXMV44000,Not permissioned,,RBBCBLR016,http://www.reigate-banstead.gov.uk/downloads/file/3836/rbbcblr016,2017-12-31
"Elgar Works, Merstham",yes,,2019-12-31,,0.42,14,14,"Demolition of existing industrial and commercial buildings and erection of fourteen new dwellings (6 x 3-bed, 8 x 40-bed) together with access, parking and landscaping.. Demolition of existing industrial and commercial buildings and erection of fourteen new dwellings (6 x 3-bed, 8 x 40bed) together with access, parking and landscaping.",local-authority-eng:REI,not owned by a public authority,2018-07-06,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000IGQMVLI000,permissioned,full planning permission,RBBCBLR018,http://www.reigate-banstead.gov.uk/downloads/file/3833/rbbcblr018,2017-12-31
"Redhill Railway Station, Princess Way, Redhill",,,2019-12-31,,0.90,200,200,"The site previously had planning permission for mixed-use housing (150) and retail and related development with a multi storey car park and sustainable transport facilities. This permission (13/00848/F) has since lapsed (09/01/2017), however, it is understood that a further planning permission will be submitted soon.",local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IFLPFXMVR5000,Not permissioned,,RBBCBLR019,http://www.reigate-banstead.gov.uk/downloads/file/3847/rbbcblr019,2017-12-31
"Land at Marketfield Way/ High Street, Redhill",yes,,2018-12-31,,0.65,150,150,"Demolition of existing buildings and redevelopment to provide new multi-screen cinema and flexible retail, restaurant and café units at ground and first floor level and residential.. Demolition of existing buildings and redevelopment to provide new multi-screen cinema and flexible retail, restaurant and café units at ground and first floor level and residential.",local-authority-eng:REI,mixed ownership,2017-01-20,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIS9OJMVR5000,permissioned,full planning permission,RBBCBLR020,http://www.reigate-banstead.gov.uk/downloads/file/3848/rbbcblr020,2017-12-31
