site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Carver Hey Farm, Moss Lane, Little Hoole",,,2020-06-25,,1.36,30,30,Currently in use for industrial purposes,local-authority-eng:SRI,not owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,not permissioned,,HO01,https://www.southribble.gov.uk/content/housing-land-availability,2020-06-25
"Golden Ball Hotel, 150 Liverpool Road, Longton",yes,31/03/2020,2020-06-25,,0.26,4,4,Erection of two pairs of semi detached three bed dwellinghouses on part of car park and the erection of a single storey extension to the rear/side of the public house - Under Construction,local-authority-eng:SRI,not owned by a public authority,2018-04-10,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,1987,https://www.southribble.gov.uk/content/housing-land-availability,2019-07-04
"Earnshaw Business Centre, High Lane, Leyland",yes,,2019-07-04,,0.28,7,7,Outline application for the erection of 7 houses following demolition of existing offices/workshops (all matters reserved),local-authority-eng:SRI,not owned by a public authority,2018-11-12,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,outline planning permission,2017,https://www.southribble.gov.uk/content/housing-land-availability,2019-07-04
Land at Orchard Avenue,yes,30/09/2019,2020-06-25,,0.26,4,4,"Erection of two pairs semi-detached dwellings including garages, following demolition of existing storage buildings - Under Construction",local-authority-eng:SRI,not owned by a public authority,2018-01-11,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,NLH08b (NE part),https://www.southribble.gov.uk/content/housing-land-availability,2019-07-04
Land off Brownedge Road,yes,,2019-07-04,,2.7,60,60,Planning permission does not currently exist for the residential development of the site but it could accommodate approximately 60 dwellings. Any residential layout will have to take account of the proximity of the railway on the southern boundary of the site. (Excerpt from Local Plan - adopted July 2015.),local-authority-eng:SRI,owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,not permissioned,,BBW02,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Pollard's Farm, Howick Cross Lane",,,2017-09-20,,2.4,10,10,Previously permissioned for 10 dwellings,local-authority-eng:SRI,owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,not permissioned,,HP01,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Moss Side Test Track, Aston Way/Titan Way (Phase 2)",yes,,2017-09-20,,15.44,197,197,"Hybrid planning application comprising of Full and Outline development - Environmental Impact Assessment (EIA) development Part A FULL - Site enabling works, the development of highway and drainage infrastructure for the full application site (the proposed development site) and the provision of car park accessed off Titan Way (Phase 1) and 197 dwellings and associated internal access roads, public open space, green infrastructure, an acoustic barrier and highway infrastructure (Phase 2) Part B OUTLINE - for the remainder of the proposed development site for the development of between 653 and 753 new homes, up to 5,000 sqm of Use Classes B1 accommodation; up to 15,000 sqm of Use Class B2 accommodation and up to 8,000 sqm of Use B8 accommodation, local centre comprising up to 3,000 sqm of accommodation for occuption within any combination of uses within Classes A1,A2,A3, A4,A5,B1 or D1 (including health centre/clinic) (which shall not exceed 2,500 sqm of main town centre uses), a primary school and associated public open space and green infrastructure (Phases 3-5)",local-authority-eng:SRI,not owned by a public authority,2019-11-07,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,MS02,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Moss Side Test Track, Aston Way/Titan Way (Phases 3 - 5)",,,2017-09-20,,29.36,753,753,"Hybrid planning application comprising of Full and Outline development - Environmental Impact Assessment (EIA) development Part A FULL - Site enabling works, the development of highway and drainage infrastructure for the full application site (the proposed development site) and the provision of car park accessed off Titan Way (Phase 1) and 197 dwellings and associated internal access roads, public open space, green infrastructure, an acoustic barrier and highway infrastructure (Phase 2) Part B OUTLINE - for the remainder of the proposed development site for the development of between 653 and 753 new homes, up to 5,000 sqm of Use Classes B1 accommodation; up to 15,000 sqm of Use Class B2 accommodation and up to 8,000 sqm of Use B8 accommodation, local centre comprising up to 3,000 sqm of accommodation for occuption within any combination of uses within Classes A1,A2,A3, A4,A5,B1 or D1 (including health centre/clinic) (which shall not exceed 2,500 sqm of main town centre uses), a primary school and associated public open space and green infrastructure (Phases 3-5)",local-authority-eng:SRI,not owned by a public authority,2019-11-07,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,outline planning permission,MS02,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Shakespeare Foundry (previously Coupe's Foundry), Kittlingborne Brow, Higher Walton (aka Shakespeare Foundry)",yes,,2019-07-04,,2.3,58,58,Coupe's Foundry remains operational and the site comprises buildings and extensive areas of open storage. (Excerpt from Local Plan - adopted 2015.),local-authority-eng:SRI,not owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,not permissioned,,SW13,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Lostock Hall Primary School, Avondale Drive",yes,,2019-07-04,,1.5,30,30,Planning permission does not currently exist for the residential development of the site but it is estimated as being able to accommodate approximately 30 dwellings in the adopted Local Plan. The development must provide for an appropriate area of on-site open space to mitigate against the loss of the school playing field. (Excerpt from Local Plan - adopted July 2015.),local-authority-eng:SRI,owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,not permissioned,,TG05,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
Gas Holders Site (Morris Homes) (aka Land off Wateringpool Lane),yes,,2017-09-20,,1.9,22,22,Application for residential development of 22 no dwellings and associated works,local-authority-eng:SRI,not owned by a public authority,2019-03-07,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,TG08,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Vernon Carus Site/Penwortham Mills, Factory Lane",,,2017-09-20,,19,300,204,"Outline application for the erection of approximately 385 dwellings. This is hybrid application which includes two parts - Part A : Outline application permission (excluding Phase 1) for the erection of up to 204 dwellings, with the provision of associated infrastructure (including roads, footpath,cycleways and open space). All matters reserved for subsequent approval PART B: Full planning permission (Phase 1 as shown on the plans) for the erection of 181 dwellings and the provision of associated infrastructure (including roads, footpaths, cycleways and open spaces)",local-authority-eng:SRI,not owned by a public authority,2017-02-20,http://publicaccess.southribble.gov.uk/online-applications/,Not Permissioned,other,MF02b/c,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
