site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"WarrenClose,Brandon",yes,,2018-12-13,,0.39,23,23,"Brownfield, previous library and preschool",local-authority-eng:FOR,not owned by a public authority,,,not permissioned,,BF006,,2017-09-01
"LandOffGasHouseLane,Brandon",yes,,2018-12-13,,0.35,10,10,"Brownfield, previous gasworks",local-authority-eng:FOR,not owned by a public authority,,,pending decision,,BF007,,2017-09-01
"Landrearof65,69,73StationRoad,Lakenheath",yes,,2018-12-13,,0.81,24,24,"Brownfield- gardens within settlement boundary, but not town",local-authority-eng:FOR,,,,not permissioned,,BF012,,2017-09-01
"MatthewsNurserySite,DumplingBridgeLane,Lakenheath",yes,,2018-12-13,,1.86,13,13,Mixed - glasshouses and open land within settlement boundary,local-authority-eng:FOR,mixed ownership,2015-08-06,,pending decision,reserved matters approval,BF014,,2017-09-01
"DistrictCouncilOffices,CollegeHeathRoad,Mildenhall",yes,,2018-12-13,,2.01,89,89,Brownfield- Council offices,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,BF015,,2017-09-01
"LandAtWamilCourt,Mildenhall",yes,,2018-12-13,,0.62,19,19,Brownfield - care home,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,BF016,,2017-09-01
"FormerSwimmingPoolSite,Newmarket",yes,,2018-12-13,,0.26,14,14,Brownfield - old swimming pool site and disused public house within settlement boundary,local-authority-eng:FOR,not owned by a public authority,2016-03-10,,permissioned,outline planning permission,BF019,,2017-09-01
"StFelixMiddleSchoolSite,Newmarket",yes,,2018-12-13,,1.39,50,50,"Mixed - playingfields, outbuildings assoc with school, in settlement boundary",local-authority-eng:FOR,owned by a public authority,,,not permissioned,,BF020,,2017-09-01
"LandOffTurnpikeRoad,RedLodge",yes,,2018-12-13,,2.56,132,132,"Mixed - residential, haulage depot, mobile home park, garage",local-authority-eng:FOR,mixed ownership,,,pending decision,,BF021,,2017-09-01
"BuryStEdmundsGardenCentre,BuryStEdmunds",yes,,2018-12-13,,1.37,30,30,Brownfield - garden centre,local-authority-eng:SED,not owned by a public authority,,,not permissioned,,BF031,,2017-09-01
"GaragesAndBusDepot,CottonLane,BuryStEdmunds",yes,,2018-12-13,,0.65,50,50,Brownfield - bus depot and car repairs/ dealership,local-authority-eng:SED,not owned by a public authority,,,not permissioned,,BF032,,2017-09-01
"HospitalSite,HospitalRoad,BuryStEdmunds",yes,,2018-12-13,,1.59,45,45,Brownfield - hospital,local-authority-eng:SED,owned by a public authority,,,not permissioned,,BF033,,2017-09-01
"LandAtRamMeadow,BuryStEdmunds",yes,,2018-12-13,,0.98,84,84,"Mixed - carpark, meadow and football ground",local-authority-eng:SED,owned by a public authority,,,not permissioned,,BF035,,2017-09-01
"SchoolYard,BuryStEdmunds",yes,,2018-12-13,,0.28,32,32,Brownfield - auctioneers and car park,local-authority-eng:SED,mixed ownership,,,not permissioned,,BF037,,2017-09-01
"StationHill,BuryStEdmunds",yes,,2018-12-13,,1.41,300,300,Brownfield - underused railway sidings and vacant land,local-authority-eng:SED,not owned by a public authority,,,permissioned,,BF039,,2017-09-01
"TayfenRoad,BuryStEdmunds",yes,,2018-12-13,,2.2,100,100,Brownfield - commercial/ vacant uses and decommissioned gas holder,local-authority-eng:SED,mixed ownership,2017-12-01,,permissioned,outline planning permission,BF040,,2017-09-01
"WeymedSite,BuryStEdmunds",yes,,2018-12-13,,0.37,14,14,Brownfield - vacant County council offices,local-authority-eng:SED,not owned by a public authority,2017-08-08,,permissioned,full planning permission,BF041,,2017-09-01
"AttertonAndEllisSite,Haverhill ",yes,,2018-12-13,,0.56,39,39,Brownfield - engineering works,local-authority-eng:SED,not owned by a public authority,,,permissioned,,BF042,,2017-09-01
"FormerGasworks,WithersfieldRoad,Haverhill",yes,,2018-12-13,,0.25,10,10,Brownfield - gasworks,local-authority-eng:SED,not owned by a public authority,,,not permissioned,,BF044,,2017-09-01
"FormerWestfieldPrimarySchool,ManorRoad,Haverhill",yes,,2018-12-13,,0.44,30,30,Brownfield - previous school,local-authority-eng:SED,owned by a public authority,,,not permissioned,,BF045,,2017-09-01
