site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Newbridge Court, Rievaulx Court, Tollesby",yes,,2017-12-11,,0.24,21,21,Revised application for demolition of existing buildings and erection of 3 storey building comprising of 1no. ground floor convenient store (A1) and 1no. Ground floor unit for use as either shop (A1) offices (A2) cafe (A3) or hot food shop (A5) with 21no flats,local-authority-eng:MDB,not owned by a public authority,2016-03-07,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM6UAYKU00300,permissioned,full planning permission,BR1,https://www.middlesbrough.gov.uk/files/brownfields-register-br1-newbridge-courtjpg,2017-12-11
"Addington Drive, Pallister Park",yes,,2017-12-11,,0.38,19,19,"Residential development comprising 19no two storey dwellings in 2 Phases (13 2bed and 6 3bed) with associated access, car parking landscaping and boundary treatment. Demolition of existing buildings.",local-authority-eng:MDB,not owned by a public authority,2016-08-16,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK873,permissioned,full planning permission,BR2,https://www.middlesbrough.gov.uk/files/brownfields-register-br2-addington-drivejpg,2017-12-11
"Roworth Road, Thorntree",,,2017-12-11,,2.55,81,81,,local-authority-eng:MDB,mixed ownership,,,not permissioned,,BR3,https://www.middlesbrough.gov.uk/files/brownfields-register-br3-roworth-roadjpg,2017-12-11
"Former Erimus Training Centre, College Road",yes,,2017-12-11,,2.88,91,91,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,BR4,https://www.middlesbrough.gov.uk/files/brownfields-register-br4-former-erimus-training-centrejpg,2017-12-11
"The Wave, Marton Road",yes,,2017-12-11,,0.59,109,109,"Erection of 5 storey building (comprising 109no units for student residential accommodation, 95 studios and 14 cluster flats) with car parking, boundary treatments and landscaping.",local-authority-eng:MDB,not owned by a public authority,2016-05-23,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK299,permissioned,full planning permission,BR5,https://www.middlesbrough.gov.uk/files/brownfields-register-br5-wavejpg,2017-12-11
"Springfield Hotel, Borough Road",yes,,2017-12-11,,0.06,13,13,"Demolition of existing public house & erection of 1no 7 storey mixed use building, consisting of part ground floor (A1) commercial unit & 13 residential units (77 bed total).",local-authority-eng:MDB,not owned by a public authority,2015-12-07,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK887,permissioned,full planning permission,BR6,https://www.middlesbrough.gov.uk/files/brownfields-register-br6-springfield-hoteljpg,2017-12-11
L/A 234 Linthorpe Road,yes,,2017-12-11,,0.03,55,55,"Outline planning application for mixed use development consisting of ground floor commercial/retail (A1,A2,A3,A4,A5) and residential accommodation of 55no beds",local-authority-eng:MDB,owned by a public authority,2016-02-29,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK559,permissioned,outline planning permission,BR7,https://www.middlesbrough.gov.uk/files/brownfields-register-br7-la-234-linthorpe-roadjpg,2017-12-11
"Church House, Bedford Street",yes,,2017-12-11,,0.13,86,86,"Conversion to form 77no apartments on upper floors (with retention of vicarage on 1st/2nd floor and ground floor commercial units) recladding of upper floors and car park. Revised application for Change of Use to first and second floor to form 9 No additional flats, change of use to ground floor to allow retail (A1), offices (A2), cafe restaurant (A3) or drinking establishment (A4) and new shop fronts.",local-authority-eng:MDB,not owned by a public authority,2016-09-30,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSMKUSK864,permissioned,other,BR8,https://www.middlesbrough.gov.uk/files/brownfields-register-br8-church-house-bedford-streetjpg,2017-12-11
"87-97 St. Barnabas Road, Linthorpe",yes,,2017-12-11,,0.06,9,9,Erection of 9 2B terraced houses.,local-authority-eng:MDB,not owned by a public authority,2017-11-29,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONZWITKUMP700,permissioned,outline planning permission,BR9,https://www.middlesbrough.gov.uk/files/brownfields-register-br9-87-97-st-barnabas-roadjpg,2017-12-11
4-6 Park Road North,yes,,2017-12-11,,0.03,8,8,"Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",local-authority-eng:MDB,not owned by a public authority,2017-04-26,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKUH5FKULQR00,permissioned,full planning permission,BR10,https://www.middlesbrough.gov.uk/files/brownfields-register-br10-4-6-park-road-northjpg,2017-12-11
"Centre North East, Albert Road",yes,,2017-12-11,,0.15,300,300,Prior notification of proposed change of use from offices (B1) to dwellings (C3).,local-authority-eng:MDB,not owned by a public authority,2016-04-18,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK377,permissioned,other,BR11,https://www.middlesbrough.gov.uk/files/brownfields-register-br11-centre-north-eastjpg,2017-12-11
"L/S Middlesbrough Dock, Middlehaven",,,2017-12-11,,1.89,40,40,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,BR12,https://www.middlesbrough.gov.uk/files/brownfields-register-br12-ls-middlesbrough-dockjpg,2017-12-11
"Former Police Station Site, Dunning Street",,,2017-12-11,,0.23,580,580,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR13,https://www.middlesbrough.gov.uk/files/brownfields-register-br13-former-police-station-sitejpg,2017-12-11
282-290 Linthorpe Road,,,2017-12-11,,0.09,16,16,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR14,https://www.middlesbrough.gov.uk/files/brownfields-register-br14-282-290-linthorpe-roadjpg,2017-12-11
7-13 Waterloo Road,yes,,2017-12-11,,0.04,60,60,Outline planning permission for erection of 1no student accommodation building comprising 60no units (demolition of existing building),local-authority-eng:MDB,not owned by a public authority,2016-06-13,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK339,permissioned,outline planning permission,BR15,https://www.middlesbrough.gov.uk/files/brownfields-register-br15-7-13-waterloo-roadjpg,2017-12-11
"L/B Rochester Rd, Eastbourne Rd and Mulgrave Rd",yes,,2017-12-11,,0.16,6,6,Erection of 6no 2 bed detached bungalows,local-authority-eng:MDB,not owned by a public authority,2017-04-27,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONZXX0KUMPA00,permissioned,full planning permission,BR16,https://www.middlesbrough.gov.uk/files/brownfields-register-br16-lb-rochester-rd-eastbourne-rd-and-mulgrave-rdjpg,2017-12-11
Station Street,,,2017-12-11,,0.19,337,337,"Erection of 7 storey student accommodation building comprising 337 student studios (Class C3) and ancillary space (Retail - A1, Cafe - A3 and takeaway - A5)",local-authority-eng:MDB,not owned by a public authority,2017-10-09,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPC1VXKUFHZ00,permissioned,full planning permission,BR17,https://www.middlesbrough.gov.uk/files/brownfields-register-br17-station-streetjpg,2017-12-11
"Former Liberty's PH, Longlands Road, Longlands",,,2017-12-11,,0.27,8,8,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR18,https://www.middlesbrough.gov.uk/files/brownfields-register-br18-former-libertys-phjpg,2017-12-11
"Former St David's School, Cowley Road, Acklam",,,2017-12-11,,6.5,115,115,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR19,https://www.middlesbrough.gov.uk/files/brownfield-register-br19-former-st-davids-school-cowley-roadjpg,2017-12-11
45-49 Albert Road,,,2017-12-11,,0.05,11,11,"Conversion of former retail use (A1) and Office (B1) to 11 residential flats (C3), 6 1B and 5 3B units.",local-authority-eng:MDB,not owned by a public authority,2015-07-22,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZSKKUSK940,permissioned,other,BR20,https://www.middlesbrough.gov.uk/files/brownfields-register-br20-45-49-albert-roadjpg,2017-12-11
"Land at St Agnes Church, Easterside",,,2017-12-11,,0.18,5,5,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR21,https://www.middlesbrough.gov.uk/files/brownfields-register-br21-land-st-agnes-churchjpg,2017-12-11
"L/R 50-60 Hutton Road, Longlands",yes,,2017-12-11,,0.31,28,28,Outline application for residential development comprising 3no apartment blocks (28 no apartments in total) with associated access and parking,local-authority-eng:MDB,not owned by a public authority,2017-12-01,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWMA2IKUI6T00,permissioned,outline planning permission,BR22,https://www.middlesbrough.gov.uk/files/brownfields-register-br22-lr-50-60-hutton-roadjpg,2017-12-11
"Bishopton Road, Grove Hill",yes,,2017-12-11,,2.76,48,48,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR23,https://www.middlesbrough.gov.uk/files/brownfields-register-br23-bishopton-roadjpg,2017-12-11
Farndale Road,,,2017-12-11,,0.42,42,42,"Lapsed applicaion for 2 1/2 storey care home comprising 50 no beds, with external/internal communal facilities and associated works, including car parking/access and landscaping and boundary treatment.",local-authority-eng:MDB,not owned by a public authority,,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSMKUSK293,not permissioned,,BR24,https://www.middlesbrough.gov.uk/files/brownfields-register-br24-farndale-roadjpg,2017-12-11
Brackenhoe East,yes,,2017-12-11,,1.78,27,27,"Brownfield element of Hybrid application (10.04 ha) including outline permission for 130no dwellings and associated works, and full plans application for hospital car park, access road, landscaping/boundary treatment and associated works. 2.43 ha (103 dwellings)for housing on greenfield.",local-authority-eng:MDB,owned by a public authority,2014-02-12,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSMKUSK220,permissioned,outline planning permission,BR25,https://www.middlesbrough.gov.uk/files/brownfields-register-br25-brackenhoe-eastjpg,2017-12-11
"Tennis World, Marton Road",yes,,2017-12-11,,0.99,23,23,"Residential development comprising 23no dwellings (2,3 & 4 bed), landscaping and associated infrastructure.",local-authority-eng:MDB,not owned by a public authority,2017-08-14,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM1FBAKU00300,permissioned,full planning permission,BR26,https://www.middlesbrough.gov.uk/files/brownfields-register-br26-tennis-world-marton-roadjpg,2017-12-11
"Former Marton Hotel and Country Club, Stokesley Road, Marton",,,2017-12-11,,1.08,38,38,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR27,https://www.middlesbrough.gov.uk/files/brownfields-register-br27-former-marton-hotel-and-country-club-stokesley-roadjpg,2017-12-11
"Ford Close Riding School, Brass Castle Lane",,,2017-12-11,,0.97,9,9,Part of a larger allocated housing site with additional 4.47 ha of greenfield.,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,BR28,https://www.middlesbrough.gov.uk/files/brownfields-register-br28-ford-close-riding-schooljpg,2017-12-11
303-307 Linthorpe Road,,,2017-12-11,,0.04,8,8,"Change of use to 2no hot food takeaways on ground floor, 1no residential dwelling at rear & 7no flats, alterations to elevations.",local-authority-eng:MDB,not owned by a public authority,2013-05-20,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSMKUSK701,permissioned,full planning permission,BR29,https://www.middlesbrough.gov.uk/files/brownfields-register-br29-303-307-linthorpe-roadjpg,2017-12-11
Gresham,yes,,2017-12-11,,4.8,110,110,,local-authority-eng:MDB,mixed ownership,,,not permissioned,,BR30,https://www.middlesbrough.gov.uk/files/brownfields-register-br30-greshamjpg,2017-12-11
