site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land to rear of 21-33 Western Avenue, Blacon",,,2017-12-21,,0.216,16,16,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,BLA/0039(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"27 Blacon Point Road, Blacon, Chester. CH1 5LD",yes,,2017-12-21,,0.173,6,6,11/01876/FUL 12/02648/FUL. Two storey side extension to provide four (4) new flats. Addition of two (2) more flats - total of six (6),local-authority-eng:CHW,not owned by a public authority,2012-09-11,,permissioned,full planning permission,BLA/0070,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"King Edward Buildings/ Bensons site and surrounding land, Christleton",,,2017-12-21,,0.339,11,11,Residential development,local-authority-eng:CHW,mixed ownership,,,not permissioned,,BOU/0010,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Premier House, Charterhall Drive, Chester",,,2017-12-21,,2.476,200,200,"12/04895/FUL 14/03317/REM 14/01799/NMA. Full permission for first office building and outline permission for mixed use development comprising office buildings, dwellings, shops, financial and professional services, restaurants and cafes, drinking establishments, hot food takeaways, non residential institutions, assembly and leisure, access, car parking, servicing and landscaping",local-authority-eng:CHW,not owned by a public authority,2014-09-10,,permissioned,reserved matters approval,BOU/0045,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"125-127 Boughton, Chester, CH3 5BH",yes,,2018-12-30,,0.218,14,14,"Change of use of a listed building to residential (8 apartments), demolition of out-building and erection of 2 storey building for 6 apartments ",local-authority-eng:CHW,not owned by a public authority,2017-01-30,,permissioned,,BOU/0074,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"The Cloud, 10 Boughton, Chester, CH3 5BH",yes,,2018-12-30,,0.066,8,8,"17/04633/PDO, 18/01720/FUL. Change of use of building to 8 apartments",local-authority-eng:CHW,not owned by a public authority,2018-11-08,,permissioned,full planning permission,BOU/0084,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"GC and P Wright, Charles Street, Chester",yes,,2019-12-01,,0.09,9,9,18/02223/FUL. Demolition of buildings and erection on 9 dwellings,local-authority-eng:CHW,not owned by a public authority,2019-03-07,,permissioned,full planning permission,BOU/0095,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2019-12-01
"Linenhall car park, Stanley Street, Chester, CH1 2LR",,,2017-12-21,,0.737,202,202,"13/03210/FUL 17/00530/NMA. Six-storey student accommodation comprising 59 cluster flats and 143 studios, together with ancilliary and communal facilities, landscaping and car parking",local-authority-eng:CHW,not owned by a public authority,2013-12-23,,permissioned,full planning permission,CHC/0003,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land off Hoole Way/Black Diamond Street, Chester",,,2017-12-21,,0.297,20,20,Residential development,local-authority-eng:CHW,not owned by a public authority,,,permissioned,,CHC/0004,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Trafford Street, Chester",,2019-12-01,2019-12-01,,,,,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHC/0005A,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Former Partco Autoparts, Trafford Street, Chester",yes,2019-12-01,2019-12-01,,,35,35,18/00486/FUL. Re-development of site to provide 35 residential apartments (Class C3- Under construction),local-authority-eng:CHW,not owned by a public authority,2018-08-17,,permissioned,full planning permission,CHC/0005B,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"St Anne Street car park, Black Diamond Street, Chester",,,2017-12-21,,0.342,11,11,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,CHC/0006,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Browns Yard car park, Chester",,,2017-12-21,,0.276,13,13,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,CHC/0008,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Northgate Redevelopment Site: Land Bounded By Hunter Street, Northgate Street, Watergate Street And St Martins Way Chester Cheshire",,,2018-12-30,,5.675,70,70,"02/00838/FUL 07/00061/S73 10/11534/EXT 16/02282/OUT. Hybrid application for part-demolition and part-retention of existing buildings and the construction of comprehensive mixed-use development comprising; retail stores, restaurants, cafes, drinking establishments (Use Classes A1, A2, A3 and A4), offices (Use Class B1), cinema and leisure uses (Use Class D2), 70-120 residential units (Use Class C3), public toilets, shopmobility, a relocated hotel and indoor market with associated new public squares, car and cycle parking, provision for buses and associated highway works and infrastructure, landscaping and public realm works. 16/02282/OUT Phase Two includes residential at upper floors",local-authority-eng:CHW,mixed ownership,2016-09-21,,permissioned,outline planning permission,CHC/0018,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"New Crane Street car park, Chester",,,2017-12-21,,0.326,15,15,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,CHC/0027,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
