site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Stoners Close Garage Site, Gosport",yes,,2019-12-20,,0.2,17,5,https://www.gosport.gov.uk/files/brownfieldlandregisterbr2.pdf,local-authority-eng:GOS,owned by a public authority,,,not permissioned,,BR2,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.826663&long=-1.18&zoom=18,2017-12-15
"Lapthorn Close Garage Site, Gosport",yes,,2019-12-20,,0.2,12,6,https://www.gosport.gov.uk/files/brownfieldlandregisterbr3.pdf,local-authority-eng:GOS,owned by a public authority,,,not permissioned,,BR3,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.831986&long=-1.179772&zoom=18,2017-12-15
"Wheeler Close, Gosport",yes,,2019-12-20,,0.19,14,1,https://www.gosport.gov.uk/files/brownfieldlandregisterbr8.pdf,local-authority-eng:GOS,owned by a public authority,,,not permissioned,,BR8,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.804460&long=-1.142100&zoom=18,2017-12-15
"124 - 128 Brockhurst Road, Gosport",yes,,2019-12-20,,0.11,6,6,https://www.gosport.gov.uk/files/brownfieldlandregisterbr9.pdf,local-authority-eng:GOS,not owned by a public authority,2017-05-03,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGQHXYHO07E00,permissioned,full planning permission,BR9,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.808159&long=-1.152635&zoom=18,2017-12-15
"LOTS Sailing Club, Marine Parade East, Lee-on-the-Solent",yes,,2019-12-20,,0.16,9,9,https://www.gosport.gov.uk/files/brownfieldlandregisterbr11.pdf,local-authority-eng:GOS,not owned by a public authority,2018-07-05,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P3IMCDHOMYE00,permissioned,full planning permission,BR11,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.797545&long=-1.198327&zoom=18,2017-12-15
"Priddy's Hard, Heritage Way, Gosport",yes,,2019-12-20,,9.86,130,100,https://www.gosport.gov.uk/files/brownfieldlandregisterbr14.pdf,local-authority-eng:GOS,not owned by a public authority,2019-09-27,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1D2GBHO07F00,permissioned,full planning permission,BR14,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.806655&long=-1.126998&zoom=17,2017-12-15
"Crewsaver, Harbour Road, Gosport",yes,,2019-12-20,,0.16,31,31,https://www.gosport.gov.uk/files/brownfieldlandregisterbr16.pdf,local-authority-eng:GOS,not owned by a public authority,2015-12-18,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NE5D59HOGP100,permissioned,full planning permission,BR16,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.797356&long=-1.122177&zoom=18,2017-12-15
"Fort Gilkicker, Military Road, Gosport",,,2019-12-20,,1.2,26,26,https://www.gosport.gov.uk/files/brownfieldlandregisterbr17.pdf,local-authority-eng:GOS,not owned by a public authority,2013-12-06,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MPZ5M8HO02500,permissioned,full planning permission,BR17,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.774005&long=-1.140915&zoom=18,2017-12-15
"Rowner Renewal, Grange Road, Gosport",yes,,2019-12-20,,14.6,200,200,https://www.gosport.gov.uk/files/brownfieldlandregisterbr18.pdf,local-authority-eng:GOS,not owned by a public authority,,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KDIAD1HO01100,permissioned,,BR18,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.801262&long=-1.169329&zoom=16,2017-12-15
"Haslar Hospital, Haslar Road, Gosport",yes,,2019-12-20,,23.03,286,286,https://www.gosport.gov.uk/files/brownfieldlandregisterbr21.pdf,local-authority-eng:GOS,not owned by a public authority,2015-12-17,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MFE27OHO02B00,permissioned,reserved matters approval,BR21,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.784704&long=-1.125644&zoom=16,2017-12-15
"Daedalus, Broom Way, Lee-on-the-Solent",yes,,2019-12-20,,34.3,249,249,https://www.gosport.gov.uk/files/brownfieldlandregisterbr22.pdf,local-authority-eng:GOS,owned by a public authority,2017-03-13,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LN4TGWHO03K00,permissioned,reserved matters approval,BR22,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.808818&long=-1.203235&zoom=16,2017-12-15
"Royal Clarence Yard, Weevil Lane, Gosport",yes,,2019-12-20,,8.45,58,58,https://www.gosport.gov.uk/files/brownfieldlandregisterbr23.pdf,local-authority-eng:GOS,not owned by a public authority,2016-01-29,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NY2KWBHO05N00,permissioned,full planning permission,BR23,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.801546&long=-1.125004&zoom=17,2017-12-15
"Barclay House, Trinity Green, Gosport",,,2019-12-20,,0.28,40,25,https://www.gosport.gov.uk/files/brownfieldlandregisterbr24.pdf,local-authority-eng:GOS,owned by a public authority,,,not permissioned,,BR24,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.793534&long=-1.119986&zoom=18,2017-12-15
"Masonic Hall, 7 Clarence Road, Gosport",,20/12/2019,2019-12-20,,0.08,14,8,Application withdrawn and site no longer available for re-development. | https://www.gosport.gov.uk/files/brownfieldlandregisterbr25.pdf,local-authority-eng:GOS,not owned by a public authority,,https://publicaccess.gosport.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N2KXKEHOFI600,not permissioned,,BR25,http://maps.gosport.gov.uk/Gosport-Brownfield-Sites-Land-Register/?lat=50.797615&long=-1.124675&zoom=18,2017-12-15
