site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land off Pudsey Road, Todmorden",,,2020-05-31,,0.43,23,23,13/00576/FUL - Residential development of twenty three dwellings (Amended Plan).Granted 21.07.14,local-authority-eng:CLD,not owned by a public authority,2014-07-21,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR045,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Former Mayfield Garage, Queens Road, Halifax",,,2020-05-31,,0.87,17,17,"This site is allocated as a Mixed Use Site in the Local Plan Publication Draft, LP1431. The mix should include a range of uses within the categories of retail (A), office/light industrial (B1/B2), residential (C)or community (D).",local-authority-eng:CLD,not owned by a public authority,2014-07-21,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,not permissioned,,BLR046,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2018-12-31
"Former St Catherine's High School, Holdsworth Rod, Holmfield, Halifax",,,2020-05-31,,2.75,108,108,"This site is allocated as a New Housing Site in the Local Plan Publication Draft, LP1429.",local-authority-eng:CLD,not owned by a public authority,2014-07-21,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,not permissioned,,BLR047,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2018-12-31
"Site of Box Trees Mill, Boy Lane, Wheatley, Halifax",,,2020-05-31,,1.54,87,87,05/01672/FUL - Construction of 87 residential dwellings. Granted 06.11.13,local-authority-eng:CLD,not owned by a public authority,2013-11-06,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR001,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"467-475 Elland Road, Elland",yes,20190630,2020-05-31,,0.23,10,10,15/01439/FUL - Amendments to plots 1 to 5 on approved scheme 10/01534/FUL to utilise void beneath buildings. Granted 23.6.16. 10/01534 - Proposed ten houses on site of previously approved building. Granted 19.8.14.,local-authority-eng:CLD,not owned by a public authority,2014-08-19,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR006,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Land At Whitehouse Farm, Holmfield, Halifax",yes,20190829,2020-05-31,,0.67,23,23,17/00423/RES - Construction of 23 dwellings with associated access and landscaping works (Reserved matters pursuant to planning application 14/00058/OUT). Granted 29.06.17. 14/00058/OUT - Residential Development of 27 Dwellings (Outline. Granted 24.06.1,local-authority-eng:CLD,not owned by a public authority,2017-06-29,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,reserved matters approval,BLR008,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Jubilee Works, Jubilee Street North, Ovenden, Halifax",,,2020-05-31,,0.17,6,6,18/00300/FUL - Residential development for five terraced houses. Granted 17.05.18. 15/01121/FUL - Formation of 6 New Dwellings. Granted 09.11.15. Site had previously been split - BLR009 and BLR089. Boundary redrawn around whole site. Two planning applic,local-authority-eng:CLD,not owned by a public authority,2015-11-09,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR009,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Site of Scar Bottom Mill, Scar Bottom Lane, Greetland, Elland",,,2020-05-31,,0.17,6,6,"10/00753/FUL - Residential development of six dwellings (Amended part scheme relating to 00/00916/FUL). Granted 20.07.11. 00/00916 - Demolition of mill and construction of eight dwellings,. Granted 22.09.00",local-authority-eng:CLD,not owned by a public authority,2011-07-20,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR014,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Victoria Works, Dean Street, West Vale, Elland",yes,20190412,2020-05-31,,0.07,7,7,15/00823/FUL - Residential development of seven dwellings. Granted 18.11.15.,local-authority-eng:CLD,not owned by a public authority,2015-11-18,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR015,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
"Baxter Lane Works, Baxter Lane, Northowram, Halifax",,,2020-05-31,,0.05,5,5,13/01351 /CON- Conversion of disused Engineering Works to form 5 dwellings and extension to South elevation. Granted 04.03.14,local-authority-eng:CLD,not owned by a public authority,2014-03-04,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,permissioned,full planning permission,BLR017,https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202020.AuroraScript%24&nocache=b3a8172e-c9,2017-12-20
