site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Voyager House, 253-257 High Street North, Poole, BH15 1DX",yes,,2017-01-12,,0.293409722,18,18,,local-authority-eng:BPC,not owned by a public authority,2017-10-02,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_247004,permissioned,full planning permission,POINT(-1.978312 50.719257),P/BLR/0043,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Land between Wilkins Way & RNLI, Poole",,,2018-01-12,,0.618946039,203,203,Part of existing site allocation in the Core Strategy Development Plan Document adopted in 2009.,local-authority-eng:BPC,not owned by a public authority,,,Not permissioned,,POINT(-1.990465 50.716069),P/BLR/0054,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Civic Centre and surrounds,,,2018-01-12,,2.455429146,283,283,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.961107 50.722683),P/BLR/0072,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Oakdale Public Buildings,,,2018-01-12,,0.776976107,60,60,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.977056 50.732624),P/BLR/0076,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"St Mary's Maternity Hospital site, St. Mary's Road, Poole, BH15 2BH",,,2018-01-12,,0.753705197,50,50,Existing site allocation in the Site Specific Allocations and Development Management Policies Development Plan Document adopted in 2012.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.97493 50.72267),P/BLR/0061,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Beach Road Car Park,,,2018-01-12,,0.364005095,60,60,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.914258 50.70609),P/BLR/0075,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Hillbourne,yes,,2018-01-12,,4.675594102,40,40,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.994366 50.751057),P/BLR/0071,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Sopers Lane,,,2018-01-12,,1.992512004,100,100,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,not owned by a public authority,,,Not permissioned,,POINT(-1.99883 50.746514),P/BLR/0074,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Creekmoor Local Centre,,,2018-01-12,,1.237984138,50,50,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,mixed ownership,,,Not permissioned,,POINT(-2.002992 50.741433),P/BLR/0069,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Parrs,yes,,2017-01-12,,0.835745626,32,32,,local-authority-eng:BPC,not owned by a public authority,2016-11-25,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_POOLE_DCAPR_246905,permissioned,full planning permission,POINT(-1.922983 50.729296),P/BLR/0073,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Roberts Lane, Creekmoor",,,2018-01-12,,2.673743381,45,45,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,mixed ownership,,,Not permissioned,,POINT(-2.002623 50.7381),P/BLR/0070,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Poole Pottery, The Quay, Poole, BH15 1HJ",,,2018-01-12,,0.169427109,50,50,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,not owned by a public authority,,,Not permissioned,,POINT(-1.98478 50.712679),P/BLR/0065,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Former East Quay Depot and Quay Thistle Hotel, The Quay, Poole, BH15 1HD",,,2018-01-12,,1.153084351,180,180,Existing site allocation in the Site Specific Allocations and Development Management Policies Development Plan Document adopted in 2012.,local-authority-eng:BPC,mixed ownership,,,Not permissioned,,POINT(-1.982565 50.712376),P/BLR/0059,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Skinner Street and surrounds, Poole",,,2018-01-12,,5.984703189,100,100,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.982539 50.713817),P/BLR/0064,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Dolphin Centre, Dolphin Pool and Seldown, Poole",,,2018-01-12,,5.096759669,500,500,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.977836 50.717222),P/BLR/0063,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
Former Natwest,,,2018-01-12,,0.315918664,150,150,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.978723 50.718852),P/BLR/0067,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"The Goods Yard, Poole, BH15 2BQ",,,2018-01-12,,2.921188513,300,300,Existing site allocation in the Site Specific Allocations and Development Management Policies Development Plan Document adopted in 2012.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.98273 50.720261),P/BLR/0058,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Poole Stadium, Stadium Way, Poole, BH15 2BP",,,2018-01-12,,4.113985749,430,430,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,owned by a public authority,,,Not permissioned,,POINT(-1.981771 50.722633),P/BLR/0066,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"12 & 14 and land adjacent to Poole Labour Club, Wimborne Road, Poole, BH15 2BU",,,2018-01-12,,0.129856172,50,50,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,local-authority-eng:BPC,not owned by a public authority,,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_249017,Not permissioned,,POINT(-1.979443 50.720367),P/BLR/0068,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Land between Poole Bridge & Wilkins Way, Poole, BH15 1HJ",,,2018-01-12,,1.870178295,450,450,Existing site allocation in the Core Strategy Development Plan Document adopted in 2009.,local-authority-eng:BPC,not owned by a public authority,,,Not permissioned,,POINT(-1.99216 50.71402),P/BLR/0055,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Salterns Harbourside Hotel, 38 Salterns Way, Poole, BH14 8JR",yes,,2019-12-25,,1.627146274,54,54,Revised scheme. Supersedes planning permission ref: APP/15/00875/F.,local-authority-eng:BPC,not owned by a public authority,2018-01-08,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_248339,permissioned,full planning permission,POINT(-1.94959 50.70642),P/BLR/0018,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"Quay West Marina, 23 West Quay Road, Poole, BH15 1HX",yes,,2017-01-12,,0.853910865,291,291,,local-authority-eng:BPC,not owned by a public authority,2017-08-03,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_245508,permissioned,full planning permission,POINT(-1.991046 50.715338),P/BLR/0032,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"34-40 Dorset Lake Avenue, Poole, BH14 8JD",yes,,2017-01-12,,0.684655544,26,26,,local-authority-eng:BPC,not owned by a public authority,2017-02-24,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_247579,permissioned,full planning permission,POINT(-1.945137 50.705545),P/BLR/0046,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
"4 Lawrence Drive, Poole, BH13 7EN",yes,,2019-11-26,,0.578320959,2,2,Revised scheme. Supersedes planning permission ref: APP/16/01477/F.,local-authority-eng:BPC,not owned by a public authority,2019-09-10,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_252856,permissioned,full planning permission,POINT(-1.928602 50.710919),P/BLR/0050,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,2017-01-12
