site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"6 Easton Street, High Wycombe, HP11 1NJ",yes,,2018-12-18,,0.04,5,5,17/05813/FUL. Change of use of existing building (use class A2) to residential (use class C3) comprising 4 x 1 bed and 1 x 2 bed flats,local-authority-eng:WYO,not owned by a public authority,2018-06-02,,permissioned,full planning permission,POINT(-0.747469 51.6284),HABBEY304,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486794.0&StartNorthing=192928.92&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"89 - 90 Easton Street, High Wycombe, HP11 1LT",yes,,2018-12-18,,0.06,10,10,"17/07396/FUL. Retention of office use at ground floor and raising of roof to rear element of building, conversion of the upper floors to provide 10 x 1 bed flats with associated parking and landscaping (alternative scheme to pp 16/07844/FUL)",local-authority-eng:WYO,not owned by a public authority,2017-05-24,,permissioned,full planning permission,POINT(-0.747603 51.6279),HABBEY322,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486785.78&StartNorthing=192868.61&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"30 & 30a Marlow Road, High Wycombe, HP11 1TB",yes,,2018-12-18,,0.08,7,7,"17/05169/FUL. Demolition of existing buildings and erection of single block comprising 7 x 1 bed and 2 x 2 bed apartments with internal cycle stores, bin stores, parking and associated landscaping",local-authority-eng:WYO,not owned by a public authority,2017-06-01,,permissioned,full planning permission,POINT(-0.766004 51.618),HABBEY323,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485530.735&StartNorthing=191744.725&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"Aria House, 80 Oxford Road, High Wycombe, HP11 2DX",yes,,2018-12-18,,0.42,72,72,"17/06651/PNP30. Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 72 dwellings comprising of 62 studio flats, 8 x 1 bed units and 2 x 2 bed units).",local-authority-eng:WYO,not owned by a public authority,2017-08-14,,permissioned,full planning permission,POINT(-0.757558 51.6329),HABBEY331,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486087.23&StartNorthing=193415.731&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"195b, c, d, & e Desborough Avenue, High Wycombe, HP11 2TW",yes,,2018-12-18,,0.06,6,6,"17/07009/FUL. Construction of part two storey, part first floor extensions with 2 x balconies to front and associated external alterations in connection with conversion of existing offices to 5 x 2 bed flats",local-authority-eng:WYO,not owned by a public authority,2017-09-21,,permissioned,full planning permission,POINT(-0.764279 51.6261),HABBEY334,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485634.905&StartNorthing=192648.62&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"Unit 3, Station Court, Station Road, Bourne End",yes,,2018-12-18,,0.11,6,6,"17/07068/PNP30. Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (office) to Class C3 (dwellinghouse) to create 6 dwellings",local-authority-eng:WYO,not owned by a public authority,2017-09-21,,permissioned,full planning permission,POINT(-0.711494 51.5768),HBOURN143,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489385.314&StartNorthing=187225.263&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"Land North of Comino House, Furlong Road, Bourne End",yes,,2018-12-18,,0.1,5,5,"17/05972/FUL. Erection of 3 storey building comprising 4 x 2 bed and 1 x 1 bed flats together with undercroft car parking, cycle parking and bin storage along with associated amenity space and landscaping",local-authority-eng:WYO,not owned by a public authority,2017-10-24,,permissioned,full planning permission,POINT(-0.706859 51.5772),HBOURN144,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489705.595&StartNorthing=187278.875&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
"Abbey House, 28 - 30 Chapel Street, Marlow, SL7 1DD",yes,,2018-12-18,,0.03,6,6,13/07614/PAJ. Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to 2 x 1 bed and 4 x 2 bed flats falling within Class C3 (dwellinghouses).,local-authority-eng:WYO,not owned by a public authority,2017-11-27,,permissioned,full planning permission,POINT(-0.774797 51.5733),HMARSE090,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485005.199&StartNorthing=186769.642&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
79 - 81 High Street Marlow Buckinghamshire SL7 1AB,yes,,2018-12-18,,0.06,7,7,"16/07708/FUL. Erection of two storey rear extension to create enlarged retail unit at ground floor, 4 x 2-bed & 3 x 1-bed flats with undercroft parking & separate bin stores for retail and residential. Insertion of new doorway and internal staircase to listed buildin",local-authority-eng:WYO,not owned by a public authority,2017-09-22,,permissioned,full planning permission,POINT(-0.774195 51.5697),HMARSE119,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485053.66&StartNorthing=186369.271&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
2 Dashwood Avenue High Wycombe Buckinghamshire HP12 3DN,yes,,2018-12-18,,0.06,7,7,"17/06506/FUL. Construction of new second floor and part ground and first floor accommodation to create 7 apartments (5 x 1 bed and 2 x 2 bed) including part change of use from retail to residential, bin and cycle storage",local-authority-eng:WYO,not owned by a public authority,2017-08-24,,permissioned,full planning permission,POINT(-0.768 51.6333),HOAKCA216,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485363.835&StartNorthing=193446.147&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,2017-12-14
