site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Haulage Depot, St Thomas's Road",yes,,2018-12-13,,0.4,15,15,Haulage Depot,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.98558 52.953983),UT019,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Former reservoirs off, Land at Bridge End, Macclesfield Road",yes,,2018-12-13,,1.1,11,11,Has outline planning permission for 11 dwellings granted at appeal 5/11/2014,local-authority-eng:STF,not owned by a public authority,2018-03-15,,permissioned,outline planning permission,POINT(-2.040834 53.113255),LE071A,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Kniveden Hall and Springhill, Mount Road",,,2017-12-01,,3.5,50,50,Care home in wooded grounds,local-authority-eng:STF,owned by a public authority,,,not permissioned,,,LE066,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Portland Mill, Portland Street",yes,,2018-12-13,,0.46,49,49,Demolition of Mill and creation of 49 retirement apartments - under construction,local-authority-eng:STF,not owned by a public authority,2017-08-30,,permissioned,full planning permission,POINT(-2.016988 53.107076),LE073,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Site of former, Meadows School, Tunstall Road",,,2017-12-01,,0.66,20,20,Former school now derelict,local-authority-eng:STF,owned by a public authority,,,not permissioned,,POINT(-2.179966 53.109692),BD055,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Minster Mill, Walley Street",,,2017-12-01,,0.28,42,42,Underused retail & employment site,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.174714 53.118661),BD102,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Hurst Yard, Meadow Drive / Bank Street",yes,,2018-12-13,,0.95,42,42,Has permission for 42 residential units - all social rented,local-authority-eng:STF,not owned by a public authority,2015-02-27,,permissioned,full planning permission,POINT(-1.989264 52.985185),CH014,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Stoddards Depot, Leek Road",yes,,2017-12-01,,0.8,32,32,Coach Depot and Oil Depot Yard,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.986105 52.990209),CH015,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Land north of, The Green",yes,,2017-12-01,,1.2,42,42,Mixed Use Site,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.005827 52.984133),CH020,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
"Compton Mill, Compton Street",yes,,2018-12-13,,0.36,57,57,Planning permission for apartments age 55+ with care,local-authority-eng:STF,not owned by a public authority,2017-11-19,,permissioned,full planning permission,POINT(-2.02444 53.103578),LE151,https://www.staffsmoorlands.gov.uk/media/3856/SMDC-Brownfield-Land-Register-2018-Maps/pdf/SMDC_Brownfield_Land_Register_2018_Maps.pdf,2017-12-01
