site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Village Farm, Main Street, Bilbrough",yes,,2018-08-07,,0.24,5,5,Site in groundwater source protection zone 3,local-authority-eng:SEL,not owned by a public authority,2018-01-19,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.19353 53.91267),Bilbrough-4,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Pasture Lane, Brotherton",yes,,2018-08-07,,1.60,43,43,The northern to the southern boundary on the western side of the site lies within flood zone 2. Electricity Pylons cross the site.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.274013 53.729223),Brotherton-2,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Lyndale Caravan Park, School Croft, Brotherton",,,2018-08-07,,0.36,13,13,,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.270288 53.726351),Brotherton-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land West of Wood Lea, Byram",yes,,2018-08-07,,0.13,5,5,,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.263231 53.725184),Byram-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-29
"Land east of Millfield Drive, Cambelsforth",yes,,2018-08-07,,0.39,8,8,Entire site lies within flood zone 2 and 3 and site is in a groundwater source protection zone 3.,local-authority-eng:SEL,,,,not permissioned,,POINT(-1.012786 53.726071),Camblesforth-4,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Carlton Supermarket And Post Office, High Street",yes,,2018-08-07,,0.04,7,7,Site in groundwater source protection zone 3,local-authority-eng:SEL,not owned by a public authority,2017-12-06,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.020373 53.710053),Carlton-13,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Oddfellows Arms, High Street, Carlton",,,2018-08-07,,0.16,7,7,Whole site is in a groundwater protection zone 3,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.020798 53.709346),Carlton-6,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Cawood Methodist Church, Sherburn Street, Cawood",yes,,2018-08-07,,0.09,5,5,,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.131386 53.83262),Cawood-9,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Bon Accord Farm, Cliffe",yes,,2018-08-07,,0.64,13,13,Possible ground contamination on the western half of the site from farm buildings.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-0.996206 53.778848),Cliffe-3,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Westfield Avenue Garages B, Eggborough",yes,,2018-08-07,,0.21,6,6,,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.154678 53.705826),Eggborough-6,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Main Road Farm, Main Road",,,2018-08-07,,0.28,5,5,Possible ground contamination from farm buildings on the eastern half of the site.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.16197 53.771115),Hambleton-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land north of Manor Garth, Kellington",yes,,2018-08-07,,0.17,5,5,Entire site lies within flood zone 2.,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.166218 53.717502),Kellington-3,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Lnd at Corner Farm, Osgodby",,,2018-08-07,,0.20,6,6,Possible ground contamination on the site from farm buildings,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.025923 53.795722),Osgodby-2,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land rear of 31 York Road, Riccall",yes,,2018-08-07,,0.84,23,23,Entire site lies within flood zone 2.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.058067 53.836884),Riccall-1,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Chestnut Terrace, Riccall",yes,,2018-08-07,,0.14,5,5,,local-authority-eng:SEL,owned by a public authority,2017-04-03,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.060096 53.831067),Riccall-20,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Beech Tree Surgery, Selby",yes,,2018-08-07,,0.38,15,15,Entire site lies within flood zone 2 and is an area benefiting from flood defences.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.080443 53.774769),Selby-10,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land at Portholme Crescent, Selby",,,2018-08-07,,0.46,18,18,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.067927 53.781503),Selby-12,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land south of Portholme Road, Selby",,,2018-08-07,,0.95,38,38,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination for the northern half of the site from former rail works.,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.06902 53.779444),Selby-13,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Depot, New Millgate, Selby",,,2018-08-07,,0.34,14,14,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.069397 53.787789),Selby-14,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Industrial Chemicals Ltd, Canal View, Bawtry Road, Selby",yes,,2018-08-07,,6.00,300,300,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Sites lies within a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Possible ground contamination for the northern half of the site from the former chemical works",local-authority-eng:SEL,not owned by a public authority,2016-07-13,http://public.selby.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-1.067641 53.774571),Selby-2,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land At Holme Lane, Coupland Road, Selby",yes,,2018-08-07,,7.43,301,301,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of ground contamination on the northern half of the site,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.069116 53.789503),Selby-25,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Greencore, Barlby Road, Barlby",,,2018-08-07,,7.72,309,309,Entire site lies within flood zone 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing factory,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.041962 53.79142),Selby-26,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"21 - 23A Brook Street, Selby",yes,,2018-08-07,,0.15,9,9,Entire site lies within flood zone 2.,local-authority-eng:SEL,not owned by a public authority,2016-11-24,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.073878 53.782098),Selby-28,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Council Depot, Barlby Road, Barlby",yes,,2018-08-07,,0.58,29,29,Entire site in a floodzone 3 and is an area benefitting from flood defences.,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.046755 53.788896),Selby-29,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Canal View, Bawtry Road, Selby",yes,,2018-08-07,,0.75,30,30,Most of site within health and safety executive consultation zone and edge of site 50m away from a health and safety executive inner zone. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of contaminated land within the site from works buildings. Most of site within health and safety executive consultation zone.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.063651 53.777263),Selby-3,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Shipyard Road Pump Station, Shipyard Road",yes,,2018-08-07,,0.14,14,14,Entire site lies within flood zones 2 and 3 and is benefiting from flood defences. Possible ground contamination on site from former factory.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.059683 53.781637),Selby-31,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Bridge Wharf, Ousegate",yes,,2018-08-07,,0.17,13,13,Entire site lies within flood zone 2 whilst the top half other site also lies within flood zone 3.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.063737 53.784311),Selby-32,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Friendship Inn, 58 Millgate, Selby",yes,,2018-08-07,,0.06,6,6,"Entire site in a floodzone 3 area, benefitting from flood defences.",local-authority-eng:SEL,not owned by a public authority,2016-09-22,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.06944 53.787205),Selby-39,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Potter Logistics, Barlby",,,2018-08-07,,24.29,729,729,Entire site lies within flood zone 2 and 3 and is an area benefitting from flood defences. Several areas of possible ground contamination from existing works,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.047385 53.783212),Selby-47,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Rigid Group Ltd, Denison Road, Selby",yes,,2018-08-07,,7.53,305,305,Floodzones 2&3 on the entire site. Areas of possible ground contamination from the former factory,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.056425 53.780748),Selby-54,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
Council waste depot at the end of Prospect Way,,,2018-08-07,,0.64,32,32,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Area benefitting from flood defences. Floodzone 3 on the majority of the site, apart from the southwest corner, which is in floodzone 2. Areas of possible ground contamination from former uses",local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.066034 53.777902),Selby-60,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Former Civic Centre, Portholme Road, Selby",,,2018-08-07,,2.29,103,103,"Area benefitting from flood defences. Floodzone 3 on the majority of the site, remainder is in floodzone 2. Areas of possible ground contamination from former uses",local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.07056 53.779807),Selby-62,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
Police Building south of Portholme Road,,,2018-08-07,,0.64,32,32,"Area benefitting from flood defences. Floodzone 3 on the majority of the site, remainder is in floodzone 2. Areas of possible ground contamination from former uses",local-authority-eng:SEL,owned by a public authority,,,not permissioned,,POINT(-1.068136 53.780318),Selby-63,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Old Maltings Site, Ousegate",,,2018-08-07,,0.41,21,21,Area benefitting from flood defences. Floodzone 2 on the entire site. Areas of possible ground contamination from former uses. Two listed buildings on the northern edge of the site.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.061356 53.782845),Selby-65,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land at Carr Street / Denison Road, Selby",,,2018-08-07,,5.44,218,218,Area benefitting from flood defences. Floodzone 3 on the entire site. Areas of possible ground contamination from former uses,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,POINT(-1.053139 53.780417),Selby-66,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Olympia Park, Barlby Road, Barlby",yes,,2018-08-07,,42.71,863,863,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing works,local-authority-eng:SEL,not owned by a public authority,2015-12-17,http://public.selby.gov.uk/online-applications/,permissioned,other,POINT(-1.0524 53.785624),Selby-9,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
37 Low Street Sherburn In Elmet,yes,,2018-08-07,,0.11,7,7,,local-authority-eng:SEL,not owned by a public authority,2016-12-07,http://public.selby.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-1.250621 53.795062),Sherburn-42,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"North House Farm, Main Street, Skipwith",yes,,2018-08-07,,0.4,9,9,,local-authority-eng:SEL,not owned by a public authority,2017-12-06,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-0.992744 53.837855),Skipwith-5,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Milford Hall, Lumby Lane, South Milford",yes,,2018-08-07,,0.39,14,14,,local-authority-eng:SEL,not owned by a public authority,2015-12-02,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.246085 53.772006),SMilford-29,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
