site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land West of Ashton Rd, Roade",yes,,2020-03-31,,11.1,292,292,Outline approval was an Environmental Impact Assessment application. 0.5ha of site permissioned for employment and/or doctors surgery.. Demolition of existing buildings and residential development comprising 292 dwellings,local-authority-eng:SNR,not owned by a public authority,2015-09-10,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,reserved matters approval,POINT(-0.892718 52.154797),BFL 1,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-1
"Burcote Road, Towcester",yes,,2020-03-31,,3.74,90,90,Consented site comprises 2.75ha brownfield land and 0.99ha greenfield land. The approved schemes includes commercial development.. Residential development of 90 dwellings,local-authority-eng:SNR,not owned by a public authority,2016-02-11,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,reserved matters approval,POINT(-0.983727 52.125155),BFL 2,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-2
"Moat Lane, Towcester",yes,,2020-03-31,,2.74,75,75,"The original application was submitted with an Environmental Statement. The approved scheme is a mixed use regeneration project comprising a new community building, enhancements to a Scheduled Ancient Monument and a mixed use development comprising both new build elements and change of use to include offices, library, residential, retail, café/restaurant, and light industrial uses, with associated public realm works, demolition, landscaping, engineering works and car parking provision.. Mixed use regeneration scheme including 75 residential units",local-authority-eng:SNR,not owned by a public authority,2016-03-29,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-0.988799 52.133381),BFL 4,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-4
"Hayes Road, Deanshanger",yes,,2020-03-31,,1.63,25,18,"Redevelopment of the former Elementis Works site for 15 custom-built detached dwellings, 3 live/work units, 7 self-contained employment units",local-authority-eng:SNR,not owned by a public authority,2015-11-03,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,outline planning permission,POINT(-0.884884 52.050563),BFL 6,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-6
"The Hunters, The Green, Deanshanger",yes,,2020-03-31,,0.35,13,11,Site being constructed using various consents. Please refer to planning history.. Redevelopment of former ambulance / fire station to comprise 11 dwellings,local-authority-eng:SNR,not owned by a public authority,2018-10-12,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-0.884344 52.048212),BFL 11,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-11
"Sun Moon and Stars, 64 High Street, Blisworth",yes,,2020-03-31,,0.11,9,9,Conversion of former public house to 6 flats with the construction of 2 new maisonettes and 1 new house,local-authority-eng:SNR,not owned by a public authority,2016-09-29,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-0.942419 52.174413),BFL 13,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-13
"Mill Lane, Brackley (Stage 1)",yes,,2020-03-31,,0.36,7,7,Demolition of existing buildings and redevelopment of 7 dwellings,local-authority-eng:SNR,not owned by a public authority,2016-02-16,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-1.13509 52.029163),BFL 15,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-15
"100 High Street, Brackley",yes,,2020-03-31,,0.08,7,7,Replace office building with 5 almshouses and 2 flats,local-authority-eng:SNR,not owned by a public authority,2017-08-14,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-1.143961 52.033255),BFL 16,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-16
"Old School House, Station Road, Cogenhoe",yes,,2020-03-31,,0.07,5,5,Conversion of offices to 5 residential units,local-authority-eng:SNR,not owned by a public authority,2015-06-17,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-0.788149 52.237538),BFL 17,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-17
"Silverstone C of E Primary School, Green Lane, Silverstone",yes,,2020-03-31,,0.49,5,5,Conversion of school building to two dwellings. Demolition of other school buildings and erection of three additional dwellings,local-authority-eng:SNR,owned by a public authority,2019-06-12,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,reserved matters approval,POINT(-1.026903 52.088405),BFL 19,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-19
"Hartwell Road, Roade",yes,,2020-03-31,,0.47,4,4,Erection of four dwellings to replace existing buildings,local-authority-eng:SNR,not owned by a public authority,2016-06-03,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-0.888383 52.155737),BFL 20,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-20
"Silverstone Infants School, High Street, Silverstone",yes,,2020-03-31,,0.35,8,4,Conversion of school building to two dwellings. Demolition of other school buildings and erection of two additional dwellings,local-authority-eng:SNR,owned by a public authority,2017-04-27,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,outline planning permission,POINT(-1.027182 52.090368),BFL 21,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-21
"Mill Lane, Brackley (Stage 2)",yes,,2020-03-31,,1.48,40,30,Part of reference site SNC354 (SHLAA 2012).,local-authority-eng:SNR,not owned by a public authority,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,not permissioned,,POINT(-1.13509 52.029163),BFL 22,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-22
"Short Lane, Cogenhoe",yes,,2020-03-31,,1.58,32,32,"Reference site SNC241 (SHLAA 2012). Although site is currently in active commercial use, the current occupier of the site has expressed interest in relocating and it has been stated that the premises are reaching the end of their life.",local-authority-eng:SNR,not owned by a public authority,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,not permissioned,,POINT(-0.784686 52.236171),BFL 24,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-24
"Green Lane Nursery, Towcester",,,2020-03-31,,1.3,31,31,Reference Site SNC273 (SHLAA 2014). The commercial use of the nursery has ceased.,local-authority-eng:SNR,not owned by a public authority,,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,not permissioned,,POINT(-1.002176 52.127102),BFL 26,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2017-11-21,brownfield-land/local-authority-eng/SNR/BFL-26
"25 Manor Road, Brackley",yes,,2020-03-31,,0.14,8,8,Demolition of existing garages / garage building and erection of 8 residential units,local-authority-eng:SNR,not owned by a public authority,2017-07-28,https://www.southnorthants.gov.uk/info/173/planning-process/94/online-maps,permissioned,full planning permission,POINT(-1.148036 52.029796),BFL 27,https://www.southnorthants.gov.uk/downloads/download/527/brownfield-land-register,2020-03-31,brownfield-land/local-authority-eng/SNR/BFL-27
