site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Elms Field & The Paddocks, Elms Rd, Wokingham",yes,,2018-12-10,,6.6532892,126,126,Full application for the erection of mixed use development for Town Centre uses and 126 residential units,local-authority-eng:WOK,not owned by a public authority,2016-03-30,,permissioned,full planning permission,POINT(-0.837814 51.409471),BR024,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR024
Cyber House 2 Molly Millars Lane Wokingham Berkshire RG41 2PX,yes,,2018-12-10,,0.1990258,65,65,Prior approval submission for the conversion of existing offices (Use Class B1(a)) to 65no residential flats (10no studio and 55no one bedroom)(Use Class C3).,local-authority-eng:WOK,not owned by a public authority,2016-08-16,,permissioned,full planning permission,POINT(-0.843181 51.404182),BR058,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR058
Nigra Building Mulberry Business Park Fishponds Road RG41 2GY,yes,,2018-12-10,,0.5472566,42,42,Prior approval submission for the conversion of existing office (Use Class B1(a)) to 42no residential apartments (Use Class C3).,local-authority-eng:WOK,not owned by a public authority,2016-07-20,,permissioned,full planning permission,POINT(-0.848241 51.403045),BR063,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR063
Nigra Building Mulberry Business Park Fishponds Road Wokingham RG41 2GY .,yes,,2018-12-10,,0.6248813,9,9,Full application for the proposed raising of roof height to create a new second floor extension to create 9no self contained residential apartments including a communal garden and upgraded cycle storage and refuse facilities.,local-authority-eng:WOK,not owned by a public authority,2017-02-27,,permissioned,full planning permission,POINT(-0.848269 51.403081),BR069,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-11-29,brownfield-land/local-authority-eng/WOK/BR069
"North Wokingham - Matthewsgreen Farm, Phase 2b",yes,,2018-12-10,,3.5924144,73,73,Reserved Matters application pursuant to Outline planning consent O/2014/2242 for Phase 2b of the development involving the erection of 73 residential dwellings,local-authority-eng:WOK,not owned by a public authority,2016-11-14,,permissioned,reserved matters approval,POINT(-0.847861 51.426753),BR071,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR071
Rosa Building Mulberry Business Park Fishponds Wokingham Berkshire RG41 2GY,yes,,2018-12-10,,0.4025304,33,33,Prior approval submission for the conversion of existing office (Use Class B1(a)) to 33no residential apartments (Use Class C3).,local-authority-eng:WOK,not owned by a public authority,2016-09-13,,permissioned,full planning permission,POINT(-0.85012 51.402659),BR076,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR076
Ilex House Fishponds Road Wokingham Berkshire RG41 2GY,yes,,2018-12-10,,0.5056506,45,45,Prior approval submission for the conversion of existing office (Use Class B1(a)) to 45no residential apartments (Use Class C3).,local-authority-eng:WOK,not owned by a public authority,2016-09-21,,permissioned,full planning permission,POINT(-0.849743 51.402197),BR077,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR077
21-26 Tape Lane Hurst RG10 0DP .,yes,,2018-12-10,,0.3676262,11,11,"Full application for the proposed erection of 11no dwellings with associated access, car parking, landscaping and drainage following demolition of existing semi-detached bungalows.",local-authority-eng:WOK,not owned by a public authority,2016-12-06,,permissioned,full planning permission,POINT(-0.854264 51.457146),BR078,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR078
"North Wokingham - Matthewsgreen Farm, Phase 3",yes,,2018-12-10,,5.358968,74,74,Reserved Matters application pursuant to Outline planning consent O/2014/2242 for 74 dwellings,local-authority-eng:WOK,not owned by a public authority,2017-07-17,,permissioned,reserved matters approval,POINT(-0.846177 51.425649),BR104,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR104
"Land at Market Place, Peach St & Rose St, Wokingham",yes,,2018-12-10,,1.0663726,26,26,Full application for part redevelopment and part retention and refurbishment of existing buildings to provide a mixed use development for town centre uses including 26 residential units,local-authority-eng:WOK,not owned by a public authority,2015-03-05,,permissioned,full planning permission,POINT(-0.832501 51.410874),BR156,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18,brownfield-land/local-authority-eng/WOK/BR156
