name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFL/BAR/003,"Beaufort Walk, Gorwell Barnstaple EX32 7JD",yes,,2018-12-17,,0.41,32,32,"Gross 32 residential units net 16.. DEMOLITION OF EXISTING DWELLINGS & CAR PARKING AREAS & ERECTION OF 32 DWELLINGS, COMMUNITY CENTRE & ASSOCIATED AMENITY SPACE, LANDSCAPING & PARKING",local-authority-eng:NDE,not owned by a public authority,,,pending decision,Permission in principle,POINT(-4.047075 51.083756),BFL/BAR/003,https://www.northdevon.gov.uk/media/379119/bfl-bar-003-beaufort-walk-barnstaple-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-003
BFL/ILF/006,"Willow Court, Torrs Park ILFRACOMBE EX34 8AZ",yes,,2018-12-17,,0.24,6,6,"Planning permission has been implemented and part of the development has been completed. Of the remaining part, the central link is currently under construction but the remaining part of the site has stalled. Six units remain undeveloped.. CONVERSION OF NURSING HOME TO FORM 11 APARTMENTS",local-authority-eng:NDE,not owned by a public authority,2007-02-22,,permissioned,full planning permission,POINT(-4.130684 51.206531),BFL/ILF/006,https://www.northdevon.gov.uk/media/379133/bfl-ilf-006-willow-court-torrs-park-ilfracombe-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-ILF-006
BFL/GEO/012,"Bay View Farm, Croyde Road Croyde Braunton EX33 1PN",,,2018-12-17,,0.25,6,3,Car parking / reception area and traditional stone barn attached to existing camping and caravan site.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.226592 51.126987),BFL/GEO/012,https://www.northdevon.gov.uk/media/379129/bfl-geo-012-bay-view-caravan-park-croyde-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-012
BFL/GEO/017,"Fairleigh, Crowborough Road Georgeham Braunton EX33 1JZ",,,2018-12-17,,0.37,10,8,Gross 8 residential units net 6. 63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Approved subject to s106.. DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS TOGETHER WITH THE ERECTION OF 2 ADDITIONAL DWELLINGS (GROSS 10 NET 8),local-authority-eng:NDE,not owned by a public authority,2017-04-19,,permissioned,full planning permission,POINT(-5.932832 51.087487),BFL/GEO/017,https://www.northdevon.gov.uk/media/379130/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-017
BFL/BAR/018,"The Tile Centre, 113 Boutport Street Barnstaple EX31 1TD",yes,,2018-12-17,,0.03,6,6,ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS TO INCLUDE SEVERAL MINOR AMENDMENTS FROM THE ORIGINAL APPROVAL (61963),local-authority-eng:NDE,not owned by a public authority,2018-11-06,,permissioned,full planning permission,POINT(-4.05895 51.081731),BFL/BAR/018,https://www.northdevon.gov.uk/media/379116/bfl-bar-018-113-boutport-street-barnstaple-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-018
BFL/MOR/021,"The Rocks Hotel, Beach Road Woolacombe Ilfracombe EX34 7BT",yes,,2018-12-17,,0.06,7,5,Gross 7 residential units net 5. Previous planning permission 57076 lapsed in April 2018. No subsequent permissions have been sought as a renewal of the previous consent.. RETENTION OF TWO RESIDENTIAL FLATS & EXTENSION / CONVERSION OF HOTEL TO FORM FIVE RESIDENTIAL FLATS,local-authority-eng:NDE,not owned by a public authority,2015-04-14,,permissioned,full planning permission,POINT(-4.204602 51.172695),BFL/MOR/021,https://www.northdevon.gov.uk/media/379146/bfl-mor-021-the-rocks-hotel-woolacombe-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-MOR-021
BFL/ILF/022,"John Fowler Holidays, Ilfracombe Holiday Park Marlborough Road Ilfracombe EX34 8PF",yes,,2018-12-17,,3.14,80,60,"OUTLINE PLANNING APPLICATION FOR DEMOLITION OF HOLIDAY CHALETS, ERECTION OF UP TO 80 DWELLINGS, FORMATION OF PUBLIC OPEN SPACE, RECONFIGURATION OF EXISTING ACCESSES ONTO WORTH ROAD & OLD BARNSTAPLE ROAD",local-authority-eng:NDE,not owned by a public authority,2016-06-10,,permissioned,outline planning permission,POINT(-4.11215 51.200104),BFL/ILF/022,https://www.northdevon.gov.uk/media/379134/bfl-ilf-022-former-john-fowler-holiday-park-ilfracombe-1-2500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-ILF-022
BFL/LAN/027,"Westacott Heights, Whiddon Valley BARNSTAPLE EX32 7NF",,,2018-12-17,,0.6,21,18,This site forms part of the strategic urban extension at Westacott in the emerging Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.020828 51.078754),BFL/LAN/027,https://www.northdevon.gov.uk/media/379144/bfl-lan-027-westacott-heights-barnstaple-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-LAN-027
BFL/FRE/028,"Land at Yelland Quay, Yelland BARNSTAPLE EX31 3EZ",,,2018-12-17,,11.9,280,250,Site is allocated for approximately 250 dwellings in the Local Plan (FRE02).. OUTLINE APPLICATION FOR 280 DWELLINGS (USE CLASS C3),local-authority-eng:NDE,not owned by a public authority,,,pending decision,,POINT(-4.162222 51.069775),BFL/FRE/028,https://www.northdevon.gov.uk/media/379126/bfl-fre-028-land-at-yelland-quay-fremington-1-3500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-FRE-028
BFL/MOR/029,"Panorama, Rockfield Road Woolacombe Ilfracombe EX34 7DH",yes,,2018-12-17,,0.54,5,5,Gross 5 residential units net 4. 56934 : DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER WITH ASSOCIATED WORKS. Approved 02/06/14 54876 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 50819 DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA. Approved 21/12/12 50819 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 45947 FOR DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS WITH PARKING AREA. Approved 22/09/10 45947 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 41949). Approved 31/03/08 41949 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 40183) (AMENDED PLANS). Approved 08/09/06 40183 : DEMOLITION OF BUNGALOW & ERECTION OF 4 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDED PLANS & DESCRIPTION). Approved 03/01/06. APPLICATION FOR A NON MATERIAL AMENDMENT TO PLANNING PERMISSIONS 56934 (DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER WITH ASSOCIATED WORKS) & 62118 (NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 56934 IN RESPECT OF ALTERATIONS TO FOOTPRINT TO MEET CURRENT BUILDING REGULATIONS) IN RESPECT OF AMENDED DESIGN & MATERIALS,local-authority-eng:NDE,not owned by a public authority,2018-10-17,,permissioned,full planning permission,POINT(-4.211249 51.175861),BFL/MOR/029,https://www.northdevon.gov.uk/media/379145/bfl-mor-029-panorama-rockfield-road-woolacombe-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-MOR-029
