site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Temple Lane, Templecombe",,2019-08-15,2019-08-15,,5.69,51,40,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.410629 51.001979),E/ABTE/0001/10,https://www.southsomerset.gov.uk/media/1578/abte000110.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-ABTE-0001-10
"Manor Farm, Coombe Hill, Templecombe",,2019-08-15,2019-08-15,,4.34,78,70,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.422516 50.998888),E/ABTE/0013,https://www.southsomerset.gov.uk/media/1577/abte0013.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-ABTE-0013
"Land at Ansford Farm, Cumnock Road, Castle Cary",,2020-01-30,2020-01-30,,0.15,5,5,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.511486 51.093419),E/ANSF/0010/,https://www.southsomerset.gov.uk/media/1579/ansf0010.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-ANSF-0010-
"BMI Site, Cumnock Road, Castle Cary",,,2017-11-16,,1.3,32,29,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.511463 51.091342),E/CACA/1101,https://www.southsomerset.gov.uk/media/1582/caca1101.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-CACA-1101
"Constitutional Club, Station Road, Castle Cary",yes,,2020-01-30,,0.2,2,2,Reserved Matters Approval given 2018-02-15 for further 8 dwellings,local-authority-eng:SSO,not owned by a public authority,2018-03-23,,permissioned,full planning permission,POINT(-2.519581 51.088222),E/CACA/B001,https://www.southsomerset.gov.uk/media/1583/cacab001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-CACA-B001
"The Old Forge, Limington",yes,,2020-01-30,,0.31,10,10,outline Permission for 5 dwellings granted 2017-02-23,local-authority-eng:SSO,not owned by a public authority,,,pending decision,full planning permission,POINT(-2.656998 50.999737),E/LIMI/B001,https://www.southsomerset.gov.uk/media/1595/limib001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-LIMI-B001
"Adjoining the Pilgrim's Rest PH, Lovington",yes,,2020-02-05,,0.27,6,6,,local-authority-eng:SSO,not owned by a public authority,2019-06-17,,permissioned,full planning permission,POINT(-2.585648 51.082897),E/LOVI/B003,https://www.southsomerset.gov.uk/media/3137/elovib003.pdf,2020-02-05,brownfield-land/local-authority-eng/SSO/E-LOVI-B003
"Harvester Works, Mayfield Close, Galhampton",yes,,2020-01-30,,0.5,8,8,,local-authority-eng:SSO,not owned by a public authority,,,pending decision,full planning permission,POINT(-2.521272 51.067109),E/NOCA/B001,https://www.southsomerset.gov.uk/media/1600/nocab001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-NOCA-B001
"Haynes Publishing, High Street, Sparkford",yes,,2017-11-16,,2.3,48,37,,local-authority-eng:SSO,not owned by a public authority,2017-03-29,,permissioned,outline planning permission,POINT(-2.565174 51.034426),E/SPAR/0005/,https://www.southsomerset.gov.uk/media/1606/spar0005.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-SPAR-0005-
"The Tythings, Southgate Road, Wincanton",,,2017-11-16,,2.73,55,49,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.41359 51.052577),E/WINC/0007/,https://www.southsomerset.gov.uk/media/1607/winc0007-b001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-WINC-0007-
"Former Works, Southgate Road, Wincanton",,,2020-01-30,,0.03,19,19,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.413138 51.051491),E/WINC/B001,https://www.southsomerset.gov.uk/media/1608/wincb001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/E-WINC-B001
"Barn Owl Inn, Westport, Langport",yes,,2020-02-04,,0.2,6,6,previous permission granted 2018-10-05,local-authority-eng:SSO,not owned by a public authority,2019-08-19,,permissioned,full planning permission,POINT(-2.874902 50.976805),N/HAWE/B001,https://www.southsomerset.gov.uk/media/3138/nhaweb001.pdf,2020-02-04,brownfield-land/local-authority-eng/SSO/N-HAWE-B001
"Great Orchard Stores. Brookland Road, Huish Episcopi",yes,,2020-01-30,,0.08,8,8,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.81733 51.042347),N/HEUP/B001,https://www.southsomerset.gov.uk/media/1590/huepb001.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/N-HEUP-B001
"Rear of the Rose & Crown, Hurst, Bower Hinton",yes,,2017-11-16,,0.25,5,5,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,POINT(-2.77351 50.963548),N/MART/0005,https://www.southsomerset.gov.uk/media/1596/mart0005.pdf,2017-11-16,brownfield-land/local-authority-eng/SSO/N-MART-0005
