site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land Rear Church And Dwight, Caesars Way, Folkestone, Kent",,,,,,77,77,,local-authority-eng:SHE,Owned by a public authority,,,,,,,,,
"Land Adjoining Fairlight Terrace, Lydd Road, New Romney, Kent, TN28 8HE",,,,,,21,21,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"11 Littlestone Road, Littlestone, Kent, TN28 8LN",,,,,,11,11,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"Two Bells Inn , 58 Canterbury Road, Folkestone, Kent, CT19 5NJ",,,,,,12,12,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"Charlier House, 8 - 12 Stade Street, Hythe, Kent, CT21 6BE",,,,,,6,6,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"12-14 Princess Street, Folkestone, Kent, CT19 6EB",,,,,,8,8,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"The Leas Club, The Leas, Folkestone, Kent, CT19 2DP",,,,,,68,68,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"72 Cheriton High Street, Folkestone, Kent, CT19 4HF",,,,,,12,12,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"52 - 54 Guildhall Street, Folkestone, Kent, CT20 1EE",,,,,,14,14,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"Folkestone Constitutional Club, 43-45 Guildhall Street, Folkestone, Kent CT20 1EF",,,,,,8,8,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"116 Cheriton Road, Folkestone, Kent, CT19 5HQ",,,,,,9,9,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"Squirrels, Cannongate Road, Hythe, Kent, CT21 5PT",,,,,,8,8,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"Shakespeare Centre, 145-147 Sandgate Road, Folkestone, Kent, CT20 2DA",,,,,,6,6,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
"The Paddocks, 13 Prospect Road, Hythe, Kent, CT21 5NN (Land Adjoining The Paddocks Car Park, Prospect Road, Hythe, Kent)",,,,,,10,10,,local-authority-eng:SHE,Not owned by a public authority,,,,,,,,,
