name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
1,"Land at SAPPI, Preston Old Road,Blackburn",yes,,2017-09-07,,2.7,162,81,Land allocated as development opportunity site in Local Plan Part 2.,local-authority-eng:BBD,not owned by a public authority,2015-11-19,http://planning.blackburn.gov.uk/northgate/documentexplorer/application/folderview.aspx?type=PLNP11_DC_PLANAPP&key=48456&iWgrnzsWW4I=aH8Pp24Bn4U=,permissioned,outline planning permission,POINT(-2.539509 53.718619),1,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/01%20Land%20at%20SAPPI.pdf,2017-07-09,/brownfield-land/local-authority-eng/BBD/1
2,"Garage site, Harcourt Road, Blackburn",yes,,2017-12-19,,0.31,19,9,,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,POINT(-2.499306 53.751744),2,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/02%20Garage%20Site,%20Harcourt%20Road.pdf",2017-09-07,/brownfield-land/local-authority-eng/BBD/2
3,"Site off Shorrock Lane, Blackburn",yes,,2020-06-30,,0.33,20,10,"Coal mining risk assessment required for technical details application. Canal & River Trust requires the following to be addressed at Technical Details Consent stage: proposed layout and potential canal access, land contamination assessment considering the canal.",local-authority-eng:BBD,not owned by a public authority,2020-02-26,http://planningdms.blackburn.gov.uk/NorthgateIM.websearch/(S(id304hj5kn0ljoyugejpr0ir))/Results.aspx,permissioned,full planning permission,POINT(-2.506216 53.733667),3,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/03%20Site%20off%20Shorrock%20Lane.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/3
4,"Mill at Scotland Bank Terrace, Blackburn",,,2017-12-19,,0.62,37,19,,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,POINT(-2.500487 53.726096),4,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/04%20Mill,%20Scotland%20Bank%20Terrace.pdf",2017-09-07,/brownfield-land/local-authority-eng/BBD/4
5,"Former Darwen Moorland High School, Holden Fold, Darwen",,,2020-06-30,,4.73,284,142,,local-authority-eng:BBD,owned by a public authority,,,not permissioned,,POINT(-2.459714 53.704939),5,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/05%20Darwen%20Moorland%20High%20School%20Holden%20Fold.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/5
6,"Hoddlesden Mill, Johnson New Road, Hoddlesden",yes,,2020-06-30,,1.9,114,57,"Pre determination assessment may be required at technical details stage due to potential issues with noise, odour and light. EA to be consulted at techical details stage due to potential contaminants. Planning permission for 87 homes now expired.",local-authority-eng:BBD,not owned by a public authority,2017-12-19,http://planning.blackburn.gov.uk/northgate/documentexplorer/application/folderview.aspx?type=PLNP11_DC_PLANAPP&key=42863&iWgrnzsWW4I=aH8Pp24Bn4U=,permissioned,permission in principle,POINT(-2.459714 53.704939),6,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/06%20Hoddlesden%20Mill.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/6
7,"Roe Lee Mill North,Campbell Street, Blackburn",yes,,2017-12-19,,0.62,37,19,Land allocated in Local Plan Part 2 for residential development. Technical details application to include asset protection measures to ensure safe operation and integrity of railway,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,POINT(-2.478262 53.768206),7,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/07%20Roe%20Lee%20Mill%20North.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/7
8,"Roe Lee site, off Rosewood Avenue, Blackburn",yes,,2017-12-19,,0.23,14,7,Land allocated in Local Plan Part 2 for residential development,local-authority-eng:BBD,not owned by a public authority,2017-12-19,,permissioned,permission in principle,POINT(-2.477313 53.766152),8,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/08%20Roe%20Lee%20Site%20off%20Rosewood%20Avenue.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/8
9,"Old Newfield School Site, Roman Road, Blackburn",yes,,2017-12-19,,2.7,162,81,Land allocated in Local Plan Part 2 for residential development,local-authority-eng:BBD,owned by a public authority,2017-12-19,,permissioned,permission in principle,POINT(-2.463388 53.727683),9,https://www.blackburn.gov.uk/sites/default/files/media/pdfs/09%20Old%20Newfield%20School%20Site.pdf,2017-09-07,/brownfield-land/local-authority-eng/BBD/9
10,"Blakewater, Shadsworth Road, Blackburn",,,2017-09-07,,4.52,271,135,,local-authority-eng:BBD,owned by a public authority,,,not permissioned,,POINT(-2.451173 53.736332),10,"https://www.blackburn.gov.uk/sites/default/files/media/pdfs/10%20Blakewater,%20Shadsworth%20Road.pdf",2017-09-07,/brownfield-land/local-authority-eng/BBD/10
