site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Landata House, Station Road, Hook",yes,,2017-12-22,,0.55,78,78,Redevelopment of the site to provide 78 residential flats,local-authority-eng:HAT,not owned by a public authority,2016-03-23,,permissioned,full planning permission,POINT(-0.961119 51.278095),15/01603/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Bartley House, Station Road, Hook",yes,,2017-12-22,,0.6,53,53,Change of use from B1(a) to C3,local-authority-eng:HAT,not owned by a public authority,2016-05-31,,permissioned,other,POINT(-0.960707 51.277318),16/00571/PRIOR 16/03378/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Providence House, 2 Bartley Way, Hook",yes,,2017-12-22,,1.69,107,107,Change of use from B1 to C3,local-authority-eng:HAT,not owned by a public authority,2016-05-24,,permissioned,other,POINT(-0.953776 51.278848),16/00883/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Winchfield Lodge, Old Potbridge Road",yes,,2017-12-22,,0.98,16,16,Conversion from B1 (office) to 4 residential dwellings plus the erection of 12 additional dwellings,local-authority-eng:HAT,not owned by a public authority,2013-12-03,,permissioned,full planning permission,POINT(-0.917371 51.287491),13/00720/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Lamb Hotel, High Street, Hartley Wintney",yes,,2017-12-22,,0.25,11,11,"Conversion and extension of existing hotel buildings to form offices, retail unit, one 2-bedroom flat, one 4-bedroom house and one 3-bedroom house and the erection of one 3-bedroom house, six 2-bedroom houses and one 1-bedroom flat",local-authority-eng:HAT,not owned by a public authority,2013-09-23,,permissioned,full planning permission,POINT(-0.899228 51.307383),13/01215/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Rose Court, Rye Common Lane, Crondall",yes,,2017-12-22,,0.3,14,14,"Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments",local-authority-eng:HAT,not owned by a public authority,2015-09-10,,permissioned,full planning permission,POINT(-0.878398 51.246722),15/01083/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Land rear of 102-108 Fleet Road, Fleet",yes,,2017-12-22,,0.09,12,12,Reserved Matters (Appearance and Landscaping): Demolition of existing storage buildings and erection of a single block containing 10 x 1 & 2 x 2-bed residential flats. Outline application: 14/00106/MAJOR,local-authority-eng:HAT,not owned by a public authority,2015-07-01,,permissioned,REM,POINT(-0.84074 51.282801),15/00276/REM,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"18 Church Road, Fleet",yes,,2017-12-22,,0.08,10,10,Demolition of existing office block at 18 Church Road and erection of 10 apartments,local-authority-eng:HAT,not owned by a public authority,2015-06-19,,permissioned,full planning permission,POINT(-0.840032 51.282479),15/00275/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Consort House, 46-48 Albert Street, Fleet",yes,,2017-12-22,,0.04,6,6,Change of use from B1 to C3,local-authority-eng:HAT,not owned by a public authority,2016-03-15,,permissioned,other,POINT(-0.839055 51.282559),16/00032/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Consort House, 46-48 Albert Street, Fleet",yes,,2017-12-22,,0.04,7,7,Change of use from B1 to C3,local-authority-eng:HAT,not owned by a public authority,2016-05-26,,permissioned,other,POINT(-0.839054 51.282568),16/00796/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
