site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Monk Bridge Road (3) LS6,yes,,2016-07-11,,0.51,9,9,,local-authority-eng:LDS,not owned by a public authority,,,not permissioned,,POINT(-1.573746 53.826719),SHL00001,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00001,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00001
Spenfield House Otley Road Headingley Leeds LS16 5,yes,,2016-07-11,,1.22,13,13,"Part demolition and conversion of Spenfield to create 6 apartments and studio flat together with construction of 7 terraced dwellings on car park to the rear with associated boundary treatments, landscaping and car parking.",local-authority-eng:LDS,not owned by a public authority,2017-04-19,,permissioned,full planning permission,POINT(-1.591333 53.833512),SHL00004,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00004,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00004
Scarcroft Lodge Wetherby Road Scarcroft Leeds,yes,,2017-12-19,,5.79,100,100,,local-authority-eng:LDS,not owned by a public authority,,,not permissioned,,POINT(-1.447 53.8645),SHL00006,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00006,2017-12-19,brownfield-land/local-authority-eng/LDS/SHL00006
Land North Of Morrisons Swinnow Road Swinnow Leeds,yes,,2016-07-11,,0.69,25,25,Reserved Matters application for residential development of 25 dwellings,local-authority-eng:LDS,not owned by a public authority,2018-01-23,,permissioned,reserved matters approval,POINT(-1.636469 53.804581),SHL00009,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00009,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00009
Daytona Works Carlisle Road Pudsey Leeds LS28 8PL,yes,,2016-07-11,,0.53,18,18,Erection of 23 dwelling houses,local-authority-eng:LDS,not owned by a public authority,2012-06-01,,permissioned,full planning permission,POINT(-1.667644 53.790848),SHL00011,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00011,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00011
Riverside Mill Low Hall Road Horsforth Leeds LS19,yes,,2016-07-11,,7.86,85,85,"Reserved matters application for the erection of 120 dwellings, conversion of two buildings to form three dwellings, laying out of public open space and associated infrastructure",local-authority-eng:LDS,not owned by a public authority,2015-09-25,,permissioned,reserved matters approval,POINT(-1.670673 53.834403),SHL00012,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00012,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00012
Land At Vesper Road Kirkstall Leeds LS5 3NU,,,2016-07-11,,0.48,17,17,,local-authority-eng:LDS,not owned by a public authority,,,not permissioned,,POINT(-1.606748 53.826229),SHL00013,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00013,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00013
Moorfield Road / Tower Works,yes,,2016-07-11,,1.00,62,62,,local-authority-eng:LDS,not owned by a public authority,,,not permissioned,,POINT(-1.603811 53.799345),SHL00014,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00014,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00014
"South Park Mills, 15, 15a, 16 And 17, Acrivan Ltd, Fulneck",yes,,2016-07-11,,1.32,21,21,Outline application for residential development of up to 21 dwellings,local-authority-eng:LDS,not owned by a public authority,2017-01-20,,permissioned,outline planning permission,POINT(-1.658151 53.780377),SHL00017,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00017,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00017
Woodside Mill Low Lane Horsforth Leeds,yes,,2016-07-11,,1.30,59,59,,local-authority-eng:LDS,not owned by a public authority,,,not permissioned,,POINT(-1.623158 53.841247),SHL00018,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00018,2016-07-11,brownfield-land/local-authority-eng/LDS/SHL00018
