site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Land adjacent 215 Occupation Road Albert Village,yes,,2017-12-31,,0.22,8,8,"13/00856/OUT approved 2015/02/26 | 17/00178/REM condition discharge in 2017. Erection of eight dwellings (Reserved Matters to Outline Planning Permission reference 13/00856/OUT of layout, scale, appearance and landscaping)",local-authority-eng:NWL,not owned by a public authority,2017-05-23,,permissioned,reserved matters approval,POINT(-1.557338 52.753639),BLR1,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR1
Jubilee Business Park Snarestone Road Appleby Magna,,,2017-12-31,,2.02,38,38,,local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.528403 52.683435),BLR2,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR2
Former Arla Dairy Smisby Road Ashby de la Zouch,yes,,2017-12-31,,5.13,153,153,"16/00275/OUTM. Erection of up to 153 dwellings with associated car parking, landscaping, open space and access roads (Outline - all matters other than part access reserved)",local-authority-eng:NWL,not owned by a public authority,,,pending decision,outline planning permission,POINT(-1.474142 52.757516),BLR3,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR3
Breedon Priory Nursery Ashby Road Breedon on the Hill,,,2017-12-31,,1.2,18,18,16/01120/FULM | Whole site 3.93ha - B/F element Circa 1.2ha. Removal of existing buildings and erection of 27 dwellings a new Village Hall new Commercial/Retail units new agricultural building together with associated access,local-authority-eng:NWL,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.404222 52.802754),BLR4,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR4
Stevenson House Ashby Road Coalville,,,2017-12-31,,0.28,14,14,13/00107/OUTM approved 2016/12/20. Demolition of existing structures and the change of use of the land to residential with the erection 14 dwellings (Outline - All Matters reserved),local-authority-eng:NWL,not owned by a public authority,2016-12-20,,permissioned,outline planning permission,POINT(-1.380436 52.72711),BLR5,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR5
Former Needle Factory Wolsey Road Coalville,,,2017-12-31,,2.06,38,38,,local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.375383 52.727335),BLR6,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR6
The Piggeries North of Standard Hill Coalville,,,2017-12-31,,0.65,10,10,,local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.383953 52.717114),BLR7,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR7
Workspace 17 Highfield Street Coalville,yes,,2017-12-31,,0.56,18,18,two applications approved on the same date 16/00414/OUTM is all residential 16/00415/OUTM has a retail element. Demolition of existing buildings and erection of up to 20 dwellings (outline - details of part access included) | Demolition of existing buildings and erection of up to 18 dwellings and retail convenience store (A1) (outline - details of part access included),local-authority-eng:NWL,owned by a public authority,2017-03-29,,permissioned,outline planning permission,POINT(-1.376014 52.717387),BLR8,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR8
The Old Foundry Bridge Road Coalville,,,2017-12-31,,0.28,14,14,03/00401/OUT approved 2008/03/31 Demolition of industrial buildings and redevelopment for residential purpose (outline - all matters reserved) | current history is 17/01381/FULM. Erection of 14 dwellings. https://plans.nwleics.gov.uk/public-access/simpleSearchResults.do?action=firstPage,local-authority-eng:NWL,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.369605 52.721443),BLR9,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR9
Old Hall Farm Buildings Grimes Gate Diseworth,,,2017-12-31,,0.59,10,10,17/00332/FULM with linked Listed Building application - 17/00333/LBC both approved 2017/10/04. Erection of 7 dwellings and conversion and change of use of agricultural building to 3 dwellings. https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=ONHB4ZLRLHX00,local-authority-eng:NWL,not owned by a public authority,2017-10-04,,permissioned,full planning permission,POINT(-1.328143 52.818152),BLR10,https://www.nwleics.gov.uk/pages/brownfield_land_register,2017-12-31,brownfield-land/local-authority-eng/NWL/BLR10
