site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"128 North Walls, Stafford",yes,,2019-10-15,,0.02,5,5,Existing terraces (128-130 North Walls) converted into flats and bedsits (5 units) with new external access stair.,,not owned by a public authority,2016-11-01,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,16/24628/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"69-70 Foregate Street, Stafford",yes,,2019-10-15,,0.13,18,18,Prior approval - change of use from offices to residential (18 apartments),,not owned by a public authority,2015-02-23,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/21611/POTH,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Areva Fairway, Stafford",yes,,2019-10-15,,7.52,194,194,"Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",,not owned by a public authority,2015-12-02,http://www.staffordbc.gov.uk/planning-public-access,permissioned,reserved matters approval,,15/22735/REM,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",yes,,2019-10-15,,0.2,6,6,Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),,not owned by a public authority,2016-08-24,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/23140/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at Elms Business Centre, Main Road, Great Haywood",yes,,2019-10-15,,0.33,10,10,RESIDENTIAL DEVLEOPMENT (SIX UNITS) AT REAR OF ELMS BUSINESS CENTRE/ELMS LODGE/ELMS FARMHOUSE INCLUDING DEMOLITION OF ASBESTOS CLAD COMMERCIAL UNIT - RESUBMISSION OF 14/21329/FUL TO INCLUDE ACCESS ROUTE WITHIN RED EDGE,,not owned by a public authority,2015-03-31,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28018/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at Former Carers Centre, Austin Friars, Stafford",yes,,2019-10-15,,0.08,8,8,"Eight apartments, access, drying area, parking and associated works",,not owned by a public authority,2015-10-27,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,,18/29526/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at George Street Press and Car Park, Fancy Walk, Stafford",yes,,2019-10-15,,0.18,20,20,Conversion of Mill building to create twenty two-bedroom apartments with associated car parking,,mixed ownership,2016-04-11,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/22060/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at Silkmore Lane, Stafford",yes,,2019-10-15,,0.5,76,76,Residential Care Home (Use Class C2). 76 bedroom units with on-suite facilities.,,mixed ownership,2016-05-25,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/23463/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land at Yarnfield Park, Yarnfield",yes,,2019-10-15,,2.85,45,45,"The provision of dwellings and associated infrastructure, including parking provision and roads. Officer/committee resolution to permit subject to S106 agreement being signed.",,not owned by a public authority,2015-06-11,http://www.staffordbc.gov.uk/planning-public-access,pending decision,other,,15/21721/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Land SCC Development Service Parcel 4, Riverway, Stafford",yes,,2019-10-15,,0.18,15,15,Erection of three storey block of 15 supported living units with associated open space and car parking,,owned by a public authority,2016-02-03,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/23103/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"Whitebridge Lane, Stone, Staffordshire",yes,,2019-10-15,,0.36,11,11,Residential development,,not owned by a public authority,2015-12-03,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,17/27651/REM,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,
"St John’s Church, Stone",yes,,2019-10-15,,0.16,9,9,Conversion of Church and erection of rear two-storey extension (following demolition of existing single-storey extension) to provide five residential units and the erection of a 2.5 storey building fronting The Avenue to provide four apartments on the former Church car park,,not owned by a public authority,,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,full planning permission,,16/23671/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Truview, 12 Sandon Road, Stafford",yes,,2019-10-15,,0.13,11,11,Construct up to 11 apartments (outline),,not owned by a public authority,2017-08-22,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,outline planning permission,,17/25523/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"The Halsteads, Milwich",yes,,2019-10-15,,0.89,0,0,"Part-demolition of existing dwelling, construction of replacement dwelling, construction of detached carport and reorientation of residential curtilage",,not owned by a public authority,2017-10-03,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,full planning permission,,17/26358/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Claremont Garage, Eccleshall",yes,,2019-10-15,,0.42,9,9,"Outline application for residential development (including access, all other matters reserved)",,not owned by a public authority,2017-10-05,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,outline planning permission,,17/26714/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"43 Eccleshall Road, Stafford",yes,,2019-10-15,,0.05,6,6,Demolition of existing buildings; construct building to accommodate 7 apartments.,,not owned by a public authority,2017-11-15,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,outline planning permission,,17/26235/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Salt Works Farm, Weston",yes,,2019-10-15,,0.16,5,5,Proposed residential development of three two storey dwellings and two semi-detached dormer bungalows,,not owned by a public authority,2017-11-21,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,outline planning permission,,17/26105/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"158 Oulton Road, Stone",yes,,2019-10-15,,0.17,5,5,Conversion and alteration of existing dwelling to form five apartments and erection of new detached coach house to form one apartment.,,not owned by a public authority,2018-01-12,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,full planning permission,,17/27337/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Staffordshire Police Headquarters, Stafford",yes,,2019-10-15,,5.07,141,141,"Residential development of 141 dwellings, including balancing pond, play and open space and associated infrastructure.",,not owned by a public authority,2018-06-20,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/27849/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Britannia House, 6-7 Eastgate Street, Stafford",yes,,2019-10-15,,0.005,23,23,Notification for prior approval for proposed change of use from office B1(a) to dwellinghouse C3 (32 apartments),,not owned by a public authority,2018-03-16,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28212/POR,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Land at Bank Top Garage, Gnosall",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Former Staffordshire University Campus, Beaconside",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Land south of Brunswick Terrace, Stafford",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Land south of Brunswick Terrace, Stafford",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Stafford Police Station,,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"Stone Highways Depot, Stone",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Stone Police Station,,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Land at Portal Road,yes,,2019-10-15,,0.51,16,16,Construction of 16 dwellings,,not owned by a public authority,2018-08-09,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,17/25983/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Land at Rear of Former Browse Antiques,yes,,2019-10-15,,0.306572,23,23,"Demolish buildings; erect 23 dwellings comprising 8 no 3 bedroom houses, 9 no 1 bedroom flats, 6 no 2 bedroom flats with associated car parking, landscaping and access roads",,not owned by a public authority,2018-09-10,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/27978/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Chetwynd Centre,yes,,2019-10-15,,0.9687,32,32,Proposed change of use of former school to residential use and to a performing arts centre with associated uses along with then new build houses in a terrace,,not owned by a public authority,2018-10-18,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28342/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Land at Riverway,yes,,2019-10-15,,0.67,80,80,Erection of a 4 storey building comprising 80 residential apartments for occupants aged over 55 years old,,not owned by a public authority,2018-11-01,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28138/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Stone Town Council Car Park,yes,,2019-10-15,,0.3568,1,1,Public house and studio theatre including use of wharfingers cottage; outbuildings; parking; alterations,,owned by a public authority,2019-01-21,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28965/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
National Westminster Bank,yes,,2019-10-15,,0.1632,6,6,Change of use from a2 (bank) and school (d1) to mixed uses retail (a1) and residential (c3),,not owned by a public authority,2018-07-30,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28418/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
"The Whitehouse, Chapel Street, Stafford",yes,,2017-11-15,,0.04,9,9,Prior approval - change of use from office to 9 flats (class c3),local-authority-eng:EST,not owned by a public authority,2018-08-14,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28695/POR,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,brownfield-land/local-authority-eng/EST/18-28695-POR
"Garages, Highfields",yes,,2019-10-15,,0.2,7,7,Demolition of garages and construction of 7 houses,local-authority-eng:EST,not owned by a public authority,2018-08-17,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28296/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,brownfield-land/local-authority-eng/EST/18-28296-FUL
CC4 Greengate Street,yes,,2019-10-15,,0.03,8,8,"Conversion of 1st, 2nd, 3rd floors above retail unit to provide eight residential apartments",local-authority-eng:EST,owned by a public authority,2019-02-13,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/29731/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,brownfield-land/local-authority-eng/EST/18-29731-FUL
Former Stafford College Annex,yes,,2019-10-15,,0.1191,15,15,Outline application to demolish existing building and build 15 apartments. officer/committee resolution to permit subject to S106 agreement being signed.,local-authority-eng:STA,not owned by a public authority,,http://www.staffordbc.gov.uk/planning-public-access,pending decision,other,,18/28772/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,brownfield-land/local-authority-eng/STA/18-28772-OUT
MoD 4 Site,,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
St. Mary’s Abbey,,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,
Midfield Nurseries Garden Centre,,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2018-11-01,
"Leisure Complex, Yarnfield Park",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2018-11-01,
"Silver Birches, Stone Road",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2018-11-01,
"Wellbeing Park, Yarnfield Lane",,,2019-10-15,,,,,,,,,,,,,,https://www.staffordbc.gov.uk/brownfield-land-register,2018-11-01,
