site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Wixams New Settlement LPH14 H31 Wixams (Land Focused on the Elstow Storage Depot),yes,,2017-09-30,,189.72,1259,1259,Delivery of the site is likely to continue beyond 2022.. Built development consisting of building and engineering works for a mixed use development of residential employment retail (A1 A2 A3) leisure and community uses open space and associated uses together with supporting infrastructure (roads paths cycleways pumping stations electricity substations) public transport interchange and car parking.,local-authority-eng:BDF,,2006-06-02,,permissioned,outline planning permission,POINT(-0.469038 52.088883),99/01645/OUT,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
RAF Cardington and adjoining land Shortstown,yes,,2017-09-30,,45.76,250,250,Redevelopment of redundant former RAF station and adjoining land for mixed residential commercial community and open space purposes including erection of new school and realignment of A600 (250 units still to be completed).,local-authority-eng:BDF,,2005-09-14,,permissioned,outline planning permission,POINT(-0.426353 52.113092),02/01920/OUT,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Telecom House 25 to 27 St John's Street Bedford,yes,,2017-09-30,,0.24,44,44,Conversion and change of use of offices to form flats (44 residential units still to be completed).,local-authority-eng:BDF,,2017-03-16,,permissioned,full planning permission,POINT(-0.466061 52.131427),05/00598/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
H3 rear of Austin Canons Bedford Road Kempston,yes,,2017-09-30,,0.51,24,24,Erection of 24 terraced and semi-detached dwellings.,local-authority-eng:BDF,,2011-02-01,,permissioned,full planning permission,POINT(-0.481752 52.126712),10/02130/EXT,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Brittannia Iron Works Kempston Road Phase E Bedford,yes,,2017-09-30,,3.73,126,126,Erection of 206 residential units forming apartments mezzanine and family 2 3 and 4 bedroom units (126 units still to be completed).,local-authority-eng:BDF,not owned by a public authority,2013-12-20,,permissioned,full planning permission,POINT(-0.475962 52.128993),11/02691/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
1 to 3 Union Street Bedford,yes,,2017-09-30,,0.06,6,6,Change of use and conversion of commercial offices (B1) to residential (C3) to create 6 residential apartments.,local-authority-eng:BDF,not owned by a public authority,2013-07-04,,permissioned,full planning permission,POINT(-0.474651 52.140008),13/00501/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Land at RAF Cardington Phase 2A The Highway Shortstown,yes,,2017-09-30,,4.01,44,44,Phase 2A erection of 93 dwellings 6xB1 office units access roads parking open space public art landscaping and associated works pursuant to outline permission 02/01920/OUT (44 units still to be completed).,local-authority-eng:BDF,,2013-09-12,,permissioned,reserved matters approval,POINT(-0.427371 52.113627),13/00612/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Land at RAF Cardington Phase 2B The Highway Shortstown,yes,,2017-09-30,,4.55,45,45,Phase 2B erection of 128 dwellings access parking open space including pay areas landscaping and associated works pursuant to outline permission 02/01920/OUT (45 units still to be completed).,local-authority-eng:BDF,,2014-01-24,,permissioned,reserved matters approval,POINT(-0.427458 52.11076),13/00829/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Land at RAF Cardington Phase 2C The Highway Shortstown,yes,,2017-09-30,,5.43,94,94,Phase 2C erection of 171 dwellings parking open space landscaping and associated works pursuant to outline permission 01/01920/OUT (94 units still to be completed).,local-authority-eng:BDF,,2014-01-24,,permissioned,reserved matters approval,POINT(-0.425452 52.110886),13/01054/MAR,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Land at junction of Alexandra Road and Midland Road Bedford,yes,,2017-09-30,,0.07,12,12,Erection of 12 flats.,local-authority-eng:BDF,not owned by a public authority,2014-03-27,,permissioned,full planning permission,POINT(-0.474282 52.135822),13/01166/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Newnorth Print College Street Kempston,yes,,2017-09-30,,0.51,30,30,Demolition of existing buildings and erection of up to 30 dwellings.,local-authority-eng:BDF,not owned by a public authority,2015-02-10,,permissioned,outline planning permission,POINT(-0.47947 52.120352),13/01878/MAO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
Former De Montford University site Lansdowne Road Bedford,yes,,2017-09-30,,1.84,152,152,Demolition of existing buildings and erection of 152 dwellings,local-authority-eng:BDF,not owned by a public authority,2015-01-30,,permissioned,full planning permission,POINT(-6.882196 50.022599),13/02417/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
North End Farm 187 Bedford Road Wilstead,yes,,2017-09-30,,0.91,39,39,39 dwellings within the Wixams new settlement.,local-authority-eng:BDF,not owned by a public authority,2016-02-15,,permissioned,outline planning permission,POINT(-0.465565 52.093126),14/00700/MAO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
24 Lovell Road Oakley,yes,,2017-09-30,,0.84,14,14,Includes demolition of 1 existing dwelling.. Demolition of existing buildings. Replacement office building and the erection of 15 dwelling houses.,local-authority-eng:BDF,not owned by a public authority,2015-07-01,,permissioned,outline planning permission,POINT(-0.514925 52.166758),14/01288/MAO,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
16 Bunyan Road Kempston,yes,,2017-09-30,,0.03,7,7,Demolition of existing building and erection of new building comprising 7 flats.,local-authority-eng:BDF,not owned by a public authority,2015-08-20,,permissioned,full planning permission,POINT(-0.494311 52.11816),14/02613/FUL,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
139 to 145 Tavistock Street Bedford,yes,,2017-09-30,,0.09,13,13,Note that permission is due to expire 19/01/18.. Demolition of buildings for the redevelopment of site for 13 new residential dwellings.,local-authority-eng:BDF,not owned by a public authority,2015-01-19,,permissioned,full planning permission,POINT(-6.881853 50.022659),14/02684/MAF,http://bedford-borough.maps.arcgis.com/apps/webappviewer/index.html?id=6979ef7d6dfa46199cd16490135fa791,2017-09-30
