name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
S00023,"Site of Richardsons Cutlery Works, 60 Russell Street, Cotton Street and Alma Street, Sheffield S3 8RW",yes,,2018-12-18,,0.84,98,98,Estimated to comprise of 62 Apartments and 36 Houses,local-authority-eng:SHF,not owned by a public authority,2015-03-19,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NGAZHANYFY000,permissioned,full planning permission,POINT(-1.47102 53.388162),S00023,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S00023
S00108,"Site of Vernons the Bakers and Bankside Works, Archer Road, Sheffield S8 0JT",,,2018-12-18,,0.47,33,33,Estimated to comprise of 33 Apartments,local-authority-eng:SHF,not owned by a public authority,2006-10-17,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J34EZJNYN9000,permissioned,full planning permission,POINT(-1.486797 53.349465),S00108,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S00108
S02156,"Site of 1-7 Allen Street, 7, 9, 11, 13 and 15 Smithfield and Snow Lane, Sheffield",,,2018-12-18,,0.43,36,36,Estimated to comprise of 20 Apartments and 16 Houses,local-authority-eng:SHF,not owned by a public authority,2013-07-03,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MDQY7YNYFY000,permissioned,full planning permission,POINT(-1.474414 53.386505),S02156,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S02156
S01801,The Howard,yes,,2018-12-18,,0.03,7,7,Estimated to comprise of 7 Apartments,local-authority-eng:SHF,not owned by a public authority,2011-06-10,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LJW6Z3NY0IS00,permissioned,full planning permission,POINT(-1.465021 53.378212),S01801,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S01801
S02345,Partco Autoparts Markham Works 20 Broadfield Road Sheffield S8 0XJ,yes,,2018-12-18,,0.21,7,7,Estimated to comprise of 7 Houses,local-authority-eng:SHF,not owned by a public authority,2014-07-18,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MW9GNNNYFY000,permissioned,full planning permission,POINT(-1.474262 53.362566),S02345,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S02345
S00009,"Land at Young Street and St Marys Gate, Sheffield",,,2018-12-18,,0.18,281,281,Estimated to comprise of 240 Apartments and 41 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2009-09-22,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KMI89YNY09T00,permissioned,full planning permission,POINT(-1.477773 53.373863),S00009,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S00009
S00215,Land adjoining 434-652 Grimesthorpe Road,,,2018-12-18,,1.05,33,33,Estimated to comprise of 33 Houses,local-authority-eng:SHF,not owned by a public authority,2010-03-18,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JZBIWUNY09I00,permissioned,full planning permission,POINT(-1.44864 53.401962),S00215,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S00215
S00202,"Scarsdale House, 136 Derbyshire Lane, Woodseats",,,2018-12-18,,0.19,22,22,Estimated to comprise of 14 Apartments and 8 Houses,local-authority-eng:SHF,not owned by a public authority,2008-06-17,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JEZMBUNYSF000,permissioned,full planning permission,POINT(-1.477343 53.348027),S00202,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05,/brownfield-land/local-authority-eng/SHF/S00202
S03352,Old County Court House 56 Bank Street Sheffield S1 2DS,yes,,2018-12-18,,0.06,21,21,Estimated to comprise of 21 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2018-08-09,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P6WX8MNYLRW00,permissioned,full planning permission,POINT(-1.468037 53.384614),S03352,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2018-12-18,/brownfield-land/local-authority-eng/SHF/S03352
S03346,Site Of 19 Haywood Lane And 8 Ash Lane Sheffield S36 2QE,yes,,2018-12-18,,0.08,7,7,Estimated to comprise of 7 Houses,local-authority-eng:SHF,not owned by a public authority,2016-10-12,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3B8G6NYFY000,permissioned,full planning permission,POINT(-1.579461 53.47987),S03346,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2018-12-18,/brownfield-land/local-authority-eng/SHF/S03346
