site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Union Street West Car Park, Union Street, Farnborough",,,2018-12-10,,0.25,40,36,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.758112 51.295747),SHELAA ID: 8,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--8
"Union Street East Car Park, Union Street, Farnborough",,,2018-12-10,,0.08,8,7,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.754257 51.295626),SHELAA ID: 9,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--9
"Farnborough Civic Quarter, Farnborough",yes,,2018-12-10,,5.96,700,630,Decision pending on an outline application for the erection of up to 174 units across 8 storeys at the former Police Station site (ref: 18/00367/OUTPP),local-authority-eng:RUH,mixed ownership,,,pending decision,,POINT(-0.756948 51.289449),SHELAA ID: 15,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--15
"Willow House, 23 Grosvenor Road, Aldershot",,,2018-12-10,,0.06,23,21,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.766873 51.248701),SHELAA ID: 102,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--102
"Progress House and Penmark House, Albert Road, Aldershot",,,2017-12-11,,0.07,50,45,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.758689 51.247194),SHELAA ID: 110,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--110
"Former Laundry, 53 Rectory Road, Farnborough",,,2017-12-11,,0.14,5,4,,local-authority-eng:RUH,,,,not permissioned,,POINT(-0.744322 51.294935),SHELAA ID: 284,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--284
"69 Gordon Road, Aldershot",yes,,2018-12-10,,0.06,9,9,Planning permission: 18/00400/FULPP. Erection of roof extension and alterations to existing building to facilitate conversion to provide 6 two-bedroom and 3 one-bedroom flats,local-authority-eng:RUH,not owned by a public authority,2018-07-13,,permissioned,full planning permission,POINT(-0.763784 51.245809),SHELAA ID: 304,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--304
"Car Park next to Scout Hall, Fleet Road, Farnborough",,,2018-12-10,,0.1,5,4,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.778693 51.295227),SHELAA ID: 320,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--320
"16 Union Street, Aldershot",,,2018-12-10,,0.01,6,5,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.766668 51.249382),SHELAA ID: 409,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--409
"The Crescent, Southwood Business Park, Summit Avenue, Farnborough",yes,,2018-12-10,,4.26,150,135,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.78435 51.292831),SHELAA ID: 516,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--516
