site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"The Mount, 4 North Avenue",yes,,2017-12-06,,0.32,14,14,09/00496/FUL Demolition of existing dwelling and outbuildings and redevelopment of site with 14 flats with associated car parking improvement to access and new pedestrian access - Refused. 10/00015/WREP allowed.,local-authority-eng:DEB,not owned by a public authority,2010-10-11,https://planning.derbyshiredales.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=KO0GANFU02L00,permissioned,full planning permission,POINT(-1.733095 53.019714),SHLAA7,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA7_-_The_Mount.pdf,2017-12-06
"Land at Cawdor Quarry, Former Permanite Works",yes,,2018-12-06,,16.88,482,482,"Allocated in the Local Plan Policies HC2 (t), HC2 (y) and DS9.. Housing land allocation in the Local Plan HC2 (t) and HC2 (y), strategic site allocation DS9. 13/00157/EXF extension of time limit, revision to approved masterplan 432 units - approved (Excludes the HC2y allocation). 16/00923/OUT revised scheme development of 482 dwellings, 2800m2 commercial floorspace(Class B1) shop and cafe (includes the HC2y allocation) - pending decision. Phase one of the development 17/00294/FUL for 75 dwellings approved.",local-authority-eng:DEB,not owned by a public authority,,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IR6DEIFUT0000,pending decision,,POINT(-1.550833 53.137454),SHLAA49/384,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_Land_at_Cawdor_Quarry__Former_Permanite_Works.pdf,2017-12-06
Riber Castle,yes,,2017-12-06,,2.9,35,35,"04/07/0609/CI Refurbishment and conversion of castle and outbuildings to form 35 dwellings, erection of 11 new dwellings to include a rebuilt gatehouse and associated access.",local-authority-eng:DEB,not owned by a public authority,2006-03-16,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000N1XFULI000,permissioned,full planning permission,POINT(-1.540988 53.126654),SHLAA52,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA52_-_Riber_Castle.pdf,2017-12-06
"Tansley Wood Mills, Lumsdale Road",yes,,2017-12-06,,3.52,42,42,"08/00261/FUL Redevelopment of site to include conversion of former textile mill building to create 17 no. residential units, erection of 19 no. new build residential units, erection of 8 no. new build commercial units, 4 no. office units including 6 no. loft apartments, conversion of existing garneting sheds into 4 no. live/craftwork units, erection of 3 no. new build live/craftwork units and 1 no. stand alone craft unit. Conversion of old forge building into cafe/bar/restaurant with B & B accommodation. Demolition of remaining structures, site decontamination works, restoration of watercourses and associated access alterations.",local-authority-eng:DEB,not owned by a public authority,2013-03-27,https://planning.derbyshiredales.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JYNIPIFU02L00,permissioned,full planning permission,POINT(-1.53197 53.136632),SHLAA80,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA80_-_Tansley_Wood_Mills.pdf,2017-12-06
"Chequers Farm, Millers Green",yes,,2018-12-06,,0.27,10,10,"08/00286/FUL Redevelopment of site to provide 5 no. detached dwellings, 5 no. residential apartments, associated access and landscaping.11/00229/EXF extension of time limit approved.",local-authority-eng:DEB,not owned by a public authority,2011-05-18,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=J6WXTDFUT0000,permissioned,full planning permission,POINT(-1.577271 53.073163),SHLAA83,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA83_-_Chequers_Farm.pdf,2017-12-06
Trevelyan House,yes,,2017-12-06,,0.98,11,11,17/00852/FUL Proposed residential development of 11 dwellings.,local-authority-eng:DEB,not owned by a public authority,2017-11-13,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000KW4FULI000,permissioned,full planning permission,POINT(-1.560219 53.141519),SHLAA141,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA141_-_Trevelyan_House.pdf,2017-12-06
Harveydale Quarry,yes,,2018-12-06,,1.16,17,17,17/00934/OUT for residential development of up to 17 dwellinsg with access (outline).,local-authority-eng:DEB,not owned by a public authority,2018-01-26,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=M7Q31PFU04000,permissioned,outline planning permission,POINT(-1.556868 53.133163),SHLAA199,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA199_-_Harveydale_Quarry.pdf,2017-12-06
"Former Mirage Hotel, Derby Road",yes,,2017-12-06,,0.41,20,20,"Allocated in the Local Plan, Policy HC2(b).. Housing land allocation in the Local Plan Policy HC2 (b).",local-authority-eng:DEB,not owned by a public authority,,,not permissioned,,POINT(-1.71797 53.008199),SHLAA204,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA204_-_Mirage_Hotel.pdf,2017-12-06
Haarlem Mill,yes,,2018-12-06,,3.28,30,30,"15/00395/FUL Permission granted with conditions for Conversion and alterations of mill to office/light industrial use, and errection of 30 dwellings and associated infrastructure and access. 15/000395/DCOND 11,34,36 in full 19/05/17. DCOND 2 in part 19/05/17. 17/00753/FUL creation of link building 13/10/17",local-authority-eng:DEB,not owned by a public authority,2016-07-19,https://planning.derbyshiredales.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000H5KFULI000,permissioned,full planning permission,POINT(-1.576585 53.070124),SHLAA217,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA217_-_Haarlem_Mill.pdf,2017-12-06
"Land at Ashbourne Airfield, Phase 2",yes,,2017-12-06,,58.6,1100,1100,"Allocated in the Local Plan Policies HC2 (d) and DS8 Development at this site will extend beyond 2033, assumed completion of circa 800 dwellings 2017-2033.. Housing land allocation in the Local Plan HC2 (d), strategic site allocation in the Local Plan Policy DS8.",local-authority-eng:DEB,not owned by a public authority,,,not permissioned,,POINT(-1.699701 53.001266),SHLAA266,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA266_-_Ashbourne_Airfield_phase_2.pdf,2017-12-06
