site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"161 Belmont Road, Hereford, Herefordshire, HR2 7JR",yes,,2020-06-09,,,6,6,Proposed demolition of existing bungalow and erection of new building containing 4 x 1 bed and 1 x 2 bed apartments and 1 x 2 bedroom dwelling.,local-authority-eng:HEF,not owned by a public authority,2018-02-28,,permissioned,,,174450,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=174450&search-term=174450,2020-06-09,brownfield-land/local-authority-eng/HEF/174450
"23 Gorsty Lane, Hereford, Herefordshire, HR1 1UL",yes,,2020-06-09,,,5,5,Proposed construction of five dwellings with garages and alterations to existing access.,local-authority-eng:HEF,not owned by a public authority,2018-02-16,,permissioned,,,174221,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=174221&search-term=174221,2020-06-09,brownfield-land/local-authority-eng/HEF/174221
"Land at 2 4 6 8 10 and 14 Eign Mill Road, Hereford, HR1 2RS",yes,,2020-06-09,,,11,11,Demolition of 5 bungalows and erection of 11 affordable dwellings.,local-authority-eng:HEF,not owned by a public authority,2019-07-04,,permissioned,,,183891,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=183891&search-term=183891,2020-06-09,brownfield-land/local-authority-eng/HEF/183891
"Land at The Hop Kilns, Cold Green Farm, Bosbury, Ledbury, Herefordshire",yes,,2020-06-09,,,5,5,Proposed conversion of redundant hop kilns to form 5 new units of self contained accommodation.,local-authority-eng:HEF,not owned by a public authority,2018-01-18,,permissioned,,,172143,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=172143&search-term=172143,2020-06-09,brownfield-land/local-authority-eng/HEF/172143
"North Farm, Birchwood Farm Road, Bosbury, Herefordshire, HR8 1JY",yes,,2020-06-09,,,6,6,"Demolition of steel frame buildings, conversion of existing brick and timber clad farm buildings and construction of new single storey units to provide accommodation for ex-service personnel with communal and visitor rooms.",local-authority-eng:HEF,not owned by a public authority,2017-11-01,,permissioned,,,172544,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=172544&search-term=172544,2020-06-09,brownfield-land/local-authority-eng/HEF/172544
"Dev 1 Land At Former Bottling Plant Proposed Erection Of 63 Bed Nursing Home, arden, Walwyn Road, Colwall, Herefordshire",yes,,2020-06-09,,,31,31,"Proposed erection of three storey building accommodating 26 retirement flats. The erection of a terrace of five dwellings with 11 car parking spaces and the erection of a single storey outbuilding accommodating refuse, cycle and garden maintenance storage.",local-authority-eng:HEF,not owned by a public authority,2018-12-10,,permissioned,,,181274,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=181274&search-term=181274,2020-06-09,brownfield-land/local-authority-eng/HEF/181274
"Dev 1 Land At Chevenham Close Proposed Demolition And Redevelopment Of Nos 1 To 34, Chevenham Close, Colwall, Herefordshire",yes,,2020-06-09,,,18,18,Proposed variation of condition 2 of planning permission 183826 (Proposed demolition of 1-34 Chevenham Close. Proposed 18 dwellings and apartments with associated car parking and site infrastructure) to amend the housing tenure mix.,local-authority-eng:HEF,not owned by a public authority,2019-08-21,,permissioned,,,192397,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=192397&search-term=192397,2020-06-09,brownfield-land/local-authority-eng/HEF/192397
"Land at Aldene, A40 Lea From B4224 To Gloucestershire Boundary, Lea",yes,,2020-06-09,,,5,5,Proposed erection of 5 dwellings,local-authority-eng:HEF,not owned by a public authority,2019-09-10,,permissioned,,,191373,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=191373&search-term=191373,2020-06-09,brownfield-land/local-authority-eng/HEF/191373
"45A to 47 West Street, Leominster, Herefordshire, HR6 8EP",yes,,2020-06-09,,,7,7,Redevelopment of existing site for a mixed use of residential and commercial,local-authority-eng:HEF,not owned by a public authority,2017-06-23,,permissioned,,,164109,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164109&search-term=164109,2020-06-09,brownfield-land/local-authority-eng/HEF/164109
"Land at Day One, Ryelands Road, Leominster, Herefordshire",yes,,2020-06-09,,,14,14,Proposed demolition of Day One Publications and the erection of 14 residential apartments with private parking and associated ground works.,local-authority-eng:HEF,not owned by a public authority,2018-03-22,,permissioned,,,150516,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150516&search-term=150516,2020-06-09,brownfield-land/local-authority-eng/HEF/150516
