site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Adj Mill Hill Phase 2, Mill Hill, Cleator Moor",yes,,2017-12-22,,0.58,10,10,Reserved Matters Application For Phase 2 (10 Dwellings) Including Associated Infrastructure,local-authority-eng:COP,not owned by a public authority,2013-10-09,,permissioned,full planning permission,POINT(-3.532051 54.530612),CBR001,https://www.copeland.gov.uk/attachments/cbr001-adj-mill-hill-phase-2,2017-12-22,brownfield-land/local-authority-eng/COP/CBR001
"Colliers Way, Whitehaven.",yes,,2017-12-22,,0.47,74,74,"Erection Of 74 Dwellings, Comprising 31 Self Build Plots 21 Dwellings For Sale 22 Dwellings For Rent Or Shared Ownership",local-authority-eng:COP,not owned by a public authority,2010-10-20,,permissioned,full planning permission,POINT(-3.59925 54.535458),CBR002,https://www.copeland.gov.uk/attachments/cbr002-colliers-way-whitehaven,2017-12-22,brownfield-land/local-authority-eng/COP/CBR002
County Highways Depot Holborn Hill,yes,,2017-12-22,,0.35,10,10,Outline Application for The Erection Of 8 Detached Dwellings And One Detached Garage,local-authority-eng:COP,not owned by a public authority,2014-09-10,,permissioned,reserved matters approval,POINT(-3.276897 54.21236),CBR003,https://www.copeland.gov.uk/attachments/cbr003-former-county-highways-depot,2017-12-22,brownfield-land/local-authority-eng/COP/CBR003
Former Ashburners Compound Millom Road,yes,,2017-12-22,,0.16,10,9,Demolition Of Existing Commercial Building & Erection Of Nine Dwellings (Resubmission Of 4/08/2146/0),local-authority-eng:COP,not owned by a public authority,2012-02-09,,permissioned,full planning permission,POINT(-3.264386 54.211917),CBR004,https://www.copeland.gov.uk/attachments/cbr004-former-ashburners-compound,2017-12-22,brownfield-land/local-authority-eng/COP/CBR004
Former Cinema Buildings Bookwell Street,,,2017-12-22,,0.14,8,8,Reserved Matters For Full Development Details (8 Dwellings),local-authority-eng:COP,not owned by a public authority,,,pending decision,,POINT(-3.530048 54.480781),CBR005,https://www.copeland.gov.uk/attachments/cbr005-former-cinema-egremont,2017-12-22,brownfield-land/local-authority-eng/COP/CBR005
Former Lakeland Laundry,yes,,2017-12-22,,1.31,34,28,48 Dwellings,local-authority-eng:COP,not owned by a public authority,2007-02-07,,permissioned,full planning permission,POINT(-3.58712 54.535941),CBR006,https://www.copeland.gov.uk/attachments/cbr006-former-lakeland-laundary,2017-12-22,brownfield-land/local-authority-eng/COP/CBR006
Former Nightclub Meadow Road,yes,,2017-12-22,,0.24,12,10,Outline Application for Four Individual Residential Building Plots,local-authority-eng:COP,not owned by a public authority,2014-05-01,,permissioned,outline planning permission,POINT(-3.581813 54.532218),CBR007,https://www.copeland.gov.uk/attachments/cbr007-former-nightclub-meadow-road-whitehaven,2017-12-22,brownfield-land/local-authority-eng/COP/CBR007
Former Outbuildings Seacote Hotel,yes,,2017-12-22,,0.46,8,8,"Improved Vehicle Access & Proposed Alterations To Car Park, Plus Construction Of 8 New Houses",local-authority-eng:COP,not owned by a public authority,2013-09-23,,permissioned,full planning permission,POINT(-3.602662 54.49041),CBR008,https://www.copeland.gov.uk/attachments/cbr008-former-outbuildings-seacote-hotel,2017-12-22,brownfield-land/local-authority-eng/COP/CBR008
Former Sekers Factory Main Street,yes,,2017-12-22,,1.28,35,25,,local-authority-eng:COP,not owned by a public authority,2017-03-31,,permissioned,full planning permission,POINT(-3.560663 54.539306),CBR009,https://www.copeland.gov.uk/attachments/cbr009-former-sekers-factory-site,2017-12-22,brownfield-land/local-authority-eng/COP/CBR009
"Land at East Road, Egremont",,,2018-01-31,,0.46,40,25,ERECTION OF 28 NO. APARTMENTS OVER 3.5 STOREYS AND 13 NO. DWELLINGS OVER 2.5 STOREYS WITH ASSOCIATED LANDSCAPING AND CAR PARKING,local-authority-eng:COP,not owned by a public authority,,,pending decision,,POINT(-3.528062 54.486307),CBR010,https://www.copeland.gov.uk/attachments/cbr010-land-east-road-egremont,2018-01-31,brownfield-land/local-authority-eng/COP/CBR010
Land rear to Rusper Drive,yes,,2017-12-22,,1.55,26,26,Outline Application For The Erection Of 26 Dwellings,local-authority-eng:COP,not owned by a public authority,2017-08-15,,permissioned,outline planning permission,POINT(-3.544758 54.514766),CBR011,https://www.copeland.gov.uk/attachments/cbr011-land-rear-rusper-drive-moor-row,2017-12-22,brownfield-land/local-authority-eng/COP/CBR011
"Old Welfare Home, Whitehaven",yes,,2017-12-22,,3.38,110,95,Residential Development (107 Dwellings),local-authority-eng:COP,not owned by a public authority,2015-04-20,,permissioned,full planning permission,POINT(-3.585176 54.531644),CBR012,https://www.copeland.gov.uk/attachments/cbr012-old-welfare-home-whitehaven,2017-12-22,brownfield-land/local-authority-eng/COP/CBR012
"Poolside, Haverigg",yes,,2017-12-22,,3,85,75,"Application To Replace An Extant Permission In Order To Extend The Time Limit For Implementation - Application No. 4/07/2735, New Housing Development",local-authority-eng:COP,not owned by a public authority,2010-11-11,,permissioned,full planning permission,POINT(-3.285679 54.197401),CBR013,https://www.copeland.gov.uk/attachments/cbr013-poolside-haverigg,2017-12-22,brownfield-land/local-authority-eng/COP/CBR013
