site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Oadby Swimming Pool Site, Leicester Road, Oadby",yes,,2017-12-01,,0.26,32,32,Residential development has been deemed appropriate,local-authority-eng:OAD,owned by a public authority,,,not permissioned,,POINT(-1.086378 52.601328),OWBCBFL/001,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-001
"53-59 Queens Drive, Wigston",yes,,2017-12-01,,0.09,15,15,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,POINT(-1.117732 52.5855),OWBCBFL/002,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-002
"Land At Bennett Way, South Wigston",yes,,2017-12-01,,0.13,8,8,Residential development has been deemed appropriate,local-authority-eng:OAD,owned by a public authority,,,not permissioned,,POINT(-1.128604 52.58212),OWBCBFL/003,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-003
"29-31 Canal Street, Wigston, LE18 4PL",yes,,2017-04-06,,0.0021,5,5,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,POINT(-1.131548 52.578761),OWBCBFL/005,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-005
"8-10 Long Street, Wigston",yes,,2017-12-01,,0.09,27,27,Application granted for 27 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2016-09-30,,permissioned,full planning permission,POINT(-1.109126 52.583395),OWBCBFL/006,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-006
"271 Leicester Road, Wigston",yes,,2017-12-01,,0.06,6,6,Application granted for 6 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2016-10-06,,permissioned,full planning permission,POINT(-1.110317 52.59528),OWBCBFL/007,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-007
"39 Long Street, Wigston",yes,,2017-12-01,,0.24,18,18,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,POINT(-1.107853 52.583583),OWBCBFL/008,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-008
"Arriva Bus Depot, Station Street, South Wigston",yes,,2017-12-01,,1.11,43,43,Residential development has been deemed appropriate,local-authority-eng:OAD,not owned by a public authority,,,not permissioned,,POINT(-1.130078 52.581465),OWBCBFL/009,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-009
"Lyn House, 37-41 The Parade, Oadby",yes,,2017-12-01,,0.0,18,18,Application granted for 18 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2015-07-21,,permissioned,other,POINT(-1.083467 52.60002),OWBCBFL/011,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-011
"41-43 Canal Street, South Wigston",yes,,2017-12-01,,0.04,12,12,Application granted for 12 additional dwellings,local-authority-eng:OAD,not owned by a public authority,2015-09-29,,permissioned,full planning permission,POINT(-1.132188 52.577723),OWBCBFL/014,https://www.oadby-wigston.gov.uk/files/documents/brownfield_land_register_site_plans_2018_2019/Brownfield%20Land%20Register%20Site%20Plans%202018-2019.pdf,2017-04-06,brownfield-land/local-authority-eng/OAD/OWBCBFL-014
