name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
CD0008,"''Chesham Car and Van Sales, Bellingdon Road''",,,2018-12-10,,0.1,5,3,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.615843 51.713903),CD0008,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0008
CD0031,"''Wicks Garage, Rignall Road''",,,2018-12-10,,0.17,10,5,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.713428 51.707625),CD0031,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0031
CD0109,"''Coach Depot and Adjacent Land, Lycrome Road, Lye Green''",yes,,2018-12-10,,0.52,13,12,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.587762 51.720914),CD0109,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0109
CD0128,"''Chalfont St Peter Youth Centre, Tithe Barn, Sandy Rise''",,,2018-12-10,,0.24,8,7,Any future development proposals should ensure that leisure and community facilities are reprovided.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.554498 51.607887),CD0128,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0128
CD0129,"''Epilepsy Society Site (Middle Site), Chesham Lane''",yes,,2018-12-10,,2.94,25,15,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.549708 51.620903),CD0129,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0129
CD0130,"''Epilepsy Society Site (Debenham House and Land to Rear), Chalfont St Peter''",yes,,2018-12-10,,4.61,15,12,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.551338 51.625035),CD0130,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0130
CD0131,"''Gold Hill Baptist Church, Gold Hill East, Chalfont St Peter''",yes,,2018-12-10,,0.23,13,13,"Redevelopment of site to create thirteen dwellings comprising change of use of church (Use Class D1) to form 6 apartments (Use Class C3) incorporating alteration to roof, erection of 4 new dwellings, refurbishment of existing dwelling and two flats, and associated landscaping and parking",local-authority-eng:CHN,not owned by a public authority,2018-05-02,,permissioned,full planning permission,POINT(-0.564296 51.602503),CD0131,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0131
CD0145,"''Land at Springfield Industrial Estate, Springfield Road''",yes,,2018-12-10,,1.81,55,55,"Outline application for up to 55 residential units with associated access infrastructure and landscaping, refurbishment and retention of existing commercial units (Matters of access only to be considered at this stage)",local-authority-eng:CHN,not owned by a public authority,2107-10-19,,permissioned,outline planning permission,POINT(-0.605439 51.700844),CD0145,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0145
CD0152,"''Area around Chalfont and Latimer Station, Little Chalfont''",,,2018-12-10,,0.62,31,25,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.561355 51.6679),CD0152,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0152
CD0153,"''68 to 78 Elizabeth Avenue, Little Chalfont''",yes,,2018-12-10,,0.26,7,7,Redevelopment of site to provide a terrace of four dwellings and a three storey building comprising two retail units and six flats with associated vehicular accesses and parking,local-authority-eng:CHN,not owned by a public authority,2015-07-15,,permissioned,full planning permission,POINT(-0.567174 51.67175),CD0153,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,/brownfield-land/local-authority-eng/CHN/CD0153
