site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Short Street Community Infants School,yes,,2018-09-30,,0.53,21,21,Site included in the Housing Permissions - Not yet commenced - Suitable Brownfield Site taken from the SHLAA (SHLAA 26). Demolition of school buildings and erection of 21 affordable dwellings including details of access,local-authority-eng:EST,owned by a public authority,2018-08-03,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.629437 52.787579),ESBC-BR1,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR1
Coors Middle Yard,yes,,2017-09-29,,9.08,272,272,Suitable Brownfield Site taken from the SHLAA (SHLAA 71) and also Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.630465 52.809849),ESBC-BR2,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR2
Coors High Street,yes,,2017-09-29,,2.91,212,212,Site Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.627397 52.804257),ESBC-BR3,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR3
Bargates,yes,,2018-09-30,,2.64,140,140,"Site Allocated in the Adopted Local Plan 2012-2031 - Application submitted December 2017, awaiitng determination. Erection of 140 dwellings comprising 72 sheltered apartments, 24 private apartments and 44 houses",local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,full planning permission,POINT(-1.625899 52.80605),ESBC-BR4,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR4
Branston Depot,,,2017-09-29,,19.27,483,483,Site Allocated in the Adopted Local Plan 2012-2031 - Resolution to approve 27/08/2013 subject to S106 legal agreement. Outline planning application for up to 483 dwellings (excluding conversion),local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,POINT(-1.65443 52.790324),ESBC-BR5,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR5
Derby Road Burton,yes,,2017-09-29,,8.09,250,250,Site Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.630615 52.816628),ESBC-BR6,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR6
JCB Pinfold Street,yes,,2018-09-30,,1.94,148,148,"Site Allocated in the Adopted Local Plan 2012-2031 - Residential Part of the Site Not Started, Retail Part complete (Outline Planning permission granted 09/08/2013, since expired, New Outline submitted 06.11.2017). Outline application for the erection of up to 148 dwellings",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,POINT(-1.865325 52.896205),ESBC-BR7,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR7
Brookside Business Park,,,2017-09-29,,4.4,90,90,Site Allocated in the Adopted Local Plan 2012-2031 - Resolution to Approve – 22/09/2015 subject to S106 legal agreement. Outline application for a mixed use development for up to 90 residential dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,POINT(-1.857961 52.898156),ESBC-BR8,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR8
Churnet Farm Rocester,yes,,2017-09-29,,0.52,90,90,Site Allocated in the Adopted Local Plan 2012-2031 (only part of the allocated site is Brownfield so the site area has been amended to reflect this) - Applications totalling 90 units submitted in May 2017 to the LPA.. Erection of 70 new dwellings and demolition of all existing buildings and erection of 20 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.84243 52.950679),ESBC-BR9,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR9
Former Alumasc Grundy Ltd Hawkins Lane,yes,,2018-09-30,,4.1,203,203,"Site historically a SHLAA site, removed as was being retained for employment use (i.e.: Tesco Store). Residential application for 203 units approved 18/06/2018 - not yet commenced. Erection of 203 dwellings, comprising 87no. affordable dwellings,",local-authority-eng:EST,not owned by a public authority,2018-06-18,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.633345 52.811431),ESBC-BR10,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR10
Land to the rear of 2 Harbury Street,yes,,2017-09-29,,0.37,14,14,Site historically a SHLAA site - Resolution to Approve – 17/01/2017 subject to S106 legal agreement. Outline application for the erection of up to 14 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,POINT(-1.652351 52.820505),ESBC-BR11,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR11
Imex Business Park,yes,,2018-09-30,,2.21,66,66,Site historically a SHLAA site - Site now being demolished,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.646053 52.804764),ESBC-BR12,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR12
Mead Works 137-139 Horninglow Street,yes,,2018-09-30,,0.26,8,8,"Site now included in the Housing Permissions - Not yet commenced. Site historically a SHLAA site - Site vacant, Extention to time limit application for dwellings never implemented (Full Application approved 19/01/2010 - PA/00560/068/CLF). Demolition of No.'s 137-139 Horninglow Street and the warehouse building to the north end of the site to facilitate the erection of 10 townhouses and 4 flats, formation of vehicular access with associated car parking, hard and soft landscaping and boundar",local-authority-eng:EST,not owned by a public authority,2018-07-16,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.631766 52.808559),ESBC-BR13,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR13
Goat Maltings,,,2017-09-29,,0.19,60,60,"Site historically a SHLAA site - Site vacant (PA/07932/027 - 2006 Application for the conversion of the Goat Maltings to 60 apartments , never implemented). Conversion of the Goat Maltings building to form 60 apartments",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.643232 52.799658),ESBC-BR14,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR14
Burton Beer Mats,,,2017-09-29,,0.28,8,8,Site historically a SHLAA site - Site vacant,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.642164 52.803323),ESBC-BR15,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR15
