site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Whitehorse Lane, Boston",yes,,2018-12-11,,0.48,50,50,"Planning permission for the development of 60 dwellings (B/17/0121). The site is identified as a housing allocation capable of providing 50 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Cen001.. 1. Erection of two apartment blocks, one fronting John Adams Way and the other fronting White Horse Lane, Boston 2. Erection of one dwelling attached to the north gable of 82 High Street, Boston 3. Conversion of Haven Wharf warehouse to provide 21 flats 4. Relevant demolition in a conservation area including the demolition of outbuilding to the rear of 78 High Street Boston, an industrial building attached to the south elevation of Haven Wharf Warehouse and buildings nos 1, 2 and 3",local-authority-eng:BOT,not owned by a public authority,2018-06-06,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/17/0121,permissioned,full planning permission,POINT(-0.024064 52.974125),BLR/BOS/001,http://www.boston.gov.uk/CHttpHandler.ashx?id=22152&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-001
"138-142 High Street, Boston",yes,,2018-12-11,,0.19,17,17,"9 dwellings completed, 8 outstanding. Residential development for 17 houses",local-authority-eng:BOT,not owned by a public authority,2003-09-18,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/03/0358,permissioned,full planning permission,POINT(-0.024521 52.971615),BLR/BOS/002,http://www.boston.gov.uk/CHttpHandler.ashx?id=22153&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-002
"Land to the north of Langrick Road, Boston",yes,,2018-12-11,,1.16,35,35,"The site is identified as a housing allocation capable of providing 35 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Fen002.. Outline planning permission with some matters reserved (Appearance, Landscaping, Layout, and Scale) for later approval for up to 46 no. residential dwellings and access",local-authority-eng:BOT,not owned by a public authority,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0435,pending decision,outline planning permission,POINT(-0.046633 52.982599),BLR/BOS/003,http://www.boston.gov.uk/CHttpHandler.ashx?id=22154&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-003
"Land adjacent to 155 Swineshead Road, Frampton Holme, Boston",yes,,2018-12-11,,0.34,8,8,"7 dwellings completed, 1 outstanding. Erection of 7 no. houses, 1 no. bungalow and new vehicular accesses",local-authority-eng:BOT,not owned by a public authority,2007-07-04,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/07/0282,permissioned,full planning permission,POINT(-0.075209 52.967781),BLR/BOS/005,http://www.boston.gov.uk/CHttpHandler.ashx?id=22156&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-005
"Land to the north of Main Ridge East, Boston",yes,,2018-12-11,,0.25,14,8,An outline planning application B/09/0074 for residential development (maximum 14 dwellings) plus means of access has lapsed. The South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) indicates the redevelopment of the site would not harm the character of the area or natural or heritage assets. Facilities are available on foot or bicycle owing to being centrally located. ref no: Pil005,local-authority-eng:BOT,not owned by a public authority,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/09/0074,not permissioned,,POINT(-0.016725 52.978606),BLR/BOS/007,http://www.boston.gov.uk/CHttpHandler.ashx?id=22158&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-007
"Boston College De Montfort Campus, Mill Road, Boston",yes,,2018-12-11,,3.63,108,108,"69dwellings completed, 29 under construction, 10 outstanding. Demolition of university campus and erection of 108 dwellings and associated infrastructure",local-authority-eng:BOT,not owned by a public authority,2015-10-27,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0100,permissioned,full planning permission,POINT(-0.007269 52.97175),BLR/BOS/009,http://www.boston.gov.uk/CHttpHandler.ashx?id=22159&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-009
"Land to the north-east of Freiston Road, Boston",yes,,2018-12-11,,0.26,10,8,"The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that great care would need to be taken in producing a layout and design to ensure a satisfactory relationship to neighbouring dwellings. The site's development would require the use of a relatively narrow existing vehicular access, subject to the Highway Authority's approval. SHLAA ref no: Ski003",local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.01269 52.978557),BLR/BOS/010,http://www.boston.gov.uk/CHttpHandler.ashx?id=22160&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-010
"Former Norton Lea (NHS) Site, Cork Tree Crescent, London Road, Boston",yes,,2018-12-11,,2.08,62,60,"A planning application B/15/0009 for the Demolition of existing buildings and outline consent (up to 60 dwellings) with consideration given to access. (Matters relating to appearance, landscaping, layout and scale are reserved for later approval) has lapsed. The Site is also a SHLAA site, Sou007 and is shown as a commitment on the SE Lincolnshire Local Plan. (The application had not lapsed on 31 Match 2017, which is the date housing data is calculated at).",local-authority-eng:BOT,owned by a public authority,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0009,not permissioned,,POINT(-0.028468 52.964093),BLR/BOS/011,http://www.boston.gov.uk/CHttpHandler.ashx?id=22161&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-011
"Magnadata International, Norfolk Street, Boston",yes,,2018-12-11,,1.21,36,36,Planning permission granted subject to the signing of a s106 agreement (B/16/0007). The site is in the South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) ref no: Wit008. Outline application the demolition of industrial building and the development of up to 48no. dwellings with consideration given to access only,local-authority-eng:BOT,not owned by a public authority,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0007,pending decision,outline planning permission,POINT(-0.020716 52.983833),BLR/BOS/012,http://www.boston.gov.uk/CHttpHandler.ashx?id=22162&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-012
"Magnadata International, Horncastle Road, Boston",yes,,2018-12-11,,5.78,173,173,Planning permission granted subject to the signing of a s106 agreement (B/16/0011). South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA)(April 2017) ref nos: Wit006 and Wit007 are within the site. There is also land that is in the site and not in the SHLAA.. Outline application for the demolition of the existing industrial buildings and the redevelopment of the site for up to 173no. dwellings with consideration given to access only,local-authority-eng:BOT,not owned by a public authority,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0011,pending decision,full planning permission,POINT(-0.021798 52.987546),BLR/BOS/013,http://www.boston.gov.uk/CHttpHandler.ashx?id=22163&p=0,2017-11-20,brownfield-land/local-authority-eng/BOT/BLR-BOS-013
