name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BL1,"Land at Ottery Moor Lane, Honiton",yes,,2019-09-19,,1.13,100,100,"This site is an allocation in the Local Plan for housing development, SHLAA322, formerly part of an industrial estate. Reserved matters application for a residential development of 150 dwellings with appearance, landscaping, layout and scale to be assessed (pursuant to outline consent 14/0557/MOUT)",local-authority-eng:EDE,not owned by a public authority,2019-07-31,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=N1QRDEGHFMC00,permissioned,reserved matters approval,POINT(-3.196595 50.798131),BL1,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.196595&lat=50.798131,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL1
BL2,"Land at Ottery Moor Lane, Honiton",yes,,2019-09-19,,3.59,50,50,"This site is an allocation in the Local Plan for housing development, SHLAA 321, formerly part of an industrial estate. Site in 2 parts (see above)",local-authority-eng:EDE,not owned by a public authority,2019-07-31,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=N1QRDEGHFMC00,permissioned,reserved matters approval,POINT(-3.199231 50.799265),BL2,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.199231&lat=50.799265,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL2
BL3,"Land at Pankhurst Close Trading Estate, Pankhurst Close, Exmouth",yes,,2019-09-19,,1.27,50,50,"This site is an allocation in the Local Plan, SHLAA317, formerly in employment use; planning permission renewed June 2019. Construction of 120 dwellings with associated access, landscaping and infrastructure works [this permission incorporates a larger area than the brownfield land in question; around 50 dwgs are planned for the brownfield land]",local-authority-eng:EDE,not owned by a public authority,2019-06-20,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MNWXK8GH0AH00,permissioned,full planning permission,POINT(-3.379149 50.622969),BL3,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.379149&lat=50.622969,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL3
BL5,"Land and buildings at Winslade Park, Clyst St Mary",yes,,2018-04-09,,8,150,150,"This site is an allocation in the Local Plan for mixed use redevelopment, W344 (application not approved). Hybrid outline application for 150 dwellings including full permission for 67 dwellings (conversion of Winslade House and stables) and 0.7ha of employment land use)",local-authority-eng:EDE,not owned by a public authority,,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OEZTU3GHL3A00,pending decision,,POINT(-3.44639 50.703212),BL5,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.44639&lat=50.703212,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL5
BL6,"Land and buildings at 34 Cranford Avenue, Exmouth",yes,,2019-09-19,,0.37,12,12,Currently under construction. Demolition of existing dwelling and construction of 12 apartments,local-authority-eng:EDE,not owned by a public authority,2014-02-18,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MX872KGH0AH00,permissioned,full planning permission,POINT(-3.388332 50.620487),BL6,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.388332&lat=50.620487,2016-05-16,/brownfield-land/local-authority-eng/EDE/BL6
BL7,"Land North Of Acland Park, Feniton",yes,,2018-04-09,,0.56,32,32,Application refused but allowed by appeal in 2014; currently under construction. Redevelopment of site and construction of 32 dwellings,local-authority-eng:EDE,not owned by a public authority,2014-04-07,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=LKYVFQGH3A000,permissioned,full planning permission,POINT(-3.28035 50.789126),BL7,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.28035&lat=50.789126,2016-05-16,/brownfield-land/local-authority-eng/EDE/BL7
BL8,"Land and Buildings at Former Cuttler Hammer Factory and Tumbling Weir Hotel Car Park, Ottery St Mary",yes,,2018-04-09,,1.73,92,92,"Part of a Floodzone 2; townhouses under construction and building work started on car park and the conversion of the old switchgear factory. Redevelopment of parcels of land making up the overall former Cuttler Hammer factory site and Tumbling Weir hotel car park; comprising conversion of building to 30 apartments, construction of 33 new dwellings and 29 retirement apartments",local-authority-eng:EDE,not owned by a public authority,2014-08-19,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MFA5GLGH09100|https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MFA5IFGH09100|https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=O0WK5KGHHP100,permissioned,full planning permission,POINT(-3.283934 50.749288),BL8,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.283934&lat=50.749288,2016-05-17,/brownfield-land/local-authority-eng/EDE/BL8
BL9,"Land and buildings at Salston Manor Hotel, Ottery St Mary",,,2019-09-19,,2.12,19,19,Application withdrawn. Construction of 16 dwellings within the grounds of Salston Manor and erection of two storey and single storey extension to form 3 no new flats - WITHDRAWN,local-authority-eng:EDE,not owned by a public authority,,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MJ53Y2GH09100,not permissioned,,POINT(-3.289625 50.741453),BL9,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.289625&lat=50.741453,2016-05-17,/brownfield-land/local-authority-eng/EDE/BL9
BL10,"Land at Seaton Quay (Former Racal Site), Riverside Way Seaton",yes,,2019-09-19,,1.21,90,90,"Part of a Floodzone 2. Erection of 90 apartments, new access, public quayside and flood protection (renewal of planning permission 08/2627/MOUT)",local-authority-eng:EDE,not owned by a public authority,2016-08-22,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=NO8N1PGH02300,permissioned,reserved matters approval,POINT(-3.059885 50.705171),BL10,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.059885&lat=50.705171,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL10
BL12,"Land At Frys Lane, Sidford",,,2019-09-19,,0.3,12,12,Outline application has now expired; reserved matters app withdrawn. Appeal allowed on outline application for construction of 12 dwellings (now expired); reserved matters application withdrawn Apr 2018,local-authority-eng:EDE,not owned by a public authority,,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OGHBXVGH01C00,not permissioned,,POINT(-3.227314 50.704094),BL12,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.227314&lat=50.704094,2016-09-16,/brownfield-land/local-authority-eng/EDE/BL12
