site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Quinton Road, Wootton",yes,,2018-12-21,,1.159138,19,19,"Part of Former Wootton Sewage Works. Part of the site is within Floodzone 2,3 and 3B.",local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.880874 52.19556),BFR0171,https://www.northampton.gov.uk/download/downloads/id/10720/bfr0171,2018-12-20,brownfield-land/local-authority-eng/NOR/BFR0171
Ransome Road/Nunn Mills Road,yes,,2018-12-21,,11.579971,250,250,Majority of the site is owned by HCA. Close proximity to the town centre adjacent to University of Northampton waterside campus.,local-authority-eng:NOR,mixed ownership,,,not permissioned,,POINT(-0.888943 52.227913),BFR0181,https://www.northampton.gov.uk/download/downloads/id/10716/bfr0181,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0181
"Blackthorn Middle School, Blackthorn Road",yes,,2017-12-13,,3.228833,125,125,Site was formerly Blackthorn Middle School and now vacant. Outline planning permission for residential development has lapsed in October 2017.,local-authority-eng:NOR,owned by a public authority,,,not permissioned,,POINT(-0.814142 52.269257),BFR0191,https://www.northampton.gov.uk/download/downloads/id/10049/bfr0191,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0191
"Parklands Middle School, Devon Way",yes,,2018-12-21,,4.928971,132,132,N/2006/1052 (WNDC app) Outline App for residential development withdrawn (23 Jan 2012). N/2018/0904 Outline application with all matters reserved except access for up to 132no dwellings (IN PROGRESS 17/12/18),local-authority-eng:NOR,owned by a public authority,,,pending decision,,POINT(-0.874267 52.271068),BFR0205,https://www.northampton.gov.uk/download/downloads/id/10046/bfr0205,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0205
Railway Station Car Park,yes,,2017-12-13,,2.121214,68,68,Forms part of Policy 19 (Castle Station) in the Central Area Action Plan (adopted 2013). No planning history found.,local-authority-eng:NOR,mixed ownership,,,not permissioned,,POINT(-0.905585 52.237643),BFR0288,https://www.northampton.gov.uk/download/downloads/id/10048/bfr0288,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0288
Chronicle & Echo South,yes,,2018-12-21,,1.029865,28,28,"N/2016/1434 (temporary car park, Great Russell Street) proposed construction of 12 dwellings (approved). N/2016/0319 (temporary car park, Great Russell Street) erect 24 maisonettes (refused). N/2014/1279 (former Top of the Town Nightclub) Construction of three storey building to provide offices, 12 flats and basement parking. N/2018/1162 The Cuckoo’s Nest change of use of Public House to flats, approved 3/12/18",local-authority-eng:NOR,mixed ownership,,,permissioned,full planning permission,POINT(-0.890483 52.242887),BFR0335,https://www.northampton.gov.uk/download/downloads/id/10053/bfr0335,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0335
Chronicle & Echo North,yes,,2018-12-21,,0.295219,28,28,"N/2015/0333 Hybrid planning application comprising (a) Full Planning Application for the erection of 1810m2 new retail food store with associated access from Earl Street, landscaping and car parking; and (b) Outline Planning Application with all matters reserved except access (from Great Russell Street) of up to 19 residential dwellings. 2018 update Aldi foodstore completed, outline amended.",local-authority-eng:NOR,mixed ownership,,,permissioned,full planning permission,POINT(-0.891159 52.242147),BFR0336,https://www.northampton.gov.uk/download/downloads/id/10721/bfr0336,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0336
Countess Road,yes,,2018-12-21,,2.542122,81,81,"N/2015/1021 approval for part demolition of existing factory building and conversion of existing factory building into 45 apartments and the erection of dwellings. UPDATE N/2017/0401 0025 Barker Buildings, approved 27/9/18, 64 no compliant residential units, ranging in size from studio to two bedrooms",local-authority-eng:NOR,mixed ownership,,,permissioned,full planning permission,POINT(-0.913337 52.244493),BFR0338,https://www.northampton.gov.uk/download/downloads/id/10056/bfr0338,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0338
Balmoral Road (rear),yes,,2018-12-21,,0.237593,25,25,"N/2016/1091 Approved for Erection of three residential buildings comprising total of 80 specialised supported living apartments (Use Class C3), together with associated access, parking, open space, bins and scooter store. 2018 update completed 2018 about 65% of site (0.54HA) (outline amended)",local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.899273 52.253327),BFR0355,https://www.northampton.gov.uk/download/downloads/id/10715/bfr0355,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0355
57 Artizan Road,yes,,2018-12-21,,0.046891,10,10,"N/2015/0390 Approved for demolition of part single, two storey and three storey rear element of the building. Change of use of existing factory/storage to 10no. One bed self contained flats (2no. Mobility Units) together with 8no. On site parking bays (2no. Mobility bays), refuse bin area and cycle storage areas. Resubmission of planning application N/2010/0019. N/2018/0834, conversion into 10 NO.1 bed flats, approved",local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.880405 52.243534),BFR0496,https://www.northampton.gov.uk/download/downloads/id/10055/bfr0496,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0496
12 Duke Street,yes,,2018-12-21,,0.042173,14,14,Permission for 14no. flats N/2014/0431 (lapsed),local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.893019 52.243956),BFR0497,https://www.northampton.gov.uk/download/downloads/id/10109/bfr0497,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0497
"Former Semilong Service Station, St Andrews Road",yes,,2017-12-13,,0.078984,24,24,N/2005/0797 planning permission for 24 flats. N/2012/0905 planning permission for 22 unit residential care home (C2). Both proposals involve offices on the ground floor. Construction works have started on site.,local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.90401 52.243256),BFR0507,https://www.northampton.gov.uk/download/downloads/id/10072/bfr0507,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0507
"Bective Works/Jabez House, Bective Road/Yelvertoft Road",yes,,2017-12-13,,0.522214,16,16,A longstanding application from 2012 to extend previous residential permission has had no activity for years. In the meantime permissions have been granted for student accommodation in 2015. N/2015/0419,local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.898411 52.264334),BFR0510,https://www.northampton.gov.uk/download/downloads/id/10062/bfr0510,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0510
Sixfields East,yes,,2017-12-13,,10.183154,255,255,"N/2014/0664 (land to the north west and east of Sixfields Stadium) EIA screening opinion for up to 255 residential units, retail buildings, retail parade, hotel and extension to the west stand of the stadium (completed)",local-authority-eng:NOR,owned by a public authority,,,not permissioned,,POINT(-0.930323 52.236645),BFR0594,https://www.northampton.gov.uk/download/downloads/id/10060/bfr0594,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0594
Southbridge/Nunn Mills,yes,,2017-12-13,,0.36077,94,94,"All planning history associated with residential development of this site now largely completed. However, 94 dwellings (part affordable housing) are left to be completed on two parts of the site. process is underway to transfer these two parcels of land to Northampton Borough Council.",local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.892813 52.230871),BFR0624,https://www.northampton.gov.uk/download/downloads/id/10063/bfr0624,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0624
171 - 180 St Andrews Road,yes,,2017-12-13,,0.162896,22,22,"N/2010/0785 Outline application for the demolition of existing B8 Business units and erection of 14no. bed and 8no. bed apartments, formation of new access and parking areas (access, layout scale for approval). N/2016/0979 Reserved Matters application pursuant to outline planning permission N/2010/0785 (demolition of existing business units and erection of 14no. bed and 8no. bed apartments, formation of new access and parking areas) for approval of appearance and landscaping.",local-authority-eng:NOR,not owned by a public authority,,,permissioned,reserved matters approval,POINT(-0.904308 52.248124),BFR0666,https://www.northampton.gov.uk/download/downloads/id/10061/bfr0666,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0666
"Nene Enterprise Centre, Freehold Street",yes,,2017-12-13,,0.362378,14,14,,local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.896364 52.250347),BFR0689,https://www.northampton.gov.uk/download/downloads/id/10067/bfr0689,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0689
"Car Garage Workshops, 409 Harlestone Road",yes,,2017-12-13,,1.089649,35,35,,local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.943593 52.25526),BFR0719,https://www.northampton.gov.uk/download/downloads/id/10066/bfr0719,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0719
"20 - 22 St Giles St (upper and rear) and Newspaper House, Derngate",yes,,2018-12-21,,0.180292,74,74,"2016/0406 Approval for 57 apartments, 2016/1548 Additional retail floorspace, 2017/0012 Change of apartment mix of pp 2016/0406. Also, for Newspaper House part of the site, N/2015/0738 demolition of part of the existing building, conversion of the rest and erection of two new floors to form 64no. flats. UPDATE N/2018/0835 Addition of rooftop extension to form two additional apartments",local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.893082 52.237004),BFR0730,https://www.northampton.gov.uk/download/downloads/id/10064/bfr0730,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0730
32 Great Russell Street,yes,,2018-12-21,,0.150111,12,12,"Current planning approval N/2016/1434, under construction",local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.890077 52.242925),BFR0814,https://www.northampton.gov.uk/download/downloads/id/10071/bfr0814,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0814
"Former St Crispin’s Hospital, St Crispin Drive",yes,,2017-12-13,,2.74364,235,235,"This site is currently under construction for residential development. N/2004/1542 has been partly implemented. There is new application N/2015/1454 for the rest of the site which has been approved. Demolition of the existing ward blocks. Restoration of the clock tower and conversion to residential use comprising 13no apartments, restoration of the administration building and conversion to residential use to provide 4no apartments, the erection of 120no apartments and 98 houses (235no dwellings total) with associated roads and underground car parks.",local-authority-eng:NOR,not owned by a public authority,,,permissioned,permission in principle,POINT(-0.95774 52.243293),BFR0896,https://www.northampton.gov.uk/download/downloads/id/10069/bfr0896,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0896
"Hawkins Shoe Factory, Overstone Road",yes,,2017-12-13,,0.170644,105,105,"N/2015/0673 Conversion and alterations of factory premises to form 105 apartments with associated parking both on site and on street, replacement of windows and new roof lights, proposed infill extension on Dunster Street facade including new roof terrace",local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.890553 52.241112),BFR0903,https://www.northampton.gov.uk/download/downloads/id/10077/bfr0903,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0903
118 - 122 Wellingborough Road,yes,,2017-12-13,,0.097261,12,12,"N/2012/0765 (Demolition in Conservation Area) demolition of industrial units, gates, fences and walls to rear of site to implement proposed development N/2012/0472 and previously approved scheme 9/0051/FULWNN (approved).N/2012/0472 to extend time for the implementation of planning permission 09/0051/FULWNN for the conversion of existing first floor offices to four no residential flats and the erection of flats following demolition of existing industrial units to rear (approved). All the above have lapsed.",local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.883189 52.240971),BFR0915,https://www.northampton.gov.uk/download/downloads/id/10073/bfr0915,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0915
Former Emmanuel Middle School,yes,,2018-12-21,,2.238298,83,83,Planning permission to extend the original Outline (109) was granted on 08.10.2014 with RM to be submitted within years. N/2017/1097 erection of 83no dwellings approved 29/3/18,local-authority-eng:NOR,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.834669 52.259466),BFR1001,https://www.northampton.gov.uk/download/downloads/id/10080/bfr1001,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR1001
