name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
04/00562/F,2-4 Church Road Lawrence Hill Bristol BS5 9PP,yes,,2020-12-18,,0.06,22,22,Alternative site reference: O10_952,local-authority-eng:BST,,2004-05-11,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=0400562F&activeTab=summary,permissioned,full planning permission,POINT(-2.56427 51.457603),04/00562/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0400562F,2017-12-19,/brownfield-land/local-authority-eng/BST/04-00562-F
04/02177/F,Former Courage Brewery Counterslip Redcliff Bristol,yes,,2020-12-18,,2.28,431,431,Alternative site reference: O10_877,local-authority-eng:BST,,2006-11-21,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=HYMYT5DNDD000&activeTab=summary,permissioned,full planning permission,POINT(-2.588635 51.45398),04/02177/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=HYMYT5DNDD000,2017-12-19,/brownfield-land/local-authority-eng/BST/04-02177-F
04/03995/P,Redfield Post Office Chalks Road Bristol BS5 9EW,yes,,2020-12-18,,0.04,11,11,Alternative site reference: O10_940,local-authority-eng:BST,,2005-03-01,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I4G002DN2D000&activeTab=summary,permissioned,outline planning permission,POINT(-2.551278 51.459864),04/03995/P,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I4G002DN2D000,2018-12-19,/brownfield-land/local-authority-eng/BST/04-03995-P
04/04126/P,Land At Wapping Wharf Wapping Road Bristol,,,2020-12-18,,4.19,61,61,Alternative site reference: O10_593C,local-authority-eng:BST,,2007-06-22,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I520C3DNGC000&activeTab=summary,permissioned,outline planning permission,POINT(-2.598709 51.447254),04/04126/P,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I520C3DNGC000,2017-12-19,/brownfield-land/local-authority-eng/BST/04-04126-P
17/04673/F,Plot ND6 Temple Quay North Temple Gate Bristol,yes,,2020-12-18,,0.38,120,120,Alternative site reference: O10_878D,local-authority-eng:BST,,2019-04-02,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=OUW31RDNJMD00&activeTab=summary,permissioned,full planning permission,POINT(-2.5814 51.452857),17/04673/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OUW31RDNJMD00,2019-12-19,/brownfield-land/local-authority-eng/BST/17-04673-F
04/05284/F,3-5 Bushy Park Bristol BS4 2EG,yes,,2020-12-18,,0.1,13,13,Alternative site reference: O10_1039,local-authority-eng:BST,,2006-06-19,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=I9H9KLDN98000&activeTab=summary,permissioned,full planning permission,POINT(-2.577935 51.441142),04/05284/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I9H9KLDN98000,2018-12-19,/brownfield-land/local-authority-eng/BST/04-05284-F
05/03988/F,Former Imperial Tobacco Office Building Hengrove Way Bristol BS14 0HR,yes,,2020-12-18,,4.66,422,422,Alternative site reference: O10_1067,local-authority-eng:BST,,2007-02-22,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=IO56ECDN3J000&activeTab=summary,permissioned,full planning permission,POINT(-2.602685 51.41526),05/03988/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=IO56ECDN3J000,2017-12-19,/brownfield-land/local-authority-eng/BST/05-03988-F
06/05456/F,100 - 110 North Street Bedminster Bristol BS3 1HF,yes,,2020-12-18,,0.07,22,22,Alternative site reference: O10_1068,local-authority-eng:BST,,2007-03-21,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=JAXIXDDNIM000&activeTab=summary,permissioned,full planning permission,POINT(-2.606018 51.440657),06/05456/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JAXIXDDNIM000,2018-12-19,/brownfield-land/local-authority-eng/BST/06-05456-F
07/02235/F,Former Avonmouth Bus Depot Avonmouth Road Bristol BS11 9LP,yes,,2020-12-18,,0.2,23,23,Alternative site reference: O10_1172,local-authority-eng:BST,,2008-03-05,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=JIFTQCDN0DD00&activeTab=summary,permissioned,full planning permission,POINT(-2.694501 51.499439),07/02235/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JIFTQCDN0DD00,2018-12-19,/brownfield-land/local-authority-eng/BST/07-02235-F
08/03169/P,104 Belle Vue Road Easton Bristol BS5 6BX,,2020-12-18,2020-12-18,,0.04,,,Alternative site reference: O10_1201,local-authority-eng:BST,,,,,,POINT(-2.561468 51.466403),08/03169/P,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=K4D1L7DN00J00,2018-12-19,/brownfield-land/local-authority-eng/BST/08-03169-P
10/05456/F,Former 280-286 Whitehall Road Bristol BS5 7BL,yes,,2020-12-18,,0.07,9,9,Alternative site reference: U10_4673,local-authority-eng:BST,,2011-02-14,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=LDKEF2DNK8000&activeTab=summary,permissioned,full planning permission,POINT(-2.551858 51.463277),10/05456/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LDKEF2DNK8000,2018-12-19,/brownfield-land/local-authority-eng/BST/10-05456-F
11/00034/P,Land Surrounding Dove Lane St Pauls Bristol,,,2020-12-18,,1.7,230,230,Alternative site references: O10_1260B|O10_1260C|O10_1260D|O10_1260E,local-authority-eng:BST,,2012-12-14,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=LELZ4EDN00O00&activeTab=summary,permissioned,outline planning permission,POINT(-2.581894 51.461841),11/00034/P,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LELZ4EDN00O00,2017-12-19,/brownfield-land/local-authority-eng/BST/11-00034-P
11/00221/P,Graphic Packaging Ltd Filwood Road Bristol BS16 3SB,yes,,2020-12-18,,4.35,208,208,Alternative site reference: O10_1251,local-authority-eng:BST,,2011-12-23,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=LF9WDBDNK8000&activeTab=summary,permissioned,outline planning permission,POINT(-2.528689 51.475509),11/00221/P,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LF9WDBDNK8000,2018-12-19,/brownfield-land/local-authority-eng/BST/11-00221-P
12/01701/F,51 Queens Road Clifton Bristol BS8 1QQ,yes,,2020-12-18,,0.02,5,5,Alternative site reference: U10_5034,local-authority-eng:BST,,2013-08-15,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=M2FB2MDNK8000&activeTab=summary,permissioned,full planning permission,POINT(-2.606657 51.456232),12/01701/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M2FB2MDNK8000,2019-12-19,/brownfield-land/local-authority-eng/BST/12-01701-F
12/02256/F,BS2 Lofts Wilder Street Bristol BS2 8UT,,2020-12-18,2020-12-18,,0.05,,,Alternative site reference: U10_4997,local-authority-eng:BST,,,,,,POINT(-2.585082 51.462539),12/02256/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M449KTDNK8000,2017-12-19,/brownfield-land/local-authority-eng/BST/12-02256-F
12/03900/F,Bristol General Hospital Guinea Street Bristol BS1 6SY,yes,,2020-12-18,,1.54,206,206,Alternative site reference: O10_1270,local-authority-eng:BST,,2012-12-12,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?keyVal=M9VCCZDN00E00&activeTab=summary,permissioned,full planning permission,POINT(-2.593315 51.446948),12/03900/F,https://pa.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M9VCCZDN00E00,2017-12-19,/brownfield-land/local-authority-eng/BST/12-03900-F
