name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
6/7,"Meadow Road Industrial Site, Meadow Road, Carlton",,,2017-04-01,,1.18,35,35,Information received in 2017 indicates that the landowners hope to develop the site before 2028.,local-authority-eng:GED,not owned by a public authority,,,not permissioned,,POINT(-1.082693 52.961695),6/7,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461579.5008%2C340811.1175%2C461884.3014%2C340945.8568%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-7
6/18,"Rolleston Drive (NCC Offices), Rolleston Drive, Arnold",yes,,2017-04-01,,3.64,140,140,The site is proposed for allocation in the Local Planning Document (site H1). Site is still subject to Policy E3 of the Replacement Local Plan.,local-authority-eng:GED,owned by a public authority,,,not permissioned,,POINT(-1.116093 53.003151),6/18,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=459156.4895%2C345341.8172%2C459664.4905%2C345566.3828%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-18
6/20,"Bestwood Business Park, Park Road, Bestwood Village",,,2017-04-01,,6.01,220,220,The site is proposed for allocation in the Local Planning Document (site H13). Information received in March 2017 indicates that for the foreseeable future the owners see the Business Park as remaining as an employment site.. Up to 220 dwellings,local-authority-eng:GED,not owned by a public authority,2015-03-26,,permissioned,outline planning permission,POINT(-1.180971 53.020485),6/20,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=454511.8131%2C347084.9794%2C455527.8151%2C347534.1105%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-20
6/49,"Brookfields Garden Centre, Mapperley Plains, Arnold",yes,,2017-04-01,,3.52,106,90,The site is proposed for allocation in the Local Planning Document (site H2). The site is within the Green Belt. Planning application (2017/0155) for up to 32 apartments on part of the site submitted and is currently being determined.,local-authority-eng:GED,not owned by a public authority,,,pending decision,,POINT(-1.102291 53.004843),6/49,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460072.4945%2C345540.4172%2C460580.4955%2C345764.9828%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-49
6/73,"Bestwood Hotel, Park Road, Bestwood Village",yes,,2017-04-01,,0.15,12,12,The conversion of the hotel into 6 flats has been completed in June 2016 (2012/1275). The remainder of the site has planning permission for a new block of 6 flats which is currently under construction (2015/0803).. A block of 6 x 2 bed apartments,local-authority-eng:GED,not owned by a public authority,2015-09-24,,permissioned,full planning permission,POINT(-1.175968 53.022232),6/73,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=455218.2047%2C347463.6553%2C455523.0053%2C347598.3947%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-73
6/154,"Mansfield Lane (110-112), Mansfield Lane, Calverton",yes,,2017-04-01,,0.11,6,6,Site is currently under construction (2004/1471).. 3 x 3 bed detatched houses with garages and 3 x 3 bed townhouses,local-authority-eng:GED,not owned by a public authority,2004-12-21,,permissioned,full planning permission,POINT(-1.081313 53.041747),6/154,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461538.5347%2C349711.9003%2C461843.3353%2C349846.6397%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-154
6/209,"Burton Road, Burton Road, Carlton",yes,,2017-04-01,,0.08,8,8,Planning permission (2006/0202) for 3 dwellings lapsed in April 2009. Information received in 2017 indicates that the site has potential to deliver 8 apartments.,local-authority-eng:GED,owned by a public authority,,,not permissioned,,POINT(-1.085982 52.967558),6/209,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461332.0797%2C341454.1303%2C461636.8803%2C341588.8697%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-209
6/216,"Fraser Street (Site of 36), Fraser Street, Newstead",yes,,2017-04-01,,0.2,8,8,Planning permission for residential development (2016/0917) granted in October 2016. Information received in 2017 indicates work on site has started.. 8 x 4 bed semi-detached dwellings,local-authority-eng:GED,not owned by a public authority,2016-10-04,,permissioned,full planning permission,POINT(-1.225325 53.069822),6/216,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=451851.9647%2C352718.5703%2C452156.7653%2C352853.3097%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-216
6/229,"Westdale Lane East (72-74), Westdale Lane East, Carlton",yes,,2017-04-01,,0.09,12,12,Planning permission (2010/0200) lapsed in May 2013. Planning application (2017/0157) for 12 apartments submitted on 3 February 2017 and is currently being determined.,local-authority-eng:GED,not owned by a public authority,,,pending decision,,POINT(-1.087855 52.974219),6/229,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461196.5447%2C342193.5903%2C461501.3453%2C342328.3297%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-229
6/260,"Sol Construction Ltd, Vale Road, Carlton",yes,,2017-04-01,,0.74,44,44,Site is currently under construction (2008/0287). Site has been cleared and work has been delayed on site whilst the developer negotiates with the County Council about some highway construction requirements.. 44 dwellings,local-authority-eng:GED,not owned by a public authority,2008-07-03,,permissioned,full planning permission,POINT(-1.092239 52.956619),6/260,http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460924.3747%2C340218.5303%2C461229.1753%2C340353.2697%2C27700,2017-04-01,/brownfield-land/local-authority-eng/GED/6-260
